location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
South Africa,2021-05-14,Johnson&Johnson,https://sacoronavirus.co.za/,474318,474318,474318,
South Africa,2021-05-15,Johnson&Johnson,https://sacoronavirus.co.za/,478452,478452,478452,
South Africa,2021-05-16,Johnson&Johnson,https://sacoronavirus.co.za/,478733,478733,478733,
South Africa,2021-05-17,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-17-may-2021/,478733,478733,478733,
South Africa,2021-05-18,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-18-may-2021/,519139,519139,479768,
South Africa,2021-05-19,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-19-may-2021/,558170,558170,,
South Africa,2021-05-20,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-20-may-2021/,597406,597406,,
South Africa,2021-05-21,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-21-may-2021/,642382,642382,,
South Africa,2021-05-22,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-23-may-2021/,647983,647983,,
South Africa,2021-05-23,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-24-may-2021/,651628,651628,,
South Africa,2021-05-24,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-25-may-2021/,700904,700904,,
South Africa,2021-05-25,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-26-may-2021/,761903,761903,,
South Africa,2021-05-26,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-27-may-2021/,828204,828204,,
South Africa,2021-05-27,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-28-may-2021/,898955,898955,,
South Africa,2021-05-28,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-29-may-2021/,963876,963876,,
South Africa,2021-05-29,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-30-may-2021/,968319,968319,,
South Africa,2021-05-30,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-31-may-2021/,970448,970448,,
South Africa,2021-05-31,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-1-june-2021/,1045104,1045104,,
South Africa,2021-06-01,"Johnson&Johnson, Pfizer/BioNTech",https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-2-june-2021/,1117569,1117569,,
South Africa,2021-06-02,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1193352,1193352,,
South Africa,2021-06-03,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1266893,1266893,,
South Africa,2021-06-04,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1336547,1336547,,
South Africa,2021-06-05,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1343433,1343433,,
South Africa,2021-06-06,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1350245,1350245,,
South Africa,2021-06-07,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1433730,1433730,,
South Africa,2021-06-08,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1525271,1525271,,
South Africa,2021-06-09,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1619011,1619011,,
South Africa,2021-06-10,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1690026,1690026,,
South Africa,2021-06-11,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1767415,1767415,,
South Africa,2021-06-12,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1773417,1773417,,
South Africa,2021-06-13,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1777288,1777288,,
South Africa,2021-06-14,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1871987,1871987,,
South Africa,2021-06-15,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1965812,1965812,,
South Africa,2021-06-16,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,1974099,1974099,,
South Africa,2021-06-17,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2069346,2069346,,
South Africa,2021-06-18,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2137071,2137071,,
South Africa,2021-06-19,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2141624,2141624,,
South Africa,2021-06-21,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2229242,2229242,,
South Africa,2021-06-24,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2550248,2550248,,
South Africa,2021-06-25,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2661378,2661378,,
South Africa,2021-06-26,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2682710,2682710,,
South Africa,2021-06-27,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2779912,2779912,,
South Africa,2021-06-28,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2787996,2787996,,
South Africa,2021-06-29,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,2900666,2900666,,
South Africa,2021-06-30,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,3026636,3026636,,
South Africa,2021-07-01,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,3155717,3155717,,
South Africa,2021-07-03,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,3307588,3307588,,
South Africa,2021-07-04,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,3314278,3314278,,
South Africa,2021-07-05,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,3466228,3466228,,
South Africa,2021-07-06,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,3631102,3631102,,
South Africa,2021-07-08,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,4017442,3639039,1253978,
South Africa,2021-07-09,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,4203293,3756282,1344690,
South Africa,2021-07-10,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,4236718,3783990,1355743,
South Africa,2021-07-12,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,4390891,3887113,1399497,
South Africa,2021-07-13,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,4535222,3995020,1459950,
South Africa,2021-07-15,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,5046267,4335517,1674152,
South Africa,2021-07-19,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,5095013,4376024,1688514,
South Africa,2021-07-20,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,5328110,4533966,1786939,
South Africa,2021-07-22,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,6085108,5045795,2154922,
South Africa,2021-07-23,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,6308201,5202583,2274267,
South Africa,2021-07-25,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,6384382,5266979,2311559,
South Africa,2021-07-26,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/2021/07/26/update-on-covid-19-monday-26-july-2021/,6613704,,,
South Africa,2021-07-27,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,6854667,5580927,2580001,
South Africa,2021-07-29,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,7297912,5921627,2835930,
South Africa,2021-08-01,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,7550367,,,
South Africa,2021-08-02,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,7567757,6123925,2982952,
South Africa,2021-08-03,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,7981822,6403808,3212974,
South Africa,2021-08-05,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,8182380,6546410,3327950,
South Africa,2021-08-08,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,8602124,6866089,3576698,
South Africa,2021-08-10,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,8811608,6995459,3719508,
South Africa,2021-08-12,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,9185756,7249045,3958231,
South Africa,2021-08-15,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,9387129,7389049,4082852,
South Africa,2021-08-16,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,9557542,7486036,4197442,
South Africa,2021-08-18,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,9962111,7702298,4482893,
South Africa,2021-08-19,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,10167749,7808653,4629371,
South Africa,2021-08-20,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,10431124,7986245,4782071,
South Africa,2021-08-22,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,10479363,8017522,4832763,
South Africa,2021-08-23,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,10790501,8240067,4983911,
South Africa,2021-08-24,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,11076106,8439579,5141248,
South Africa,2021-08-27,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,11924972,9026420,5601878,
South Africa,2021-08-30,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,12289478,9253007,5818291,
South Africa,2021-08-31,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,12568525,9418185,5985293,
South Africa,2021-09-01,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,12841537,9581161,6145216,
South Africa,2021-09-02,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,13112268,9741655,6301758,
South Africa,2021-09-05,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,13454823,9961650,6492469,
South Africa,2021-09-07,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,13892301,10218230,6751662,
South Africa,2021-09-09,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,14126008,10359652,6888163,
South Africa,2021-09-10,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,14610572,10664881,7153911,
South Africa,2021-09-11,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,14670161,10707263,7187179,
South Africa,2021-09-12,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,14690586,10720370,7199405,
South Africa,2021-09-13,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,14922954,10860642,7330517,
South Africa,2021-09-14,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,15188787,11034034,7473903,
South Africa,2021-09-15,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,15447034,11206776,7609183,
South Africa,2021-09-16,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,15683797,11367049,7734069,
South Africa,2021-09-19,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,15992374,11579000,7911171,
South Africa,2021-09-21,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,16358076,11848402,8108520,
South Africa,2021-09-22,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,16560718,11987011,8228296,
South Africa,2021-09-23,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,16755133,12115821,8344762,
South Africa,2021-09-24,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,16781838,12136460,8362232,
South Africa,2021-09-26,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,16827790,12167828,8391620,
South Africa,2021-09-27,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,16999722,12268498,8501712,
South Africa,2021-09-30,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,17505358,12593276,8819130,
South Africa,2021-10-03,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,17875187,12840302,9075189,
South Africa,2021-10-05,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,18285920,13063132,9364725,
South Africa,2021-10-06,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,18510943,13182547,9526247,
South Africa,2021-10-08,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,18735127,13302682,9686443,
South Africa,2021-10-11,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,19041535,13466577,9911989,
South Africa,2021-10-13,"Johnson&Johnson, Pfizer/BioNTech",https://sacoronavirus.co.za/latest-vaccine-statistics/,19679751,13907243,10218549,
