WHO Country Name,WHO Region,OWID Country Name,Population (UN 2020 projection)
Guernsey,Territories,Guernsey,
Bolivia (Plurinational State of),Americas,Bolivia,11543982
Jamaica,Americas,Jamaica,2913160
Burkina Faso,Africa,Burkina Faso,20903345
Democratic Republic of the Congo,Africa,Democratic Republic of Congo,89505201
French Polynesia,Territories,French Polynesia,290744
Turkey,Europe,Turkey,83835750
Honduras,Americas,Honduras,9719265
Côte d’Ivoire,Africa,Cote d'Ivoire,26171750
Jersey,Territories,Jersey,
Réunion,Territories,Reunion,896536
Cuba,Americas,Cuba,11495492
Guyana,Americas,Guyana,790782
Saint Vincent and the Grenadines,Americas,Saint Vincent and the Grenadines,110757
Sudan,Eastern Mediterranean,Sudan,43541203
Puerto Rico,Americas,Puerto Rico,3650608
Venezuela (Bolivarian Republic of),Americas,Venezuela,33172392
Antigua and Barbuda,Americas,Antigua and Barbuda,105110
Guadeloupe,Territories,Guadeloupe,
Trinidad and Tobago,Americas,Trinidad and Tobago,1377729
Ethiopia,Africa,Ethiopia,112759070
Gabon,Africa,Gabon,2151289
Ghana,Africa,Ghana,30733755
Guinea,Africa,Guinea,13750826
Kenya,Africa,Kenya,53491697
Cayman Islands,Territories,Cayman Islands,
Kazakhstan,Europe,Kazakhstan,18777139
Curaçao,Territories,Curacao,163495
Namibia,Africa,Namibia,2696537
Central African Republic,Africa,Central African Republic,4920889
Congo,Africa,Congo,5686917
Equatorial Guinea,Africa,Equatorial Guinea,1406280
Eswatini,Africa,Swaziland,1439295
Mauritania,Africa,Mauritania,4783767
Mayotte,Territories,Mayotte,273110
Uzbekistan,Europe,Uzbekistan,33235825
Uruguay,Americas,Uruguay,3494387
Guatemala,Americas,Guatemala,17910812
Saint Lucia,Americas,Saint Lucia,181203
Suriname,Americas,Suriname,577752
Rwanda,Africa,Rwanda,13087173
Seychelles,Africa,Seychelles,96112
