Country,Year,total_vaccinations,total_distributed,people_vaccinated,people_fully_vaccinated_per_hundred,total_vaccinations_per_hundred,people_fully_vaccinated,people_vaccinated_per_hundred,distributed_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,share_doses_used
Alaska,26,101597.0,170575.0,83363.0,2.47,13.89,18097.0,11.4,23.32,3448.0,4758.0,6504.0,0.596
Alaska,27,105858.0,178075.0,85672.0,2.74,14.47,20045.0,11.71,24.34,4261.0,4850.0,6630.0,0.594
Alaska,28,110396.0,192350.0,88654.0,2.95,15.09,21593.0,12.12,26.29,4538.0,4186.0,5722.0,0.574
Alaska,29,115268.0,193150.0,91794.0,3.19,15.76,23320.0,12.55,26.4,4872.0,3846.0,5257.0,0.597
Alaska,30,119590.0,193150.0,94889.0,3.36,16.35,24545.0,12.97,26.4,4322.0,3619.0,4947.0,0.619
Alaska,31,122020.0,193150.0,96396.0,3.48,16.68,25467.0,13.18,26.4,2430.0,3570.0,4880.0,0.632
Alaska,32,123443.0,196975.0,97076.0,3.58,16.87,26207.0,13.27,26.93,1423.0,3613.0,4939.0,0.627
Alaska,33,125765.0,229975.0,98076.0,3.76,17.19,27528.0,13.41,31.44,2322.0,3453.0,4720.0,0.547
Alaska,34,129936.0,240325.0,99596.0,4.12,17.76,30172.0,13.61,32.85,4171.0,3440.0,4702.0,0.541
Alaska,35,134002.0,245700.0,101225.0,4.46,18.32,32593.0,13.84,33.59,4066.0,3372.0,4609.0,0.545
Alaska,36,139147.0,248500.0,103163.0,4.89,19.02,35773.0,14.1,33.97,5145.0,3411.0,4663.0,0.56
Alaska,37,146082.0,248500.0,106311.0,5.4,19.97,39541.0,14.53,33.97,6935.0,3785.0,5174.0,0.588
Alaska,38,150934.0,248500.0,109890.0,5.58,20.63,40812.0,15.02,33.97,4852.0,4131.0,5647.0,0.607
American Samoa,11,2124.0,10650.0,842.0,0.47,3.81,260.0,1.51,19.12,,,,0.199
American Samoa,12,2577.0,10650.0,1193.0,0.65,4.63,362.0,2.14,19.12,453.0,453.0,8134.0,0.242
American Samoa,13,2971.0,10650.0,2409.0,,5.34,,4.33,19.12,394.0,424.0,7614.0,0.279
American Samoa,14,3883.0,18450.0,3144.0,1.32,6.97,738.0,5.65,33.13,912.0,586.0,10523.0,0.21
American Samoa,15,,,,,,,,,218.25,494.0,8871.0,
American Samoa,16,,,,,,,,,218.25,439.0,7883.0,
American Samoa,17,,,,,,,,,218.25,402.0,7219.0,
American Samoa,18,4756.0,18450.0,3985.0,1.38,8.54,770.0,7.16,33.13,218.25,376.0,6752.0,0.258
American Samoa,19,5313.0,18450.0,4476.0,1.5,9.54,836.0,8.04,33.13,557.0,391.0,7021.0,0.288
American Samoa,20,5664.0,18450.0,4734.0,1.67,10.17,929.0,8.5,33.13,351.0,385.0,6913.0,0.307
American Samoa,21,6569.0,18450.0,5627.0,1.69,11.8,940.0,10.1,33.13,905.0,384.0,6895.0,0.356
American Samoa,22,6831.0,18450.0,5881.0,1.7,12.27,948.0,10.56,33.13,262.0,390.0,7003.0,0.37
American Samoa,23,8046.0,18450.0,7096.0,1.7,14.45,948.0,12.74,33.13,1215.0,532.0,9553.0,0.436
American Samoa,24,8046.0,18450.0,7096.0,1.7,14.45,948.0,12.74,33.13,0.0,501.0,8996.0,0.436
American Samoa,25,8315.0,18450.0,7365.0,1.7,14.93,948.0,13.23,33.13,269.0,508.0,9122.0,0.451
American Samoa,26,9085.0,18450.0,8133.0,1.71,16.31,950.0,14.6,33.13,770.0,539.0,9679.0,0.492
American Samoa,27,9085.0,18450.0,8133.0,1.71,16.31,950.0,14.6,33.13,0.0,489.0,8781.0,0.492
American Samoa,28,9925.0,18450.0,8926.0,1.79,17.82,997.0,16.03,33.13,840.0,479.0,8601.0,0.538
American Samoa,29,9925.0,18450.0,8926.0,1.79,17.82,997.0,16.03,33.13,0.0,442.0,7937.0,0.538
American Samoa,30,9925.0,18450.0,8926.0,1.79,17.82,997.0,16.03,33.13,0.0,268.0,4812.0,0.538
American Samoa,31,10761.0,18450.0,9713.0,1.88,19.32,1046.0,17.44,33.13,836.0,388.0,6967.0,0.583
American Samoa,32,10761.0,18450.0,9713.0,1.88,19.32,1046.0,17.44,33.13,0.0,349.0,6267.0,0.583
American Samoa,33,11066.0,18450.0,9759.0,2.34,19.87,1305.0,17.52,33.13,305.0,283.0,5082.0,0.6
American Samoa,34,11257.0,29450.0,9761.0,2.68,20.21,1494.0,17.53,52.88,191.0,310.0,5567.0,0.382
American Samoa,35,12029.0,29450.0,9775.0,4.04,21.6,2252.0,17.55,52.88,772.0,301.0,5405.0,0.408
American Samoa,36,12259.0,29450.0,9779.0,4.45,22.01,2478.0,17.56,52.88,230.0,333.0,5980.0,0.416
American Samoa,37,12259.0,29450.0,9779.0,4.45,22.01,2478.0,17.56,52.88,0.0,333.0,5980.0,0.416
American Samoa,38,12259.0,29450.0,9779.0,4.45,22.01,2478.0,17.56,52.88,0.0,214.0,3843.0,0.416
Arizona,11,141355.0,563025.0,95141.0,0.12,1.94,8343.0,1.31,7.74,,,,0.251
Arizona,12,154745.0,569525.0,104387.0,0.17,2.13,12392.0,1.43,7.82,13390.0,13390.0,1840.0,0.272
Arizona,13,173665.0,570625.0,157397.0,,2.39,,2.16,7.84,18920.0,16155.0,2219.0,0.304
Arizona,14,197086.0,571725.0,176213.0,0.29,2.71,20837.0,2.42,7.86,23421.0,18577.0,2552.0,0.345
Arizona,15,,,,,,,,,17297.5,18257.0,2508.0,
Arizona,16,,,,,,,,,17297.5,18065.0,2482.0,
Arizona,17,,,,,,,,,17297.5,17937.0,2464.0,
Arizona,18,266276.0,571725.0,235331.0,0.42,3.66,30892.0,3.23,7.86,17297.5,17846.0,2452.0,0.466
Arizona,19,281887.0,752250.0,246960.0,0.48,3.87,34788.0,3.39,10.34,15611.0,18163.0,2495.0,0.375
Arizona,20,303899.0,797550.0,262120.0,0.57,4.18,41613.0,3.6,10.96,22012.0,18605.0,2556.0,0.381
Arizona,21,329349.0,822050.0,280227.0,0.67,4.52,48938.0,3.85,11.29,25450.0,18895.0,2596.0,0.401
Arizona,22,360958.0,829500.0,305744.0,0.76,4.96,55014.0,4.2,11.4,31609.0,20939.0,2877.0,0.435
Arizona,23,390623.0,829500.0,332095.0,0.8,5.37,58291.0,4.56,11.4,29665.0,22706.0,3120.0,0.471
Arizona,24,413662.0,829500.0,350648.0,0.86,5.68,62711.0,4.82,11.4,23039.0,23526.0,3232.0,0.499
Arizona,25,430892.0,837200.0,366018.0,0.89,5.92,64551.0,5.03,11.5,17230.0,23517.0,3231.0,0.515
Arizona,26,458258.0,990000.0,389059.0,0.95,6.3,68846.0,5.34,13.6,27366.0,25196.0,3462.0,0.463
Arizona,27,487149.0,1011375.0,412841.0,1.02,6.69,73927.0,5.67,13.9,28891.0,26179.0,3597.0,0.482
Arizona,28,521097.0,1012275.0,439897.0,1.11,7.16,80773.0,6.04,13.91,33948.0,27393.0,3763.0,0.515
Arizona,29,557369.0,1013375.0,469916.0,1.2,7.66,86990.0,6.46,13.92,36272.0,28059.0,3855.0,0.55
Arizona,30,594104.0,1013375.0,500942.0,1.27,8.16,92666.0,6.88,13.92,36735.0,29069.0,3994.0,0.586
Arizona,31,620608.0,1013375.0,524413.0,1.31,8.53,95671.0,7.2,13.92,26504.0,29564.0,4062.0,0.612
Arizona,32,631662.0,1082050.0,534476.0,1.33,8.68,96660.0,7.34,14.87,11054.0,28681.0,3940.0,0.584
Arizona,33,656040.0,1181000.0,553373.0,1.4,9.01,102107.0,7.6,16.23,24378.0,28255.0,3882.0,0.555
Arizona,34,686116.0,1185700.0,573845.0,1.53,9.43,111645.0,7.88,16.29,30076.0,28424.0,3905.0,0.579
Arizona,35,719458.0,1186000.0,597525.0,1.67,9.88,121227.0,8.21,16.29,33342.0,28337.0,3893.0,0.607
Arizona,36,766788.0,1186000.0,629750.0,1.87,10.54,136236.0,8.65,16.29,47330.0,29917.0,4110.0,0.647
Arizona,37,809230.0,1186000.0,656909.0,2.08,11.12,151392.0,9.02,16.29,42442.0,30732.0,4222.0,0.682
Arizona,38,841018.0,1186000.0,678697.0,2.22,11.55,161324.0,9.32,16.29,31788.0,31487.0,4326.0,0.709
Arkansas,11,40879.0,274400.0,39357.0,0.0,1.36,8.0,1.3,9.09,,,,0.149
Arkansas,12,94854.0,297800.0,80458.0,0.43,3.14,12849.0,2.67,9.87,53975.0,53975.0,17886.0,0.319
Arkansas,13,108316.0,297800.0,90339.0,,3.59,,2.99,9.87,13462.0,33718.0,11173.0,0.364
Arkansas,14,118338.0,297800.0,97829.0,0.62,3.92,18781.0,3.24,9.87,10022.0,25820.0,8556.0,0.397
Arkansas,15,,,,,,,,,5999.75,20865.0,6914.0,
Arkansas,16,,,,,,,,,5999.75,17892.0,5929.0,
Arkansas,17,,,,,,,,,5999.75,15910.0,5272.0,
Arkansas,18,142337.0,297800.0,118763.0,0.72,4.72,21734.0,3.94,9.87,5999.75,14494.0,4803.0,0.478
Arkansas,19,173312.0,334825.0,144792.0,0.88,5.74,26541.0,4.8,11.1,30975.0,11208.0,3714.0,0.518
Arkansas,20,173312.0,361550.0,144792.0,0.88,5.74,26541.0,4.8,11.98,0.0,9285.0,3077.0,0.479
Arkansas,21,201676.0,362050.0,167788.0,1.05,6.68,31600.0,5.56,12.0,28364.0,11905.0,3945.0,0.557
Arkansas,22,201676.0,368650.0,167788.0,1.05,6.68,31600.0,5.56,12.22,0.0,11048.0,3661.0,0.547
Arkansas,23,214240.0,368650.0,179290.0,1.08,7.1,32572.0,5.94,12.22,12564.0,11986.0,3972.0,0.581
Arkansas,24,221095.0,368650.0,185546.0,1.1,7.33,33159.0,6.15,12.22,6855.0,12108.0,4012.0,0.6
Arkansas,25,236290.0,394775.0,196815.0,1.23,7.83,37055.0,6.52,13.08,15195.0,13422.0,4448.0,0.599
Arkansas,26,252824.0,406175.0,209445.0,1.36,8.38,40910.0,6.94,13.46,16534.0,11359.0,3764.0,0.622
Arkansas,27,252824.0,453300.0,209445.0,1.36,8.38,40910.0,6.94,15.02,0.0,11359.0,3764.0,0.558
Arkansas,28,269993.0,453500.0,221552.0,1.52,8.95,45918.0,7.34,15.03,17169.0,9760.0,3234.0,0.595
Arkansas,29,288651.0,453700.0,233935.0,1.73,9.56,52118.0,7.75,15.03,18658.0,12425.0,4117.0,0.636
Arkansas,30,303793.0,453700.0,244867.0,1.86,10.07,56264.0,8.11,15.03,15142.0,12793.0,4239.0,0.67
Arkansas,31,311230.0,453700.0,249943.0,1.94,10.31,58613.0,8.28,15.03,7437.0,12876.0,4267.0,0.686
Arkansas,32,314470.0,467800.0,251841.0,1.98,10.42,59903.0,8.34,15.5,3240.0,11169.0,3701.0,0.672
Arkansas,33,322447.0,499325.0,256307.0,2.1,10.68,63356.0,8.49,16.55,7977.0,9946.0,3296.0,0.646
Arkansas,34,338227.0,516925.0,266563.0,2.28,11.21,68778.0,8.83,17.13,15780.0,12200.0,4043.0,0.654
Arkansas,35,351175.0,535550.0,274459.0,2.45,11.64,73810.0,9.1,17.75,12948.0,11597.0,3843.0,0.656
Arkansas,36,374674.0,540050.0,290153.0,2.7,12.42,81564.0,9.62,17.9,23499.0,12289.0,4072.0,0.694
Arkansas,37,393445.0,540050.0,300139.0,2.99,13.04,90308.0,9.95,17.9,18771.0,12807.0,4244.0,0.729
Arkansas,38,401664.0,540050.0,304604.0,3.12,13.31,94058.0,10.09,17.9,8219.0,12919.0,4281.0,0.744
Bureau of Prisons,11,14663.0,16050.0,5199.0,,,1077.0,,,,,,0.914
Bureau of Prisons,12,15694.0,16050.0,5395.0,,,1077.0,,,1031.0,1031.0,,0.978
Bureau of Prisons,13,16118.0,16450.0,13997.0,,,,,,424.0,728.0,,0.98
Bureau of Prisons,14,16685.0,16750.0,14565.0,,,2086.0,,,567.0,674.0,,0.996
Bureau of Prisons,15,,,,,,,,,235.75,564.0,,
Bureau of Prisons,16,,,,,,,,,235.75,499.0,,
Bureau of Prisons,17,,,,,,,,,235.75,455.0,,
Bureau of Prisons,18,17628.0,16750.0,15500.0,,,2091.0,,,235.75,424.0,,1.052
Bureau of Prisons,19,19076.0,24750.0,15949.0,,,3092.0,,,1448.0,483.0,,0.771
Bureau of Prisons,20,20838.0,24750.0,17003.0,,,3800.0,,,1762.0,674.0,,0.842
Bureau of Prisons,21,21315.0,24750.0,17316.0,,,3962.0,,,477.0,661.0,,0.861
Bureau of Prisons,22,23345.0,24750.0,18296.0,,,4977.0,,,2030.0,918.0,,0.943
Bureau of Prisons,23,24082.0,24750.0,18965.0,,,5044.0,,,737.0,989.0,,0.973
Bureau of Prisons,24,24360.0,24750.0,18988.0,,,5301.0,,,278.0,995.0,,0.984
Bureau of Prisons,25,25513.0,30050.0,19471.0,,,5971.0,,,1153.0,1126.0,,0.849
Bureau of Prisons,26,27326.0,30050.0,20415.0,,,6846.0,,,1813.0,1179.0,,0.909
Bureau of Prisons,27,28514.0,30050.0,21081.0,,,7368.0,,,1188.0,1097.0,,0.949
Bureau of Prisons,28,29754.0,30050.0,21674.0,,,8011.0,,,1240.0,1206.0,,0.99
Bureau of Prisons,29,30945.0,30050.0,22486.0,,,8389.0,,,1191.0,1086.0,,1.03
Bureau of Prisons,30,31285.0,30050.0,22725.0,,,8490.0,,,340.0,1029.0,,1.041
Bureau of Prisons,31,31285.0,30050.0,22725.0,,,8490.0,,,0.0,989.0,,1.041
Bureau of Prisons,32,32349.0,35950.0,23200.0,,,9079.0,,,1064.0,977.0,,0.9
Bureau of Prisons,33,34255.0,36450.0,24049.0,,,10130.0,,,1906.0,990.0,,0.94
Bureau of Prisons,34,36195.0,36650.0,24858.0,,,11259.0,,,1940.0,1097.0,,0.988
Bureau of Prisons,35,38164.0,37050.0,25657.0,,,12426.0,,,1969.0,1201.0,,1.03
Bureau of Prisons,36,39616.0,37050.0,26167.0,,,13362.0,,,1452.0,1239.0,,1.069
Bureau of Prisons,37,40333.0,37050.0,26410.0,,,13826.0,,,717.0,1293.0,,1.089
Bureau of Prisons,38,40333.0,37050.0,26410.0,,,13826.0,,,0.0,1293.0,,1.089
California,11,816301.0,3286050.0,703540.0,0.25,2.07,100089.0,1.78,8.32,,,,0.248
California,12,891489.0,3435650.0,744545.0,0.34,2.26,133689.0,1.88,8.7,75188.0,75188.0,1903.0,0.259
California,13,975293.0,3540175.0,801998.0,,2.47,,2.03,8.96,83804.0,79496.0,2012.0,0.275
California,14,1072959.0,3548575.0,865387.0,0.52,2.72,204374.0,2.19,8.98,97666.0,85553.0,2165.0,0.302
California,15,,,,,,,,,96867.75,88381.0,2237.0,
California,16,,,,,,,,,96867.75,90079.0,2280.0,
California,17,,,,,,,,,96867.75,91210.0,2308.0,
California,18,1460430.0,3548575.0,1195969.0,0.66,3.7,260838.0,3.03,8.98,96867.75,92018.0,2329.0,0.412
California,19,1532329.0,4169450.0,1255311.0,0.69,3.88,273276.0,3.18,10.55,71899.0,91549.0,2317.0,0.368
California,20,1633875.0,4379500.0,1335886.0,0.74,4.14,293834.0,3.38,11.08,101546.0,94083.0,2381.0,0.373
California,21,1803679.0,4714625.0,1477195.0,0.82,4.57,321839.0,3.74,11.93,169804.0,104389.0,2642.0,0.383
California,22,2008220.0,4906525.0,1661683.0,0.86,5.08,341731.0,4.2,12.42,204541.0,119770.0,3031.0,0.409
California,23,2199908.0,4906525.0,1838464.0,0.9,5.57,356382.0,4.65,12.42,191688.0,133316.0,3374.0,0.448
California,24,2330633.0,4906525.0,1954048.0,0.94,5.9,371482.0,4.94,12.42,130725.0,138153.0,3496.0,0.475
California,25,2446577.0,5340275.0,2053652.0,0.98,6.19,387563.0,5.2,13.52,115944.0,140878.0,3565.0,0.458
California,26,2579666.0,5452575.0,2156029.0,1.06,6.53,417606.0,5.46,13.8,133089.0,149620.0,3787.0,0.473
California,27,2746876.0,5547100.0,2281453.0,1.16,6.95,458585.0,5.77,14.04,167210.0,159000.0,4024.0,0.495
California,28,2910562.0,5640225.0,2415659.0,1.23,7.37,487552.0,6.11,14.27,163686.0,158126.0,4002.0,0.516
California,29,3095781.0,5666150.0,2563559.0,1.33,7.84,524350.0,6.49,14.34,185219.0,155366.0,3932.0,0.546
California,30,3285351.0,5666550.0,2717530.0,1.42,8.32,558977.0,6.88,14.34,189570.0,155063.0,3924.0,0.58
California,31,3453284.0,5666550.0,2861767.0,1.47,8.74,581985.0,7.24,14.34,167933.0,160379.0,4059.0,0.609
California,32,3543817.0,5670500.0,2940488.0,1.5,8.97,592045.0,7.44,14.35,90533.0,156749.0,3967.0,0.625
California,33,3671316.0,6343925.0,3044980.0,1.55,9.29,613845.0,7.71,16.06,127499.0,155950.0,3947.0,0.579
California,34,3723803.0,6438225.0,3085932.0,1.58,9.42,625189.0,7.81,16.29,52487.0,139561.0,3532.0,0.578
California,35,3920632.0,6773350.0,3228084.0,1.71,9.92,675027.0,8.17,17.14,196829.0,144296.0,3652.0,0.579
California,36,4137600.0,6963500.0,3389906.0,1.84,10.47,727993.0,8.58,17.62,216968.0,148831.0,3767.0,0.594
California,37,4485166.0,6963500.0,3653538.0,2.05,11.35,808832.0,9.25,17.62,347566.0,171402.0,4338.0,0.644
California,38,4682862.0,6963500.0,3811715.0,2.15,11.85,847993.0,9.65,17.62,197696.0,175654.0,4446.0,0.672
Colorado,11,224428.0,516750.0,187838.0,0.63,3.9,36425.0,3.26,8.97,,,,0.434
Colorado,12,239665.0,530800.0,198227.0,0.72,4.16,41271.0,3.44,9.22,15237.0,15237.0,2646.0,0.452
Colorado,13,254706.0,531775.0,209300.0,,4.42,,3.63,9.23,15041.0,15139.0,2629.0,0.479
Colorado,14,272233.0,531775.0,223761.0,0.82,4.73,47021.0,3.89,9.23,17527.0,15935.0,2767.0,0.512
Colorado,15,,,,,,,,,14514.75,15580.0,2705.0,
Colorado,16,,,,,,,,,14514.75,15367.0,2668.0,
Colorado,17,,,,,,,,,14514.75,15225.0,2644.0,
Colorado,18,330292.0,531775.0,278639.0,0.87,5.74,49897.0,4.84,9.23,14514.75,15123.0,2626.0,0.621
Colorado,19,340438.0,631400.0,287174.0,0.89,5.91,51460.0,4.99,10.96,10146.0,14396.0,2500.0,0.539
Colorado,20,353194.0,657250.0,296816.0,0.95,6.13,54474.0,5.15,11.41,12756.0,14070.0,2443.0,0.537
Colorado,21,377283.0,671200.0,313217.0,1.08,6.55,62086.0,5.44,11.66,24089.0,15007.0,2606.0,0.562
Colorado,22,377283.0,692700.0,313211.0,1.08,6.55,62086.0,5.44,12.03,0.0,12934.0,2246.0,0.545
Colorado,23,434496.0,692700.0,355124.0,1.34,7.54,76902.0,6.17,12.03,57213.0,19033.0,3305.0,0.627
Colorado,24,447880.0,692700.0,364889.0,1.4,7.78,80467.0,6.34,12.03,13384.0,18872.0,3277.0,0.647
Colorado,25,457746.0,726450.0,372266.0,1.44,7.95,82946.0,6.46,12.62,9866.0,18208.0,3162.0,0.63
Colorado,26,474527.0,775050.0,381679.0,1.57,8.24,90200.0,6.63,13.46,16781.0,19156.0,3326.0,0.612
Colorado,27,495706.0,806950.0,394156.0,1.71,8.61,98663.0,6.84,14.01,21179.0,20359.0,3535.0,0.614
Colorado,28,521879.0,813400.0,409939.0,1.88,9.06,108507.0,7.12,14.12,26173.0,20657.0,3587.0,0.642
Colorado,29,545356.0,813400.0,423054.0,2.06,9.47,118770.0,7.35,14.12,23477.0,24010.0,4169.0,0.67
Colorado,30,569234.0,813400.0,440576.0,2.17,9.88,125078.0,7.65,14.12,23878.0,19248.0,3342.0,0.7
Colorado,31,589787.0,813400.0,455422.0,2.27,10.24,130738.0,7.91,14.12,20553.0,20272.0,3520.0,0.725
Colorado,32,601347.0,871875.0,464938.0,2.31,10.44,132752.0,8.07,15.14,11560.0,20514.0,3562.0,0.69
Colorado,33,617125.0,940800.0,472820.0,2.44,10.72,140610.0,8.21,16.34,15778.0,20371.0,3537.0,0.656
Colorado,34,638923.0,983225.0,485332.0,2.6,11.1,149829.0,8.43,17.07,21798.0,20460.0,3553.0,0.65
Colorado,35,661703.0,989075.0,495381.0,2.82,11.49,162511.0,8.6,17.18,22780.0,19975.0,3469.0,0.669
Colorado,36,694860.0,991075.0,512024.0,3.11,12.07,178975.0,8.89,17.21,33157.0,21358.0,3709.0,0.701
Colorado,37,729895.0,991075.0,528379.0,3.43,12.68,197523.0,9.18,17.21,35035.0,22952.0,3986.0,0.736
Colorado,38,751960.0,991075.0,539961.0,3.61,13.06,207951.0,9.38,17.21,22065.0,23168.0,4023.0,0.759
Connecticut,11,151395.0,250775.0,56350.0,0.12,4.25,4174.0,1.58,7.03,,,,0.604
Connecticut,12,161875.0,315025.0,58920.0,0.15,4.54,5268.0,1.65,8.84,10480.0,10480.0,2939.0,0.514
Connecticut,13,171897.0,328675.0,156366.0,,4.82,,4.39,9.22,10022.0,10251.0,2875.0,0.523
Connecticut,14,185866.0,328775.0,166722.0,0.48,5.21,17162.0,4.68,9.22,13969.0,11490.0,3223.0,0.565
Connecticut,15,,,,,,,,,10914.5,11346.0,3182.0,
Connecticut,16,,,,,,,,,10914.5,11260.0,3158.0,
Connecticut,17,,,,,,,,,10914.5,11202.0,3142.0,
Connecticut,18,229524.0,328775.0,201664.0,0.65,6.44,23150.0,5.66,9.22,10914.5,11161.0,3130.0,0.698
Connecticut,19,243140.0,430375.0,213145.0,0.7,6.82,25018.0,5.98,12.07,13616.0,11609.0,3256.0,0.565
Connecticut,20,264707.0,435075.0,230913.0,0.8,7.42,28602.0,6.48,12.2,21567.0,13259.0,3719.0,0.608
Connecticut,21,287440.0,477250.0,248753.0,0.93,8.06,33149.0,6.98,13.39,22733.0,14511.0,4070.0,0.602
Connecticut,22,306796.0,492850.0,264042.0,1.04,8.6,37098.0,7.41,13.82,19356.0,15716.0,4408.0,0.622
Connecticut,23,321737.0,492850.0,275126.0,1.14,9.02,40506.0,7.72,13.82,14941.0,16292.0,4570.0,0.653
Connecticut,24,331264.0,492850.0,282674.0,1.19,9.29,42421.0,7.93,13.82,9527.0,16094.0,4514.0,0.672
Connecticut,25,342643.0,515675.0,291257.0,1.27,9.61,45190.0,8.17,14.46,11379.0,16160.0,4533.0,0.664
Connecticut,26,360991.0,543975.0,302710.0,1.46,10.12,51939.0,8.49,15.26,18348.0,16836.0,4722.0,0.664
Connecticut,27,381160.0,571775.0,315317.0,1.67,10.69,59437.0,8.84,16.04,20169.0,16636.0,4666.0,0.667
Connecticut,28,403370.0,577625.0,329149.0,1.9,11.31,67624.0,9.23,16.2,22210.0,16561.0,4645.0,0.698
