Country,Year,confirmed_cases,hospital_flow,hospital_stock,icu_flow,icu_stock,confirmed_deaths
Spain,423,15.9,20.3,,26.8,,23.7
Spain,424,15.7,20.0,,26.0,,22.8
Spain,425,15.1,19.4,,26.5,,21.7
Spain,426,14.5,19.1,,26.1,,20.7
Spain,427,14.3,19.2,,25.3,,20.1
Spain,428,14.1,19.6,,25.4,,19.0
Spain,429,13.8,19.5,,25.2,,18.5
Spain,430,13.6,19.3,,23.6,,18.0
Spain,431,13.5,19.1,,23.6,,17.9
Spain,432,13.4,18.8,,22.9,,17.7
Spain,433,13.3,18.9,,21.7,,17.0
Spain,434,13.2,18.5,,21.7,,15.9
Spain,435,13.1,18.1,,20.9,,15.5
Spain,436,13.1,17.8,,21.5,,15.2
Spain,437,13.1,18.0,,21.9,,14.5
Spain,438,13.1,17.9,,22.3,,13.9
Spain,439,13.3,17.6,,22.6,,12.8
Spain,440,13.4,17.3,,23.1,,12.7
Spain,441,13.6,17.4,,22.8,,13.2
Spain,442,14.0,17.7,,23.0,,13.2
Spain,443,13.5,18.0,,23.1,,13.3
Spain,444,13.5,18.0,,22.9,,13.7
Spain,445,13.7,18.4,,23.4,,13.5
Spain,446,13.9,19.1,,24.4,,14.1
Spain,447,14.4,19.7,,25.4,,14.3
Spain,448,14.9,19.7,,26.6,,13.9
Spain,449,15.3,20.1,,26.7,,14.2
Spain,450,16.5,20.7,,27.4,,13.9
Spain,451,17.0,21.4,,28.3,,13.5
Spain,452,17.2,21.6,,29.2,,13.3
Spain,453,17.7,21.4,,28.9,,13.8
Spain,454,18.1,21.9,,29.6,,14.0
Spain,455,18.9,22.7,,29.7,,14.3
Spain,456,18.2,23.4,,31.4,,14.6
Spain,457,16.7,24.0,,31.3,,14.4
Spain,458,16.9,24.4,,33.5,,15.0
Spain,459,17.4,25.4,,33.2,,15.0
Spain,460,17.5,26.5,,34.1,,15.0
Spain,461,18.6,26.7,,33.8,,14.7
Spain,462,19.3,26.9,,34.7,,14.7
Spain,463,21.2,27.3,,35.4,,14.4
Spain,464,23.9,27.6,,36.8,,14.5
Spain,465,24.3,28.0,,36.0,,14.3
Spain,466,24.2,28.1,,37.0,,14.3
Spain,467,24.7,28.7,,38.1,,13.6
Spain,468,24.4,28.9,,40.0,,13.6
Spain,469,24.3,29.2,,41.0,,13.5
Spain,470,24.1,29.3,,40.1,,13.4
Spain,471,23.9,29.6,,40.4,,13.6
Spain,472,23.8,29.4,,41.8,,13.1
Spain,473,23.7,29.4,,41.0,,12.7
Spain,474,23.6,28.6,,41.7,,12.8
Spain,475,23.8,28.5,,41.4,,12.5
Spain,476,23.6,28.3,,40.4,,12.1
Spain,477,23.6,28.2,,40.2,,11.6
Spain,478,23.6,27.8,,38.8,,11.3
Spain,479,23.5,27.0,,37.5,,11.4
Spain,480,23.4,26.4,,38.0,,11.5
Spain,481,23.5,26.2,,36.0,,11.5
Spain,482,23.1,25.5,,34.0,,11.5
Spain,483,23.0,25.0,,33.3,,11.6
Spain,484,22.6,23.4,,33.7,,11.6
Spain,485,22.2,22.7,,33.7,,11.5
Spain,486,21.8,22.3,,32.1,,11.0
Spain,487,21.5,21.8,,31.7,,10.5
Spain,488,20.3,21.2,,31.2,,10.2
Spain,489,19.4,20.6,,31.3,,10.0
Spain,490,18.8,20.1,,30.7,,9.4
Spain,491,18.0,19.6,,28.3,,9.1
Spain,492,17.4,18.8,,26.7,,8.9
Spain,493,17.2,18.3,,26.1,,8.4
Spain,494,17.0,17.5,,23.9,,8.0
Spain,495,17.0,16.7,,21.9,,7.8
Spain,496,16.3,16.2,,19.8,,7.3
Spain,497,15.5,15.7,,18.7,,7.2
Spain,498,15.0,15.3,,19.3,,7.0
Spain,499,14.3,14.9,,19.4,,6.8
Spain,500,14.1,14.1,,18.6,,6.8
Spain,501,14.0,13.5,,18.8,,6.5
Spain,502,13.7,13.2,,18.9,,6.3
Spain,503,13.7,12.9,,19.4,,5.8
Spain,504,13.5,12.6,,18.9,,5.2
Spain,505,13.4,12.4,,18.2,,4.9
Spain,506,13.2,12.1,,17.5,,4.8
Spain,507,13.2,11.9,,17.3,,4.8
Spain,508,13.1,11.9,,16.6,,4.9
Spain,509,12.8,11.6,,16.4,,4.7
Spain,510,12.6,11.5,,15.1,,5.1
Spain,511,12.6,11.6,,14.5,,5.3
Spain,512,12.5,11.5,,14.0,,5.4
Spain,513,12.4,11.2,,13.6,,5.4
Spain,514,12.5,11.1,,13.0,,4.9
Spain,515,12.5,10.9,,12.0,,5.0
Spain,516,12.6,10.5,,11.9,,4.6
Spain,517,12.5,10.2,,11.8,,4.5
Spain,518,12.4,10.1,,12.1,,4.0
Spain,519,12.1,9.9,,12.2,,3.9
Spain,520,11.7,9.7,,11.3,,3.7
Spain,521,11.6,9.4,,10.9,,3.6
Spain,522,11.5,9.1,,10.8,,3.5
Spain,523,11.2,9.1,,9.8,,3.6
Spain,524,10.8,8.9,,9.5,,3.5
Spain,525,10.4,8.8,,9.0,,3.6
Spain,526,10.2,8.3,,8.5,,3.3
Spain,527,10.0,8.1,,8.8,,3.1
Spain,528,9.9,8.0,,8.9,,3.2
Spain,529,9.8,7.8,,8.6,,3.1
Spain,530,9.6,7.4,,8.5,,3.0
Spain,531,9.6,7.1,,7.8,,2.8
Spain,532,9.5,6.9,,7.8,,2.7
Spain,533,9.5,6.8,,7.1,,2.8
Spain,534,9.5,6.6,,6.9,,2.9
Spain,535,9.5,6.3,,6.4,,2.8
Spain,536,9.6,6.1,,6.2,,2.7
Spain,537,9.7,6.2,,6.2,,2.6
Spain,538,9.8,6.4,,6.8,,2.6
Spain,539,10.2,6.6,,6.5,,2.5
Spain,540,10.2,6.6,,6.3,,2.5
Spain,541,10.8,6.7,,6.0,,2.3
Spain,542,11.4,6.9,,6.3,,2.1
Spain,543,12.0,7.4,,6.2,,2.1
Spain,544,13.7,7.5,,6.5,,2.0
Spain,545,16.3,8.0,,6.3,,1.8
Spain,546,19.5,8.2,,7.1,,2.0
Spain,547,23.6,8.8,,7.4,,2.1
Spain,548,27.4,9.4,,7.6,,2.3
Spain,549,30.0,10.2,,7.7,,2.4
Spain,550,31.8,11.1,,8.9,,2.6
Spain,551,35.4,11.9,,9.3,,2.9
Spain,552,39.3,12.5,,10.3,,3.3
Spain,553,43.3,13.4,,11.0,,3.9
Spain,554,46.8,14.7,,12.1,,3.9
Spain,555,50.7,16.0,,13.3,,4.0
Spain,556,52.6,17.5,,14.9,,4.4
Spain,557,54.5,18.7,,14.9,,5.1
Spain,558,58.1,20.3,,17.2,,5.8
Spain,559,61.3,21.7,,18.9,,6.5
Spain,560,64.1,23.1,,20.6,,6.7
Spain,561,66.8,24.9,,21.4,,8.3
Spain,562,68.9,27.0,,23.0,,9.1
Spain,563,70.3,28.6,,25.0,,9.8
Spain,564,71.2,30.4,,27.7,,10.6
Spain,565,72.8,32.1,,28.7,,11.0
Spain,566,74.2,33.0,,30.0,,11.5
Spain,567,75.0,33.8,,31.5,,12.7
Spain,568,75.7,34.5,,33.2,,12.8
Spain,569,75.8,34.9,,34.7,,13.4
Spain,570,75.7,35.2,,35.9,,14.3
Spain,571,74.9,35.0,,36.6,,14.6
Spain,572,73.3,34.8,,36.7,,15.9
Spain,573,72.1,35.0,,36.3,,16.4
Spain,574,70.1,34.4,,35.1,,16.6
Spain,575,67.9,33.4,,36.3,,16.5
Spain,576,66.1,33.5,,36.4,,16.5
Spain,577,64.8,33.2,,36.3,,16.9
Spain,578,63.5,33.0,,35.8,,17.1
Spain,579,61.2,32.6,,36.1,,16.9
Spain,580,58.2,31.9,,35.8,,17.8
Spain,581,55.6,31.8,,36.7,,17.9
Spain,582,53.2,31.9,,35.4,,18.5
Spain,583,50.5,30.9,,34.3,,19.5
Spain,584,49.0,30.2,,33.7,,19.6
Spain,585,48.0,29.6,,32.1,,20.2
Spain,586,46.1,28.4,,31.8,,20.2
Spain,587,44.3,27.9,,32.4,,19.4
Spain,588,42.4,27.3,,31.0,,19.2
Spain,589,40.5,26.2,,29.6,,18.7
Spain,590,38.4,25.1,,29.1,,17.6
Spain,591,37.2,24.3,,27.3,,17.3
Spain,592,36.5,23.3,,27.6,,16.3
Spain,593,34.3,22.7,,26.0,,16.3
Spain,594,32.2,22.0,,25.1,,15.9
Spain,595,30.9,21.3,,24.1,,15.7
Spain,596,29.6,20.8,,24.0,,15.4
Spain,597,28.8,20.2,,22.9,,15.4
Spain,598,28.2,19.5,,23.1,,15.2
Spain,599,27.6,19.0,,22.7,,15.1
Spain,600,27.7,18.5,,22.3,,14.6
Spain,601,26.8,17.8,,21.0,,14.4
Spain,602,25.3,17.5,,21.0,,14.2
Spain,603,23.9,16.7,,21.2,,13.7
Spain,604,22.4,16.1,,20.6,,13.3
Spain,605,21.4,15.4,,19.3,,12.6
Spain,606,20.9,14.7,,18.8,,12.1
Spain,607,19.4,13.9,,18.4,,11.6
Spain,608,18.3,13.4,,17.8,,11.2
Spain,609,17.1,12.9,,16.9,,10.6
Spain,610,15.9,12.4,,15.5,,10.4
Spain,611,14.6,12.0,,14.9,,10.3
Spain,612,14.1,11.3,,14.1,,9.7
Spain,613,13.8,10.5,,13.2,,9.6
Spain,614,13.0,10.0,,12.2,,9.3
Spain,615,12.0,9.6,,12.0,,9.1
Spain,616,11.1,9.1,,11.3,,8.9
Spain,617,10.5,8.6,,10.6,,8.9
Spain,618,10.0,7.9,,10.4,,8.7
Spain,619,9.6,7.6,,10.0,,8.7
Spain,620,9.4,7.5,,9.7,,8.4
Spain,621,9.0,7.2,,9.0,,7.8
Spain,622,8.5,6.9,,8.2,,7.2
Spain,623,8.2,6.7,,8.2,,7.0
Spain,624,7.8,6.3,,7.9,,6.7
Spain,625,7.5,6.1,,7.2,,6.0
Spain,626,7.3,5.7,,7.5,,5.4
Spain,627,7.2,5.5,,6.6,,4.8
Spain,628,6.8,5.3,,6.5,,4.7
Spain,629,6.5,5.3,,6.4,,4.7
Spain,630,6.4,5.1,,6.1,,4.5
Spain,631,6.1,4.8,,5.7,,4.6
Spain,632,5.9,4.6,,5.6,,4.6
Spain,633,5.9,4.5,,4.5,,4.7
Spain,634,5.8,4.3,,4.1,,4.5
Spain,635,5.9,4.2,,3.9,,4.4
Spain,636,5.7,4.1,,4.0,,4.3
Spain,637,5.5,4.0,,3.9,,4.0
Spain,638,5.3,4.0,,4.0,,3.6
Spain,639,5.1,3.8,,3.9,,3.5
Spain,640,5.0,3.7,,3.9,,3.3
Spain,641,4.9,3.7,,4.0,,3.5
Spain,642,4.7,3.5,,3.9,,3.4
Spain,643,4.5,3.5,,3.7,,3.1
Spain,644,4.4,3.6,,3.6,,3.2
Spain,645,4.3,3.7,,3.3,,3.1
Spain,646,4.3,3.6,,3.7,,3.0
Spain,647,4.3,4.0,,3.9,,3.0
Spain,648,4.2,4.0,,4.2,,3.0
Spain,649,4.2,4.2,,4.4,,3.1
Spain,650,3.8,4.3,,4.5,,3.2
Spain,651,3.9,4.3,,4.6,,3.1
Spain,652,4.0,4.4,,5.5,,3.1
Spain,653,4.1,4.6,,5.7,,3.1
Spain,654,4.2,4.5,,6.1,,3.0
Spain,655,4.3,4.5,,6.1,,3.1
Spain,656,4.3,4.5,,6.2,,2.9
Spain,657,4.9,4.5,,6.1,,2.8
Spain,658,4.9,4.4,,6.3,,2.6
Spain,659,4.9,4.3,,5.9,,2.8
Spain,660,4.9,4.2,,5.8,,2.7
Spain,661,4.9,4.4,,5.5,,2.6
Spain,662,5.0,4.4,,5.5,,2.4
Spain,663,5.0,4.6,,5.4,,2.4
Spain,664,5.0,4.6,,5.9,,2.1
Spain,665,5.0,4.7,,5.8,,2.2
Spain,666,5.1,4.7,,5.6,,2.1
Spain,667,5.2,5.2,,5.1,,2.3
Spain,668,5.3,5.1,,5.4,,2.7
Spain,669,5.4,5.1,,5.1,,3.1
Spain,670,4.9,5.2,,4.9,,3.3
Spain,671,5.2,5.2,,4.9,,3.4
Spain,672,5.5,5.3,,5.2,,3.9
Spain,673,5.9,5.8,,5.2,,3.9
Spain,674,6.2,5.7,,6.0,,3.8
Spain,675,6.4,6.0,,6.4,,3.7
Spain,676,6.5,6.2,,7.1,,3.7
Spain,677,7.4,6.3,,7.3,,3.6
Spain,678,7.8,6.6,,7.3,,3.8
Spain,679,8.2,6.7,,7.2,,3.4
Spain,680,8.8,6.7,,7.5,,3.4
Spain,681,9.4,7.0,,7.3,,3.6
Spain,682,9.9,7.2,,7.4,,3.7
Spain,683,10.2,7.4,,7.2,,3.6
Spain,684,11.1,8.1,,7.1,,3.5
Spain,685,12.1,8.4,,7.7,,3.6
Spain,686,13.2,8.8,,7.8,,4.0
Spain,687,14.2,9.4,,8.7,,4.2
Spain,688,15.3,9.9,,9.8,,4.0
Spain,689,16.0,10.6,,10.2,,4.2
Spain,690,16.4,11.0,,11.4,,4.7
Spain,691,17.4,11.1,,12.4,,5.0
Spain,692,18.5,11.3,,12.6,,5.2
Spain,693,19.8,11.5,,13.0,,5.4
Spain,694,21.0,11.5,,13.1,,5.6
Spain,695,22.3,12.0,,13.6,,6.1
Spain,696,23.3,12.2,,13.7,,6.4
Spain,697,23.8,12.6,,14.3,,6.6
Spain,698,25.2,13.0,,15.4,,6.8
Spain,699,26.8,13.4,,16.0,,7.1
Spain,700,28.7,13.7,,16.7,,7.3
Spain,701,30.9,13.9,,17.5,,7.4
Spain,702,32.9,13.9,,17.1,,7.2
Spain,703,34.6,13.9,,18.3,,7.2
Spain,704,35.8,14.4,,18.3,,7.4
Spain,705,34.4,15.2,,18.1,,7.3
Spain,706,36.4,16.1,,19.0,,7.8
Spain,707,35.4,16.6,,20.1,,8.2
Spain,708,37.6,17.4,,20.0,,8.7
Spain,709,41.5,18.0,,21.3,,9.4
Spain,710,43.7,19.0,,21.6,,10.0
Spain,711,45.8,19.4,,23.2,,10.3
Spain,712,53.5,19.9,,24.7,,10.7
Spain,713,59.0,20.1,,25.3,,10.6
Spain,714,68.7,20.7,,24.7,,10.5
Spain,715,75.7,21.6,,25.5,,10.7
Spain,716,82.9,22.7,,25.9,,10.7
Spain,717,86.9,23.7,,25.6,,10.8
Spain,718,90.7,24.6,,24.4,,10.9
Spain,719,101.7,25.0,,23.9,,11.6
Spain,720,118.6,25.9,,24.1,,11.9
Spain,721,138.3,27.3,,25.0,,12.5
Spain,722,161.4,29.3,,25.4,,12.8
Spain,723,173.3,31.3,,26.3,,13.2
Spain,724,181.1,33.6,,28.1,,13.7
Spain,725,192.8,35.8,,28.1,,14.6
Spain,726,216.5,37.0,,28.6,,15.1
Spain,727,241.0,37.9,,27.6,,15.4
Spain,728,265.4,39.0,,28.4,,15.7
Spain,729,284.6,40.0,,28.6,,16.3
Spain,730,295.5,41.6,,28.6,,17.2
Spain,731,299.8,42.8,,27.7,,17.9
Spain,732,306.6,43.0,,29.2,,
Spain,733,316.8,45.4,,29.0,,
Spain,734,326.8,47.9,,29.7,,
Spain,735,329.7,49.0,,29.3,,
Spain,736,300.9,50.5,,29.9,,
Spain,737,316.9,,,30.0,,
Spain,738,328.3,,,,,
Spain,739,335.4,,,,,
Spain,740,343.6,,,,,
Israel,319,8.0,,27.6,18.6,,14.0
Israel,320,8.3,,26.9,18.3,,12.5
Israel,321,8.5,,28.0,18.5,,12.3
Israel,322,8.6,,27.4,18.2,,13.5
Israel,323,8.5,,27.5,17.9,,13.5
Israel,324,8.5,,27.9,16.8,,13.7
Israel,325,8.7,,27.3,17.3,,14.2
Israel,326,9.0,,25.6,17.1,,14.5
Israel,327,9.1,,26.3,18.0,,14.0
Israel,328,9.2,,26.3,17.0,,14.2
Israel,329,9.6,,25.1,17.2,,14.7
Israel,330,10.2,,24.9,17.0,,16.6
Israel,331,10.6,,27.0,19.6,,17.3
Israel,332,10.9,,27.2,20.7,,17.8
Israel,333,11.4,,27.8,22.6,,19.3
Israel,334,11.9,,28.2,23.7,,19.5
Israel,335,12.4,,28.9,25.5,,20.5
Israel,336,13.3,,29.7,25.8,,21.2
Israel,337,13.9,,29.6,26.8,,21.7
Israel,338,14.8,,31.1,24.9,,22.7
Israel,339,15.5,,30.9,24.3,,23.9
Israel,340,16.1,,31.1,23.5,,24.6
Israel,341,17.1,,31.3,24.5,,27.0
Israel,342,18.1,,32.2,25.4,,28.2
Israel,343,18.5,,32.5,27.8,,27.7
Israel,344,19.5,,33.1,29.0,,30.1
Israel,345,20.1,,36.7,31.3,,29.6
Israel,346,20.6,,38.0,33.3,,30.8
Israel,347,21.2,,38.9,36.2,,31.8
Israel,348,22.0,,39.0,37.2,,32.3
Israel,349,23.9,,40.2,39.0,,36.1
Israel,350,25.6,,41.4,39.0,,39.0
Israel,351,27.0,,42.2,40.7,,36.9
Israel,352,28.7,,46.0,43.3,,41.9
Israel,353,29.7,,46.6,44.9,,45.1
Israel,354,32.0,,48.4,45.4,,46.0
Israel,355,34.7,,49.0,47.5,,47.2
Israel,356,37.2,,49.5,48.9,,48.7
Israel,357,39.3,,50.7,51.4,,48.2
Israel,358,41.3,,53.1,53.3,,54.7
Israel,359,43.4,,57.8,55.0,,57.6
Israel,360,44.7,,56.7,57.1,,60.5
Israel,361,45.5,,57.8,60.6,,58.8
Israel,362,48.3,,58.6,62.5,,62.9
Israel,363,50.5,,60.5,62.5,,60.5
Israel,364,53.6,,62.7,65.5,,68.2
Israel,365,56.7,,64.2,69.6,,71.6
Israel,366,60.1,,72.0,73.7,,74.2
Israel,367,62.8,,73.2,77.9,,75.7
Israel,368,65.7,,75.7,79.7,,82.2
Israel,369,70.7,,76.9,81.0,,85.3
Israel,370,75.1,,79.0,86.1,,89.6
Israel,371,78.6,,79.7,88.7,,86.7
Israel,372,81.7,,82.6,91.1,,86.3
Israel,373,85.4,,89.6,91.2,,83.6
Israel,374,87.0,,90.4,92.9,,86.7
Israel,375,89.9,,89.7,95.9,,88.0
Israel,376,92.2,,89.9,98.6,,92.5
Israel,377,94.0,,91.6,97.1,,95.9
Israel,378,96.7,,92.8,98.3,,98.3
Israel,379,99.5,,93.4,97.1,,99.8
Israel,380,100.0,,100.0,100.0,,100.0
Israel,381,99.9,,96.7,97.3,,95.2
Israel,382,97.6,,94.9,95.4,,91.8
Israel,383,98.3,,92.8,94.1,,86.0
Israel,384,97.2,,91.3,95.3,,82.7
Israel,385,95.3,,89.2,93.1,,84.6
Israel,386,91.8,,89.4,95.1,,83.6
Israel,387,90.0,,94.3,93.3,,83.4
Israel,388,85.5,,90.6,92.9,,80.5
Israel,389,84.2,,88.1,92.1,,83.9
Israel,390,81.8,,86.0,89.5,,82.2
Israel,391,80.4,,85.9,86.4,,78.3
Israel,392,79.4,,84.8,85.4,,73.7
Israel,393,79.3,,83.2,82.3,,67.7
Israel,394,78.2,,89.0,80.4,,63.4
Israel,395,78.5,,87.2,83.8,,65.3
Israel,396,79.0,,86.8,84.0,,59.8
Israel,397,79.4,,85.4,86.5,,58.1
Israel,398,79.8,,83.1,87.0,,54.7
Israel,399,79.3,,79.2,87.0,,54.7
Israel,400,79.4,,79.0,87.3,,53.5
Israel,401,79.1,,84.4,84.3,,54.7
Israel,402,79.1,,83.0,80.8,,50.1
Israel,403,78.0,,78.7,76.9,,49.2
Israel,404,76.2,,77.0,72.2,,46.0
Israel,405,73.0,,75.1,72.6,,46.0
Israel,406,70.0,,71.9,72.7,,44.6
Israel,407,66.1,,71.5,70.5,,44.6
Israel,408,62.8,,75.6,68.9,,41.7
Israel,409,61.5,,74.0,65.5,,41.7
Israel,410,59.6,,71.7,63.5,,42.7
Israel,411,55.0,,70.7,61.6,,41.9
Israel,412,52.3,,67.9,57.7,,42.4
Israel,413,49.7,,63.2,53.0,,38.8
Israel,414,46.8,,62.9,51.4,,36.4
Israel,415,45.3,,67.1,52.3,,34.9
Israel,416,44.2,,63.3,52.1,,34.0
Israel,417,43.6,,61.7,53.2,,31.8
Israel,418,42.9,,59.9,54.5,,30.4
Israel,419,42.7,,57.5,54.4,,31.3
Israel,420,43.0,,56.4,54.6,,29.9
Israel,421,43.9,,57.6,54.7,,29.9
Israel,422,43.9,,61.0,53.5,,30.1
Israel,423,44.2,,59.6,54.3,,28.7
Israel,424,44.1,,58.1,53.8,,27.7
Israel,425,44.2,,56.5,53.4,,30.4
Israel,426,44.1,,56.0,56.1,,29.2
Israel,427,44.7,,52.2,54.5,,29.6
Israel,428,44.4,,51.5,53.1,,28.7
Israel,429,44.2,,55.6,50.8,,26.5
Israel,430,44.9,,54.2,48.3,,26.5
Israel,431,43.7,,52.0,46.3,,24.3
Israel,432,41.9,,50.6,45.4,,21.4
Israel,433,39.7,,49.5,41.4,,20.5
Israel,434,36.6,,46.7,42.3,,20.0
Israel,435,34.7,,47.0,39.6,,19.3
Israel,436,32.5,,49.6,39.5,,19.5
Israel,437,30.6,,46.3,36.9,,19.3
Israel,438,29.0,,44.3,36.8,,19.0
Israel,439,26.1,,42.6,35.1,,18.6
Israel,440,23.5,,42.1,34.0,,17.8
Israel,441,21.2,,39.3,31.4,,17.1
Israel,442,19.0,,38.9,29.0,,18.6
Israel,443,16.7,,40.7,27.3,,18.1
Israel,444,16.0,,37.3,27.0,,19.3
Israel,445,14.7,,34.6,25.8,,19.5
Israel,446,12.8,,35.3,24.4,,18.6
Israel,447,11.3,,34.0,22.4,,17.6
Israel,448,9.5,,30.4,20.3,,16.1
Israel,449,8.8,,28.5,19.1,,14.5
Israel,450,7.8,,28.6,17.4,,15.2
Israel,451,7.6,,30.2,15.7,,13.7
Israel,452,6.7,,27.8,13.1,,14.2
Israel,453,5.6,,25.9,11.7,,13.7
Israel,454,5.2,,24.8,11.9,,13.7
Israel,455,5.2,,22.8,11.0,,15.4
Israel,456,4.3,,22.7,10.7,,14.0
Israel,457,4.2,,23.1,10.0,,12.0
Israel,458,4.0,,21.9,9.4,,10.8
Israel,459,4.1,,21.9,8.9,,10.4
Israel,460,4.1,,21.0,9.6,,9.9
Israel,461,3.9,,19.7,9.1,,9.2
Israel,462,3.5,,18.5,9.1,,6.7
Israel,463,3.3,,18.2,9.0,,6.5
Israel,464,3.0,,18.2,9.1,,6.3
Israel,465,2.9,,17.3,8.0,,6.3
Israel,466,2.8,,15.9,7.2,,5.5
Israel,467,2.5,,15.0,6.1,,4.8
Israel,468,2.3,,14.0,5.7,,4.8
Israel,469,2.2,,14.0,5.5,,5.5
Israel,470,2.0,,13.8,5.3,,5.1
Israel,471,1.8,,14.3,4.5,,5.1
Israel,472,1.8,,13.3,4.9,,4.3
Israel,473,1.8,,12.3,5.0,,3.9
Israel,474,1.7,,11.6,5.0,,3.9
Israel,475,1.6,,11.2,4.7,,3.6
Israel,476,1.5,,10.3,3.9,,2.7
Israel,477,1.6,,10.0,4.0,,3.1
Israel,478,1.6,,10.5,3.9,,3.1
Israel,479,1.5,,9.7,3.5,,3.1
Israel,480,1.3,,9.2,3.4,,2.9
Israel,481,1.3,,8.7,3.3,,2.9
Israel,482,1.1,,8.3,3.5,,2.9
Israel,483,1.1,,7.8,3.4,,2.7
Israel,484,1.1,,7.8,2.8,,2.2
Israel,485,1.0,,8.1,2.8,,2.2
Israel,486,1.0,,7.8,2.8,,1.7
Israel,487,0.9,,7.5,2.6,,1.7
Israel,488,0.9,,7.4,2.2,,1.7
Israel,489,0.8,,6.6,2.1,,1.9
Israel,490,0.8,,6.8,1.9,,1.7
Israel,491,0.7,,6.6,1.4,,1.7
Israel,492,0.6,,6.8,1.4,,1.2
Israel,493,0.6,,6.3,1.1,,1.7
Israel,494,0.6,,6.0,1.0,,1.4
Israel,495,0.6,,5.8,1.1,,1.4
Israel,496,0.5,,5.6,0.9,,1.0
Israel,497,0.4,,5.4,1.2,,1.2
Israel,498,0.4,,5.3,1.2,,1.2
Israel,499,0.4,,5.3,1.1,,1.7
Israel,500,0.4,,5.1,1.3,,1.4
Israel,501,0.4,,5.3,1.6,,1.4
Israel,502,0.3,,5.2,1.4,,1.2
Israel,503,0.3,,5.3,1.3,,1.0
Israel,504,0.3,,5.0,1.1,,1.0
Israel,505,0.4,,4.7,1.2,,1.0
Israel,506,0.3,,4.7,1.0,,0.7
Israel,507,0.3,,4.6,0.8,,0.5
