vaccine,date,total_vaccinations,location
Sinovac,2021-03-22,8026718.0,Chile
Sinovac,2021-03-23,8207035.0,Chile
Sinovac,2021-03-24,8372209.0,Chile
Sinovac,2021-03-25,8529715.0,Chile
Sinovac,2021-03-26,8707802.0,Chile
Sinovac,2021-03-27,8721391.0,Chile
Sinovac,2021-03-28,8722775.0,Chile
Sinovac,2021-03-29,8966617.0,Chile
Sinovac,2021-03-30,9186371.0,Chile
Sinovac,2021-03-31,9418476.0,Chile
Sinovac,2021-04-01,9691446.0,Chile
Sinovac,2021-04-02,9698252.0,Chile
Sinovac,2021-04-03,9701047.0,Chile
