date,location,vaccine,total_vaccinations
2021-01-05,Romania,Moderna,0
2021-01-06,Romania,Moderna,0
2021-01-07,Romania,Moderna,0
2021-01-08,Romania,Moderna,0
2021-01-09,Romania,Moderna,0
2021-01-10,Romania,Moderna,0
2021-01-11,Romania,Moderna,0
2021-01-12,Romania,Moderna,0
2021-01-13,Romania,Moderna,0
2021-01-14,Romania,Moderna,0
2021-01-15,Romania,Moderna,0
2021-01-16,Romania,Moderna,0
2021-01-17,Romania,Moderna,0
2021-01-18,Romania,Moderna,0
2021-01-19,Romania,Moderna,0
2021-01-20,Romania,Moderna,0
2021-01-21,Romania,Moderna,0
2021-01-22,Romania,Moderna,0
2021-01-23,Romania,Moderna,0
2021-01-24,Romania,Moderna,0
2021-01-25,Romania,Moderna,0
2021-01-26,Romania,Moderna,0
2021-01-27,Romania,Moderna,0
2021-01-28,Romania,Moderna,0
2021-01-29,Romania,Moderna,0
2021-01-30,Romania,Moderna,0
2021-01-31,Romania,Moderna,0
2021-02-01,Romania,Moderna,0
2021-02-02,Romania,Moderna,0
2021-02-03,Romania,Moderna,0
2021-02-04,Romania,Moderna,6443
2021-02-05,Romania,Moderna,14944
2021-02-06,Romania,Moderna,23087
2021-02-07,Romania,Moderna,31026
2021-02-08,Romania,Moderna,35454
2021-02-09,Romania,Moderna,40399
2021-02-10,Romania,Moderna,44448
2021-02-11,Romania,Moderna,47769
2021-02-12,Romania,Moderna,51388
2021-02-13,Romania,Moderna,54855
2021-02-14,Romania,Moderna,57881
2021-02-15,Romania,Moderna,60916
2021-02-16,Romania,Moderna,63951
2021-02-17,Romania,Moderna,69323
2021-02-18,Romania,Moderna,71707
2021-02-19,Romania,Moderna,72378
2021-02-20,Romania,Moderna,72676
2021-02-21,Romania,Moderna,72791
2021-02-22,Romania,Moderna,72935
2021-02-23,Romania,Moderna,73010
2021-02-24,Romania,Moderna,73017
2021-02-25,Romania,Moderna,73020
2021-02-26,Romania,Moderna,73020
2021-02-27,Romania,Moderna,73020
2021-02-28,Romania,Moderna,73020
2021-03-01,Romania,Moderna,73020
2021-03-02,Romania,Moderna,73020
2021-03-03,Romania,Moderna,73020
2021-03-04,Romania,Moderna,79862
2021-03-05,Romania,Moderna,88224
2021-03-06,Romania,Moderna,96530
2021-03-07,Romania,Moderna,104227
2021-03-08,Romania,Moderna,108871
2021-03-09,Romania,Moderna,113813
2021-03-10,Romania,Moderna,117819
2021-03-11,Romania,Moderna,121218
2021-03-12,Romania,Moderna,124766
2021-03-13,Romania,Moderna,128144
2021-03-14,Romania,Moderna,131137
2021-03-15,Romania,Moderna,137600
2021-03-16,Romania,Moderna,149732
2021-03-17,Romania,Moderna,158781
2020-12-27,Romania,Oxford/AstraZeneca,0
2020-12-28,Romania,Oxford/AstraZeneca,0
2020-12-29,Romania,Oxford/AstraZeneca,0
2020-12-30,Romania,Oxford/AstraZeneca,0
2020-12-31,Romania,Oxford/AstraZeneca,0
2021-01-01,Romania,Oxford/AstraZeneca,0
2021-01-02,Romania,Oxford/AstraZeneca,0
2021-01-03,Romania,Oxford/AstraZeneca,0
2021-01-04,Romania,Oxford/AstraZeneca,0
2021-01-05,Romania,Oxford/AstraZeneca,0
2021-01-06,Romania,Oxford/AstraZeneca,0
2021-01-07,Romania,Oxford/AstraZeneca,0
2021-01-08,Romania,Oxford/AstraZeneca,0
2021-01-09,Romania,Oxford/AstraZeneca,0
2021-01-10,Romania,Oxford/AstraZeneca,0
2021-01-11,Romania,Oxford/AstraZeneca,0
2021-01-12,Romania,Oxford/AstraZeneca,0
2021-01-13,Romania,Oxford/AstraZeneca,0
2021-01-14,Romania,Oxford/AstraZeneca,0
2021-01-15,Romania,Oxford/AstraZeneca,0
2021-01-16,Romania,Oxford/AstraZeneca,0
2021-01-17,Romania,Oxford/AstraZeneca,0
2021-01-18,Romania,Oxford/AstraZeneca,0
2021-01-19,Romania,Oxford/AstraZeneca,0
2021-01-20,Romania,Oxford/AstraZeneca,0
2021-01-21,Romania,Oxford/AstraZeneca,0
2021-01-22,Romania,Oxford/AstraZeneca,0
2021-01-23,Romania,Oxford/AstraZeneca,0
2021-01-24,Romania,Oxford/AstraZeneca,0
2021-01-25,Romania,Oxford/AstraZeneca,0
2021-01-26,Romania,Oxford/AstraZeneca,0
2021-01-27,Romania,Oxford/AstraZeneca,0
2021-01-28,Romania,Oxford/AstraZeneca,0
2021-01-29,Romania,Oxford/AstraZeneca,0
2021-01-30,Romania,Oxford/AstraZeneca,0
2021-01-31,Romania,Oxford/AstraZeneca,0
2021-02-01,Romania,Oxford/AstraZeneca,0
2021-02-02,Romania,Oxford/AstraZeneca,0
2021-02-03,Romania,Oxford/AstraZeneca,0
2021-02-04,Romania,Oxford/AstraZeneca,0
2021-02-05,Romania,Oxford/AstraZeneca,0
2021-02-06,Romania,Oxford/AstraZeneca,0
2021-02-07,Romania,Oxford/AstraZeneca,0
2021-02-08,Romania,Oxford/AstraZeneca,0
2021-02-09,Romania,Oxford/AstraZeneca,0
2021-02-10,Romania,Oxford/AstraZeneca,0
2021-02-11,Romania,Oxford/AstraZeneca,0
2021-02-12,Romania,Oxford/AstraZeneca,0
2021-02-13,Romania,Oxford/AstraZeneca,0
2021-02-14,Romania,Oxford/AstraZeneca,0
2021-02-15,Romania,Oxford/AstraZeneca,6812
2021-02-16,Romania,Oxford/AstraZeneca,13624
2021-02-17,Romania,Oxford/AstraZeneca,22956
2021-02-18,Romania,Oxford/AstraZeneca,31858
2021-02-19,Romania,Oxford/AstraZeneca,41296
2021-02-20,Romania,Oxford/AstraZeneca,50440
2021-02-21,Romania,Oxford/AstraZeneca,58747
2021-02-22,Romania,Oxford/AstraZeneca,68534
2021-02-23,Romania,Oxford/AstraZeneca,78141
2021-02-24,Romania,Oxford/AstraZeneca,87871
2021-02-25,Romania,Oxford/AstraZeneca,98055
2021-02-26,Romania,Oxford/AstraZeneca,109339
2021-02-27,Romania,Oxford/AstraZeneca,119310
2021-02-28,Romania,Oxford/AstraZeneca,127371
2021-03-01,Romania,Oxford/AstraZeneca,136586
2021-03-02,Romania,Oxford/AstraZeneca,146051
2021-03-03,Romania,Oxford/AstraZeneca,154730
2021-03-04,Romania,Oxford/AstraZeneca,162337
2021-03-05,Romania,Oxford/AstraZeneca,170102
2021-03-06,Romania,Oxford/AstraZeneca,177516
2021-03-07,Romania,Oxford/AstraZeneca,184012
2021-03-08,Romania,Oxford/AstraZeneca,190326
2021-03-09,Romania,Oxford/AstraZeneca,197660
2021-03-10,Romania,Oxford/AstraZeneca,204910
2021-03-11,Romania,Oxford/AstraZeneca,211212
2021-03-12,Romania,Oxford/AstraZeneca,217059
2021-03-13,Romania,Oxford/AstraZeneca,222922
2021-03-14,Romania,Oxford/AstraZeneca,228280
2021-03-15,Romania,Oxford/AstraZeneca,235679
2021-03-16,Romania,Oxford/AstraZeneca,242742
2021-03-17,Romania,Oxford/AstraZeneca,249300
