Entity,Code,Date,"Excess mortality P-scores, all ages"
Denmark,DNK,2020-04-19,5
Denmark,DNK,2020-04-26,10
Denmark,DNK,2020-05-03,1
Denmark,DNK,2020-05-10,1
Denmark,DNK,2020-05-17,-2
Denmark,DNK,2020-05-24,3
Denmark,DNK,2020-05-31,-1
Denmark,DNK,2020-06-07,-1
Denmark,DNK,2020-06-14,2
Denmark,DNK,2020-06-21,-2
Denmark,DNK,2020-06-28,5
Denmark,DNK,2020-07-05,6
Denmark,DNK,2020-07-12,1
Denmark,DNK,2020-07-19,7
Denmark,DNK,2020-07-26,-4
Denmark,DNK,2020-08-02,2
Denmark,DNK,2020-08-09,0
Denmark,DNK,2020-08-16,5
Denmark,DNK,2020-08-23,2
Denmark,DNK,2020-08-30,1
Denmark,DNK,2020-09-06,4
Denmark,DNK,2020-09-13,2
Denmark,DNK,2020-09-20,11
Denmark,DNK,2020-09-27,-3
England & Wales,,2020-01-05,0
England & Wales,,2020-01-12,2
England & Wales,,2020-01-19,-2
England & Wales,,2020-01-26,-7
England & Wales,,2020-02-02,-5
England & Wales,,2020-02-09,-8
England & Wales,,2020-02-16,-6
England & Wales,,2020-02-23,-6
England & Wales,,2020-03-01,-3
England & Wales,,2020-03-08,-5
England & Wales,,2020-03-15,-2
England & Wales,,2020-03-22,1
England & Wales,,2020-03-29,10
England & Wales,,2020-04-05,59
England & Wales,,2020-04-12,76
England & Wales,,2020-04-19,113
England & Wales,,2020-04-26,110
England & Wales,,2020-05-03,81
England & Wales,,2020-05-10,32
England & Wales,,2020-05-17,43
England & Wales,,2020-05-24,24
England & Wales,,2020-05-31,20
England & Wales,,2020-06-07,7
England & Wales,,2020-06-14,6
England & Wales,,2020-06-21,-1
England & Wales,,2020-06-28,-3
England & Wales,,2020-07-05,0
England & Wales,,2020-07-12,-6
England & Wales,,2020-07-19,-3
England & Wales,,2020-07-26,-2
England & Wales,,2020-08-02,-1
England & Wales,,2020-08-09,-2
England & Wales,,2020-08-16,3
England & Wales,,2020-08-23,5
England & Wales,,2020-08-30,10
England & Wales,,2020-09-06,-16
England & Wales,,2020-09-13,5
England & Wales,,2020-09-20,3
England & Wales,,2020-09-27,3
Estonia,EST,2020-01-05,-14
Estonia,EST,2020-01-12,-4
Estonia,EST,2020-01-19,-4
Estonia,EST,2020-01-26,-11
Estonia,EST,2020-02-02,-9
Estonia,EST,2020-02-09,-19
Estonia,EST,2020-02-16,0
Estonia,EST,2020-02-23,-1
Estonia,EST,2020-03-01,-6
Estonia,EST,2020-03-08,-12
Estonia,EST,2020-03-15,5
Estonia,EST,2020-03-22,0
Estonia,EST,2020-03-29,4
Estonia,EST,2020-04-05,4
Estonia,EST,2020-04-12,4
Estonia,EST,2020-04-19,4
Estonia,EST,2020-04-26,14
Estonia,EST,2020-05-03,6
Estonia,EST,2020-05-10,10
Estonia,EST,2020-05-17,-5
Estonia,EST,2020-05-24,-3
Estonia,EST,2020-05-31,10
Estonia,EST,2020-06-07,-3
Estonia,EST,2020-06-14,4
Estonia,EST,2020-06-21,1
Estonia,EST,2020-06-28,11
Estonia,EST,2020-07-05,3
Estonia,EST,2020-07-12,3
Estonia,EST,2020-07-19,4
Estonia,EST,2020-07-26,6
Estonia,EST,2020-08-02,14
Estonia,EST,2020-08-09,2
Estonia,EST,2020-08-16,5
Estonia,EST,2020-08-23,-1
Estonia,EST,2020-08-30,10
Estonia,EST,2020-09-06,5
Estonia,EST,2020-09-13,-6
Estonia,EST,2020-09-20,9
Estonia,EST,2020-09-27,12
Finland,FIN,2020-01-05,-10
Finland,FIN,2020-01-12,-10
Finland,FIN,2020-01-19,-10
Finland,FIN,2020-01-26,-8
Finland,FIN,2020-02-02,-6
Finland,FIN,2020-02-09,-1
Finland,FIN,2020-02-16,0
Finland,FIN,2020-02-23,0
Finland,FIN,2020-03-01,-6
Finland,FIN,2020-03-08,0
Finland,FIN,2020-03-15,0
Finland,FIN,2020-03-22,3
Finland,FIN,2020-03-29,4
Finland,FIN,2020-04-05,3
Finland,FIN,2020-04-12,13
Finland,FIN,2020-04-19,3
Finland,FIN,2020-04-26,12
Finland,FIN,2020-05-03,9
Finland,FIN,2020-05-10,8
Finland,FIN,2020-05-17,13
Finland,FIN,2020-05-24,0
Finland,FIN,2020-05-31,4
Finland,FIN,2020-06-07,2
Finland,FIN,2020-06-14,5
Finland,FIN,2020-06-21,10
Finland,FIN,2020-06-28,7
Finland,FIN,2020-07-05,5
Finland,FIN,2020-07-12,0
Finland,FIN,2020-07-19,6
Finland,FIN,2020-07-26,-1
Finland,FIN,2020-08-02,4
Finland,FIN,2020-08-09,2
Finland,FIN,2020-08-16,2
Finland,FIN,2020-08-23,5
Finland,FIN,2020-08-30,1
Finland,FIN,2020-09-06,0
Finland,FIN,2020-09-13,11
Finland,FIN,2020-09-20,-4
France,FRA,2020-01-05,-5
France,FRA,2020-01-12,-3
France,FRA,2020-01-19,-5
France,FRA,2020-01-26,-6
France,FRA,2020-02-02,-4
France,FRA,2020-02-09,-6
France,FRA,2020-02-16,-6
France,FRA,2020-02-23,-8
France,FRA,2020-03-01,-7
France,FRA,2020-03-08,-4
France,FRA,2020-03-15,4
France,FRA,2020-03-22,19
France,FRA,2020-03-29,39
France,FRA,2020-04-05,65
France,FRA,2020-04-12,57
France,FRA,2020-04-19,39
France,FRA,2020-04-26,17
France,FRA,2020-05-03,4
France,FRA,2020-05-10,4
France,FRA,2020-05-17,2
France,FRA,2020-05-24,5
France,FRA,2020-05-31,1
France,FRA,2020-06-07,1
France,FRA,2020-06-14,2
France,FRA,2020-06-21,0
France,FRA,2020-06-28,7
France,FRA,2020-07-05,-7
France,FRA,2020-07-12,0
France,FRA,2020-07-19,-4
France,FRA,2020-07-26,0
France,FRA,2020-08-02,5
France,FRA,2020-08-09,1
France,FRA,2020-08-16,11
Germany,DEU,2020-01-05,-2
Germany,DEU,2020-01-12,-1
Germany,DEU,2020-01-19,-2
Germany,DEU,2020-01-26,-5
Germany,DEU,2020-02-02,-3
Germany,DEU,2020-02-09,-7
Germany,DEU,2020-02-16,-5
Germany,DEU,2020-02-23,-10
Germany,DEU,2020-03-01,-10
Germany,DEU,2020-03-08,-8
Germany,DEU,2020-03-15,-3
Germany,DEU,2020-03-22,1
Germany,DEU,2020-03-29,4
Germany,DEU,2020-04-05,11
Germany,DEU,2020-04-12,14
Germany,DEU,2020-04-19,11
Germany,DEU,2020-04-26,6
Germany,DEU,2020-05-03,5
Germany,DEU,2020-05-10,2
Germany,DEU,2020-05-17,0
Germany,DEU,2020-05-24,3
Germany,DEU,2020-05-31,-1
Germany,DEU,2020-06-07,5
Germany,DEU,2020-06-14,4
Germany,DEU,2020-06-21,-1
Germany,DEU,2020-06-28,4
Germany,DEU,2020-07-05,0
Germany,DEU,2020-07-12,0
Germany,DEU,2020-07-19,-2
Germany,DEU,2020-07-26,-4
Germany,DEU,2020-08-02,0
Germany,DEU,2020-08-09,4
Germany,DEU,2020-08-16,19
Germany,DEU,2020-08-23,5
Germany,DEU,2020-08-30,-1
Germany,DEU,2020-09-06,2
Greece,GRC,2020-01-05,-3
Greece,GRC,2020-01-12,-2
Greece,GRC,2020-01-19,1
Greece,GRC,2020-01-26,0
Greece,GRC,2020-02-02,7
Greece,GRC,2020-02-09,6
Greece,GRC,2020-02-16,10
Greece,GRC,2020-02-23,0
Greece,GRC,2020-03-01,3
Greece,GRC,2020-03-08,9
Greece,GRC,2020-03-15,8
Greece,GRC,2020-03-22,9
Greece,GRC,2020-03-29,6
Greece,GRC,2020-04-05,4
Greece,GRC,2020-04-12,2
Greece,GRC,2020-04-19,1
Greece,GRC,2020-04-26,-2
Greece,GRC,2020-05-03,1
Greece,GRC,2020-05-10,-2
Greece,GRC,2020-05-17,16
Greece,GRC,2020-05-24,13
Greece,GRC,2020-05-31,-12
Greece,GRC,2020-06-07,-3
Greece,GRC,2020-06-14,-2
Greece,GRC,2020-06-21,-2
Greece,GRC,2020-06-28,-9
Hungary,HUN,2020-01-05,-10
Hungary,HUN,2020-01-12,-11
Hungary,HUN,2020-01-19,-12
Hungary,HUN,2020-01-26,-10
Hungary,HUN,2020-02-02,-8
Hungary,HUN,2020-02-09,-14
Hungary,HUN,2020-02-16,-8
Hungary,HUN,2020-02-23,-13
Hungary,HUN,2020-03-01,-4
Hungary,HUN,2020-03-08,-7
Hungary,HUN,2020-03-15,-5
Hungary,HUN,2020-03-22,6
Hungary,HUN,2020-03-29,0
Hungary,HUN,2020-04-05,1
Hungary,HUN,2020-04-12,4
Hungary,HUN,2020-04-19,3
Hungary,HUN,2020-04-26,-3
Hungary,HUN,2020-05-03,-5
Hungary,HUN,2020-05-10,-1
Hungary,HUN,2020-05-17,3
Hungary,HUN,2020-05-24,-7
Hungary,HUN,2020-05-31,-4
Hungary,HUN,2020-06-07,6
Hungary,HUN,2020-06-14,0
Hungary,HUN,2020-06-21,-8
Hungary,HUN,2020-06-28,3
Hungary,HUN,2020-07-05,4
Hungary,HUN,2020-07-12,-5
Hungary,HUN,2020-07-19,-8
Hungary,HUN,2020-07-26,-10
Hungary,HUN,2020-08-02,1
Hungary,HUN,2020-08-09,-1
Hungary,HUN,2020-08-16,-4
Hungary,HUN,2020-08-23,-2
Hungary,HUN,2020-08-30,-6
Hungary,HUN,2020-09-06,-2
Iceland,ISL,2020-01-05,24
Iceland,ISL,2020-01-12,15
Iceland,ISL,2020-01-19,17
Iceland,ISL,2020-01-26,23
Iceland,ISL,2020-02-02,-14
Iceland,ISL,2020-02-16,4
Iceland,ISL,2020-02-23,4
Iceland,ISL,2020-03-08,10
Iceland,ISL,2020-03-22,-6
Iceland,ISL,2020-03-29,-11
Iceland,ISL,2020-04-05,15
Iceland,ISL,2020-04-12,10
Iceland,ISL,2020-04-19,23
Iceland,ISL,2020-05-03,7
Iceland,ISL,2020-05-10,-11
Iceland,ISL,2020-05-24,15
Iceland,ISL,2020-05-31,17
Iceland,ISL,2020-06-14,-2
Iceland,ISL,2020-06-21,-20
Iceland,ISL,2020-06-28,-28
Iceland,ISL,2020-07-05,-19
Iceland,ISL,2020-07-12,20
Iceland,ISL,2020-07-19,7
Iceland,ISL,2020-07-26,-22
Iceland,ISL,2020-08-02,-3
Iceland,ISL,2020-08-16,-8
Israel,ISR,2020-01-05,8
Israel,ISR,2020-01-12,-4
Israel,ISR,2020-01-19,6
Israel,ISR,2020-01-26,-5
Israel,ISR,2020-02-02,-6
Israel,ISR,2020-02-09,-10
Israel,ISR,2020-02-16,-2
Israel,ISR,2020-02-23,0
Israel,ISR,2020-03-01,-6
Israel,ISR,2020-03-08,-1
Israel,ISR,2020-03-15,5
Israel,ISR,2020-03-22,3
Israel,ISR,2020-03-29,10
Israel,ISR,2020-04-05,18
Israel,ISR,2020-04-12,5
Israel,ISR,2020-04-19,13
Israel,ISR,2020-04-26,5
Israel,ISR,2020-05-03,2
Israel,ISR,2020-05-10,5
Israel,ISR,2020-05-17,6
Israel,ISR,2020-05-24,20
Israel,ISR,2020-05-31,6
Israel,ISR,2020-06-07,4
Israel,ISR,2020-06-14,4
Israel,ISR,2020-06-21,3
Israel,ISR,2020-06-28,3
Israel,ISR,2020-07-05,1
Israel,ISR,2020-07-12,10
Israel,ISR,2020-07-19,9
Israel,ISR,2020-07-26,3
Israel,ISR,2020-08-02,22
Israel,ISR,2020-08-09,8
Israel,ISR,2020-08-16,22
Israel,ISR,2020-08-23,15
Israel,ISR,2020-08-30,12
Israel,ISR,2020-09-06,5
Italy,ITA,2020-01-05,-12
Italy,ITA,2020-01-12,-10
Italy,ITA,2020-01-19,-8
Italy,ITA,2020-01-26,-5
Italy,ITA,2020-02-02,-5
Italy,ITA,2020-02-09,-4
Italy,ITA,2020-02-16,-3
Italy,ITA,2020-02-23,-4
Italy,ITA,2020-03-01,0
Italy,ITA,2020-03-08,11
Italy,ITA,2020-03-15,42
Italy,ITA,2020-03-22,78
Italy,ITA,2020-03-29,90
Italy,ITA,2020-04-05,69
Italy,ITA,2020-04-12,56
Italy,ITA,2020-04-19,39
Italy,ITA,2020-04-26,24
Italy,ITA,2020-05-03,13
Italy,ITA,2020-05-10,7
Italy,ITA,2020-05-17,4
Italy,ITA,2020-05-24,-2
Italy,ITA,2020-05-31,-4
Italy,ITA,2020-06-07,-6
Italy,ITA,2020-06-14,-10
Italy,ITA,2020-06-21,-6
Italy,ITA,2020-06-28,0
Latvia,LVA,2020-01-05,-2
Latvia,LVA,2020-01-12,-5
Latvia,LVA,2020-01-19,-15
Latvia,LVA,2020-01-26,-10
Latvia,LVA,2020-02-02,-9
Latvia,LVA,2020-02-09,-10
Latvia,LVA,2020-02-16,-10
Latvia,LVA,2020-02-23,-13
Latvia,LVA,2020-03-01,-29
Latvia,LVA,2020-03-08,-22
Latvia,LVA,2020-03-15,-14
Latvia,LVA,2020-03-22,-6
Latvia,LVA,2020-03-29,-11
Latvia,LVA,2020-04-05,-4
Latvia,LVA,2020-04-12,-15
Latvia,LVA,2020-04-19,4
Latvia,LVA,2020-04-26,-2
Latvia,LVA,2020-05-03,4
Latvia,LVA,2020-05-10,7
Latvia,LVA,2020-05-17,-2
Latvia,LVA,2020-05-24,7
Latvia,LVA,2020-05-31,-4
Latvia,LVA,2020-06-07,0
Latvia,LVA,2020-06-14,10
Latvia,LVA,2020-06-21,-6
Latvia,LVA,2020-06-28,-4
Latvia,LVA,2020-07-05,22
Latvia,LVA,2020-07-12,-8
Latvia,LVA,2020-07-19,-5
Latvia,LVA,2020-07-26,-1
Latvia,LVA,2020-08-02,1
Latvia,LVA,2020-08-09,-3
Latvia,LVA,2020-08-16,3
Latvia,LVA,2020-08-23,11
Latvia,LVA,2020-08-30,5
Latvia,LVA,2020-09-06,-4
Latvia,LVA,2020-09-13,-3
Latvia,LVA,2020-09-20,-2
Latvia,LVA,2020-09-27,-9
Latvia,LVA,2020-10-04,5
Lithuania,LTU,2020-01-05,-6
Lithuania,LTU,2020-01-12,-8
Lithuania,LTU,2020-01-19,-14
Lithuania,LTU,2020-01-26,-14
Lithuania,LTU,2020-02-02,-16
Lithuania,LTU,2020-02-09,-15
Lithuania,LTU,2020-02-16,-8
Lithuania,LTU,2020-02-23,-21
Lithuania,LTU,2020-03-01,-7
Lithuania,LTU,2020-03-08,-8
Lithuania,LTU,2020-03-15,-6
Lithuania,LTU,2020-03-22,0
Lithuania,LTU,2020-03-29,4
Lithuania,LTU,2020-04-05,-3
Lithuania,LTU,2020-04-12,2
Lithuania,LTU,2020-04-19,0
Lithuania,LTU,2020-04-26,3
Lithuania,LTU,2020-05-03,3
Lithuania,LTU,2020-05-10,-6
Lithuania,LTU,2020-05-17,-1
Lithuania,LTU,2020-05-24,-8
Lithuania,LTU,2020-05-31,-1
Lithuania,LTU,2020-06-07,-1
Lithuania,LTU,2020-06-14,15
Lithuania,LTU,2020-06-21,7
Lithuania,LTU,2020-06-28,11
Lithuania,LTU,2020-07-05,-1
Lithuania,LTU,2020-07-12,0
Lithuania,LTU,2020-07-19,8
Lithuania,LTU,2020-07-26,1
Lithuania,LTU,2020-08-02,2
Lithuania,LTU,2020-08-09,1
Lithuania,LTU,2020-08-16,7
Lithuania,LTU,2020-08-23,13
Lithuania,LTU,2020-08-30,1
Lithuania,LTU,2020-09-06,-2
Lithuania,LTU,2020-09-13,9
Lithuania,LTU,2020-09-20,2
Lithuania,LTU,2020-09-27,8
Luxembourg,LUX,2020-01-05,-27
Luxembourg,LUX,2020-01-12,-8
Luxembourg,LUX,2020-01-19,3
Luxembourg,LUX,2020-01-26,-2
Luxembourg,LUX,2020-02-02,-9
Luxembourg,LUX,2020-02-09,-7
Luxembourg,LUX,2020-02-16,-29
Luxembourg,LUX,2020-03-01,-16
Luxembourg,LUX,2020-03-15,12
Luxembourg,LUX,2020-03-22,3
Luxembourg,LUX,2020-03-29,30
Luxembourg,LUX,2020-04-05,8
Luxembourg,LUX,2020-04-12,62
Luxembourg,LUX,2020-04-19,13
Luxembourg,LUX,2020-04-26,13
Luxembourg,LUX,2020-05-03,-4
Luxembourg,LUX,2020-05-10,26
Luxembourg,LUX,2020-05-17,8
Luxembourg,LUX,2020-05-24,2
Luxembourg,LUX,2020-06-07,-1
Luxembourg,LUX,2020-06-14,-8
Luxembourg,LUX,2020-06-21,17
Luxembourg,LUX,2020-06-28,-1
Luxembourg,LUX,2020-07-05,-6
Luxembourg,LUX,2020-07-12,-9
Luxembourg,LUX,2020-07-19,0
Luxembourg,LUX,2020-08-02,19
Luxembourg,LUX,2020-08-09,26
Luxembourg,LUX,2020-08-16,35
Luxembourg,LUX,2020-08-23,10
Luxembourg,LUX,2020-08-30,-20
Netherlands,NLD,2020-01-05,-5
Netherlands,NLD,2020-01-12,0
Netherlands,NLD,2020-01-19,-4
Netherlands,NLD,2020-01-26,-9
Netherlands,NLD,2020-02-02,-5
Netherlands,NLD,2020-02-09,-3
Netherlands,NLD,2020-02-16,-4
Netherlands,NLD,2020-02-23,-13
Netherlands,NLD,2020-03-01,-6
Netherlands,NLD,2020-03-08,-7
Netherlands,NLD,2020-03-15,1
Netherlands,NLD,2020-03-22,18
Netherlands,NLD,2020-03-29,47
Netherlands,NLD,2020-04-05,75
Netherlands,NLD,2020-04-12,75
Netherlands,NLD,2020-04-19,52
Netherlands,NLD,2020-04-26,40
Netherlands,NLD,2020-05-03,24
Netherlands,NLD,2020-05-10,7
Netherlands,NLD,2020-05-17,2
Netherlands,NLD,2020-05-24,2
Netherlands,NLD,2020-05-31,0
Netherlands,NLD,2020-06-07,1
Netherlands,NLD,2020-06-14,2
Netherlands,NLD,2020-06-21,3
Netherlands,NLD,2020-06-28,0
Netherlands,NLD,2020-07-05,-4
Netherlands,NLD,2020-07-12,-1
Netherlands,NLD,2020-07-19,-6
Netherlands,NLD,2020-07-26,-1
Netherlands,NLD,2020-08-02,2
Netherlands,NLD,2020-08-09,0
Netherlands,NLD,2020-08-16,24
Netherlands,NLD,2020-08-23,9
Netherlands,NLD,2020-08-30,4
Netherlands,NLD,2020-09-06,4
Netherlands,NLD,2020-09-13,3
Netherlands,NLD,2020-09-20,2
New Zealand,NZL,2020-01-05,4
New Zealand,NZL,2020-01-12,-1
New Zealand,NZL,2020-01-19,12
New Zealand,NZL,2020-01-26,4
New Zealand,NZL,2020-02-02,7
New Zealand,NZL,2020-02-09,4
New Zealand,NZL,2020-02-16,12
New Zealand,NZL,2020-02-23,9
New Zealand,NZL,2020-03-01,3
New Zealand,NZL,2020-03-08,6
New Zealand,NZL,2020-03-15,2
New Zealand,NZL,2020-03-22,6
New Zealand,NZL,2020-03-29,3
New Zealand,NZL,2020-04-05,6
New Zealand,NZL,2020-04-12,11
New Zealand,NZL,2020-04-19,8
New Zealand,NZL,2020-04-26,4
New Zealand,NZL,2020-05-03,-9
New Zealand,NZL,2020-05-10,0
New Zealand,NZL,2020-05-17,0
New Zealand,NZL,2020-05-24,-4
New Zealand,NZL,2020-05-31,-9
New Zealand,NZL,2020-06-07,-8
New Zealand,NZL,2020-06-14,-3
New Zealand,NZL,2020-06-21,-6
New Zealand,NZL,2020-06-28,-8
New Zealand,NZL,2020-07-05,-9
New Zealand,NZL,2020-07-12,-13
New Zealand,NZL,2020-07-19,-4
New Zealand,NZL,2020-07-26,-6
New Zealand,NZL,2020-08-02,-8
New Zealand,NZL,2020-08-09,-12
New Zealand,NZL,2020-08-16,-12
New Zealand,NZL,2020-08-23,-5
New Zealand,NZL,2020-08-30,-13
New Zealand,NZL,2020-09-06,-6
New Zealand,NZL,2020-09-13,-10
New Zealand,NZL,2020-09-20,-15
Northern Ireland,,2020-01-05,-53
Northern Ireland,,2020-01-12,-1
Northern Ireland,,2020-01-19,6
Northern Ireland,,2020-01-26,-8
Northern Ireland,,2020-02-02,-9
Northern Ireland,,2020-02-09,0
Northern Ireland,,2020-02-16,-3
Northern Ireland,,2020-02-23,-17
Northern Ireland,,2020-03-01,4
Northern Ireland,,2020-03-08,-10
Northern Ireland,,2020-03-15,4
Northern Ireland,,2020-03-22,-14
Northern Ireland,,2020-03-29,-7
Northern Ireland,,2020-04-05,57
Northern Ireland,,2020-04-12,45
Northern Ireland,,2020-04-19,46
Northern Ireland,,2020-04-26,57
Northern Ireland,,2020-05-03,43
Northern Ireland,,2020-05-10,21
Northern Ireland,,2020-05-17,35
Northern Ireland,,2020-05-24,11
Northern Ireland,,2020-05-31,23
