location,iso_code,year,gdp_per_capita
Tonga,TON,2017,5425.621
Trinidad and Tobago,TTO,2017,28763.071
Tunisia,TUN,2017,10849.297
Turkey,TUR,2017,25129.341
Turkmenistan,TKM,2017,16389.023
Tuvalu,TUV,2017,3575.104
Uganda,UGA,2017,1697.707
Ukraine,UKR,2017,7894.393
United Arab Emirates,ARE,2017,67293.483
United Kingdom,GBR,2017,39753.244
United States,USA,2017,54225.446
Upper middle income,"",2017,16319.659
Uruguay,URY,2017,20551.409
Uzbekistan,UZB,2017,6253.104
Vanuatu,VUT,2017,2921.909
Vietnam,VNM,2017,6171.884
World,OWID_WRL,2017,15469.207
Zambia,ZMB,2017,3689.251
Zimbabwe,ZWE,2017,1899.775
Puerto Rico,PRI,2016,35044.67
South Sudan,SSD,2016,1569.888
Yemen,YEM,2016,1479.147
Venezuela,VEN,2014,16745.022
Bermuda,BMU,2013,50669.315
Aruba,ABW,2011,35973.781
Cayman Islands,CYM,2011,49903.029
Djibouti,DJI,2011,2705.406
Eritrea,ERI,2011,1510.459
Sint Maarten (Dutch part),SXM,2011,36327.232
