location,iso_code,year,male_smokers
Montenegro,MNE,2016,47.9
Morocco,MAR,2016,47.1
Mozambique,MOZ,2016,29.1
Myanmar,MMR,2016,35.2
Namibia,NAM,2016,34.2
Nauru,NRU,2016,36.9
Nepal,NPL,2016,37.8
Netherlands,NLD,2016,27.3
New Zealand,NZL,2016,17.2
Niger,NER,2016,15.4
Nigeria,NGA,2016,10.8
North America,"",2016,23.777
Norway,NOR,2016,20.7
OECD members,"",2016,29.205
Oman,OMN,2016,15.6
Other small states,"",2016,36.155
Pakistan,PAK,2016,36.7
Palau,PLW,2016,22.7
Panama,PAN,2016,9.9
Papua New Guinea,PNG,2016,48.8
Paraguay,PRY,2016,21.6
Philippines,PHL,2016,40.8
Poland,POL,2016,33.1
Portugal,PRT,2016,30
Post-demographic dividend,"",2016,30.142
Qatar,QAT,2016,26.9
Romania,ROU,2016,37.1
Russia,RUS,2016,58.3
Rwanda,RWA,2016,21
Samoa,WSM,2016,38.1
Saudi Arabia,SAU,2016,25.4
Senegal,SEN,2016,16.6
Serbia,SRB,2016,40.2
Seychelles,SYC,2016,35.7
Sierra Leone,SLE,2016,41.3
Singapore,SGP,2016,28.3
Slovakia,SVK,2016,37.7
Slovenia,SVN,2016,25
Small states,"",2016,35.244
South Africa,ZAF,2016,33.2
South Asia,"",2016,24.828
South Asia (IDA & IBRD),"",2016,24.828
South Korea,KOR,2016,40.9
Spain,ESP,2016,31.4
Sri Lanka,LKA,2016,27
Sub-Saharan Africa,"",2016,18.353
Sub-Saharan Africa (IDA & IBRD),"",2016,18.353
Sub-Saharan Africa (excluding high income),"",2016,18.35
Suriname,SUR,2016,42.9
Eswatini,SWZ,2016,16.5
Sweden,SWE,2016,18.9
Switzerland,CHE,2016,28.9
Tanzania,TZA,2016,26.7
Thailand,THA,2016,38.8
Timor,TLS,2016,78.1
Togo,TGO,2016,14.2
Tonga,TON,2016,44.4
Tunisia,TUN,2016,65.8
Turkey,TUR,2016,41.1
Uganda,UGA,2016,16.7
Ukraine,UKR,2016,47.4
United Arab Emirates,ARE,2016,37.4
United Kingdom,GBR,2016,24.7
United States,USA,2016,24.6
Upper middle income,"",2016,41.668
Uruguay,URY,2016,19.9
Uzbekistan,UZB,2016,24.7
Vanuatu,VUT,2016,34.5
Vietnam,VNM,2016,45.9
World,OWID_WRL,2016,34.635
Yemen,YEM,2016,29.2
Zambia,ZMB,2016,24.7
Zimbabwe,ZWE,2016,30.7
Pacific island small states,"",2014,39.267
