location,iso_code,year,population_density
Honduras,HND,2017,82.805
Hong Kong,HKG,2017,7039.714
Hungary,HUN,2017,108.043
IBRD only,"",2017,68.35
IDA & IBRD total,"",2017,66.375
IDA blend,"",2017,89.772
IDA only,"",2017,52.838
IDA total,"",2017,61.17
Iceland,ISL,2017,3.404
India,IND,2017,450.419
Indonesia,IDN,2017,145.725
Iran,IRN,2017,49.831
Iraq,IRQ,2017,88.125
Ireland,IRL,2017,69.874
Isle of Man,IMN,2017,147.872
Israel,ISR,2017,402.606
Italy,ITA,2017,205.859
Jamaica,JAM,2017,266.879
Japan,JPN,2017,347.778
Jordan,JOR,2017,109.285
Kazakhstan,KAZ,2017,6.681
Kenya,KEN,2017,87.324
Kiribati,KIR,2017,143.701
Kosovo,OWID_KOS,2017,168.155
Kuwait,KWT,2017,232.128
Kyrgyzstan,KGZ,2017,32.333
Laos,LAO,2017,29.715
Late-demographic dividend,"",2017,51.161
Latin America & Caribbean,"",2017,32.144
Latin America & Caribbean (IDA & IBRD),"",2017,31.539
Latin America & Caribbean (excluding high income),"",2017,34.893
Latvia,LVA,2017,31.212
Least developed countries: UN classification,"",2017,49.779
Lebanon,LBN,2017,594.561
Lesotho,LSO,2017,73.562
Liberia,LBR,2017,49.127
Libya,LBY,2017,3.623
Liechtenstein,LIE,2017,237.012
Lithuania,LTU,2017,45.135
Low & middle income,"",2017,68.388
Low income,"",2017,51.463
Lower middle income,"",2017,134.633
Luxembourg,LUX,2017,231.447
Macao,MAC,2017,20546.766
North Macedonia,MKD,2017,82.6
Madagascar,MDG,2017,43.951
Malawi,MWI,2017,197.519
Malaysia,MYS,2017,96.254
Maldives,MDV,2017,1454.433
Mali,MLI,2017,15.196
Malta,MLT,2017,1454.037
Marshall Islands,MHL,2017,295.15
Mauritania,MRT,2017,4.289
Mauritius,MUS,2017,622.962
Mexico,MEX,2017,66.444
Micronesia (country),FSM,2017,150.777
Middle East & North Africa,"",2017,39.544
Middle East & North Africa (IDA & IBRD),"",2017,43.452
Middle East & North Africa (excluding high income),"",2017,43.964
Middle income,"",2017,71.491
Moldova,MDA,2017,123.655
Monaco,MCO,2017,19347.5
Mongolia,MNG,2017,1.98
Montenegro,MNE,2017,46.28
Morocco,MAR,2017,80.08
Mozambique,MOZ,2017,37.728
Myanmar,MMR,2017,81.721
Namibia,NAM,2017,3.078
Nauru,NRU,2017,682.45
Nepal,NPL,2017,204.43
Netherlands,NLD,2017,508.544
New Caledonia,NCL,2017,15.342
New Zealand,NZL,2017,18.206
Nicaragua,NIC,2017,51.667
Niger,NER,2017,16.955
Nigeria,NGA,2017,209.588
North America,"",2017,19.872
North Korea,PRK,2017,211.701
Northern Mariana Islands,MNP,2017,119.878
Norway,NOR,2017,14.462
OECD members,"",2017,37.812
Oman,OMN,2017,14.98
Other small states,"",2017,15.079
Pacific island small states,"",2017,37.682
Pakistan,PAK,2017,255.573
Palau,PLW,2017,47.237
Palestine,PSE,2017,778.202
Panama,PAN,2017,55.133
Papua New Guinea,PNG,2017,18.22
Paraguay,PRY,2017,17.144
Peru,PER,2017,25.129
Philippines,PHL,2017,351.873
Poland,POL,2017,124.027
Portugal,PRT,2017,112.371
Post-demographic dividend,"",2017,35.194
Pre-demographic dividend,"",2017,44.849
Puerto Rico,PRI,2017,376.232
Qatar,QAT,2017,227.322
Romania,ROU,2017,85.129
Russia,RUS,2017,8.823
Rwanda,RWA,2017,494.869
Saint Kitts and Nevis,KNA,2017,212.865
Saint Lucia,LCA,2017,293.187
Saint Martin (French part),MAF,2017,590.533
Saint Vincent and the Grenadines,VCT,2017,281.787
Samoa,WSM,2017,69.413
San Marino,SMR,2017,556.667
Sao Tome and Principe,STP,2017,212.841
Saudi Arabia,SAU,2017,15.322
Senegal,SEN,2017,82.328
Serbia,SRB,2017,80.291
Seychelles,SYC,2017,208.354
Sierra Leone,SLE,2017,104.7
Singapore,SGP,2017,7915.731
Sint Maarten (Dutch part),SXM,2017,1209.088
Slovakia,SVK,2017,113.128
Slovenia,SVN,2017,102.619
Small states,"",2017,16.131
Solomon Islands,SLB,2017,21.841
Somalia,SOM,2017,23.5
South Africa,ZAF,2017,46.754
South Asia,"",2017,374.8
South Asia (IDA & IBRD),"",2017,374.8
South Korea,KOR,2017,527.967
Spain,ESP,2017,93.105
Sri Lanka,LKA,2017,341.955
Sub-Saharan Africa,"",2017,44.927
Sub-Saharan Africa (IDA & IBRD),"",2017,44.927
Sub-Saharan Africa (excluding high income),"",2017,44.924
Sudan,SDN,2017,23.258
Suriname,SUR,2017,3.612
Eswatini,SWZ,2017,79.492
Sweden,SWE,2017,24.718
Switzerland,CHE,2017,214.243
Syrian Arab Republic,"",2017,99.493
Tajikistan,TJK,2017,64.281
Tanzania,TZA,2017,64.699
Thailand,THA,2017,135.132
Timor,TLS,2017,87.176
Togo,TGO,2017,143.366
Tonga,TON,2017,150.028
Trinidad and Tobago,TTO,2017,266.886
Tunisia,TUN,2017,74.228
Turkey,TUR,2017,104.914
Turkmenistan,TKM,2017,12.253
Turks and Caicos Islands,TCA,2017,37.312
Tuvalu,TUV,2017,373.067
Uganda,UGA,2017,213.759
Ukraine,UKR,2017,77.39
United Arab Emirates,ARE,2017,112.442
United Kingdom,GBR,2017,272.898
United States,USA,2017,35.608
United States Virgin Islands,VIR,2017,306.48
Upper middle income,"",2017,46.388
Uruguay,URY,2017,19.751
Uzbekistan,UZB,2017,76.134
Vanuatu,VUT,2017,22.662
Venezuela,VEN,2017,36.253
Vietnam,VNM,2017,308.127
World,OWID_WRL,2017,58.045
Yemen,YEM,2017,53.508
Zambia,ZMB,2017,22.995
Zimbabwe,ZWE,2017,42.729
Eritrea,ERI,2011,44.304
