location,iso_code,year,diabetes_prevalence
Kazakhstan,KAZ,2017,7.11
Kenya,KEN,2017,2.92
Kiribati,KIR,2017,22.66
Kuwait,KWT,2017,15.84
Kyrgyzstan,KGZ,2017,7.11
Laos,LAO,2017,4
Late-demographic dividend,"",2017,9.004
Latin America & Caribbean,"",2017,8.723
Latin America & Caribbean (IDA & IBRD),"",2017,8.7
Latin America & Caribbean (excluding high income),"",2017,8.956
Latvia,LVA,2017,4.91
Least developed countries: UN classification,"",2017,6.275
Lebanon,LBN,2017,12.71
Lesotho,LSO,2017,3.94
Liberia,LBR,2017,2.42
Libya,LBY,2017,10.43
Liechtenstein,LIE,2017,7.77
Lithuania,LTU,2017,3.67
Low & middle income,"",2017,8.659
Low income,"",2017,5.4
Lower middle income,"",2017,8.71
Luxembourg,LUX,2017,4.42
North Macedonia,MKD,2017,10.08
Madagascar,MDG,2017,3.94
Malawi,MWI,2017,3.94
Malaysia,MYS,2017,16.74
Maldives,MDV,2017,9.19
Mali,MLI,2017,2.42
Malta,MLT,2017,8.83
Marshall Islands,MHL,2017,30.53
Mauritania,MRT,2017,2.42
Mauritius,MUS,2017,22.02
Mexico,MEX,2017,13.06
Micronesia (country),FSM,2017,12.02
Middle East & North Africa,"",2017,11.428
Middle East & North Africa (IDA & IBRD),"",2017,10.632
Middle East & North Africa (excluding high income),"",2017,10.631
Middle income,"",2017,8.995
Moldova,MDA,2017,5.72
Monaco,MCO,2017,5.46
Mongolia,MNG,2017,4.82
Montenegro,MNE,2017,10.08
Morocco,MAR,2017,7.14
Mozambique,MOZ,2017,3.3
Myanmar,MMR,2017,4.61
Namibia,NAM,2017,3.94
Nauru,NRU,2017,24.07
Nepal,NPL,2017,7.26
Netherlands,NLD,2017,5.29
New Caledonia,NCL,2017,23.36
New Zealand,NZL,2017,8.08
Nicaragua,NIC,2017,11.47
Niger,NER,2017,2.42
Nigeria,NGA,2017,2.42
North America,"",2017,10.433
North Korea,PRK,2017,4
Norway,NOR,2017,5.31
OECD members,"",2017,8.207
Oman,OMN,2017,12.61
Other small states,"",2017,8.31
Pacific island small states,"",2017,15.127
Pakistan,PAK,2017,8.35
Palau,PLW,2017,15.89
Palestine,PSE,2017,10.59
Panama,PAN,2017,8.33
Papua New Guinea,PNG,2017,17.65
Paraguay,PRY,2017,8.27
Peru,PER,2017,5.95
Philippines,PHL,2017,7.07
Poland,POL,2017,5.91
Portugal,PRT,2017,9.85
Post-demographic dividend,"",2017,7.506
Pre-demographic dividend,"",2017,4.872
Puerto Rico,PRI,2017,12.9
Qatar,QAT,2017,16.52
Romania,ROU,2017,9.74
Russia,RUS,2017,6.18
Rwanda,RWA,2017,4.28
Saint Kitts and Nevis,KNA,2017,12.84
Saint Lucia,LCA,2017,11.62
Saint Vincent and the Grenadines,VCT,2017,11.62
Samoa,WSM,2017,9.21
San Marino,SMR,2017,5.64
Sao Tome and Principe,STP,2017,2.42
Saudi Arabia,SAU,2017,17.72
Senegal,SEN,2017,2.42
Serbia,SRB,2017,10.08
Seychelles,SYC,2017,10.55
Sierra Leone,SLE,2017,2.42
Singapore,SGP,2017,10.99
Slovakia,SVK,2017,7.29
Slovenia,SVN,2017,7.25
Small states,"",2017,9.367
Solomon Islands,SLB,2017,18.68
Somalia,SOM,2017,6.05
South Africa,ZAF,2017,5.52
South Asia,"",2017,9.938
South Asia (IDA & IBRD),"",2017,9.938
South Korea,KOR,2017,6.8
South Sudan,SSD,2017,10.43
Spain,ESP,2017,7.17
Sri Lanka,LKA,2017,10.68
Sub-Saharan Africa,"",2017,4.848
Sub-Saharan Africa (IDA & IBRD),"",2017,4.848
Sub-Saharan Africa (excluding high income),"",2017,4.847
Sudan,SDN,2017,15.67
Suriname,SUR,2017,12.54
Eswatini,SWZ,2017,3.94
Sweden,SWE,2017,4.79
Switzerland,CHE,2017,5.59
Syrian Arab Republic,"",2017,8.23
Tajikistan,TJK,2017,7.11
Tanzania,TZA,2017,5.75
Thailand,THA,2017,7.04
Timor,TLS,2017,6.86
Togo,TGO,2017,6.15
Tonga,TON,2017,15.42
Trinidad and Tobago,TTO,2017,10.97
Tunisia,TUN,2017,8.52
Turkey,TUR,2017,12.13
Turkmenistan,TKM,2017,7.11
Tuvalu,TUV,2017,27.25
Uganda,UGA,2017,2.5
Ukraine,UKR,2017,7.11
United Arab Emirates,ARE,2017,17.26
United Kingdom,GBR,2017,4.28
United States,USA,2017,10.79
United States Virgin Islands,VIR,2017,12.26
Upper middle income,"",2017,9.284
Uruguay,URY,2017,6.93
Uzbekistan,UZB,2017,7.57
Vanuatu,VUT,2017,12.02
Venezuela,VEN,2017,6.47
Vietnam,VNM,2017,6
World,OWID_WRL,2017,8.51
Yemen,YEM,2017,5.35
Zambia,ZMB,2017,3.94
Zimbabwe,ZWE,2017,1.82
