Country,Year,Income group
Georgia,2020,Upper middle income
Germany,2020,High income
Ghana,2020,Lower middle income
Gibraltar,2020,High income
Greece,2020,High income
Greenland,2020,High income
Grenada,2020,Upper middle income
Guam,2020,High income
Guatemala,2020,Upper middle income
Guinea,2020,Low income
Guinea-Bissau,2020,Low income
Guyana,2020,Upper middle income
Haiti,2020,Low income
Honduras,2020,Lower middle income
Hong Kong,2020,High income
Hungary,2020,High income
Iceland,2020,High income
India,2020,Lower middle income
Indonesia,2020,Lower middle income
Iran,2020,Upper middle income
Iraq,2020,Upper middle income
Ireland,2020,High income
Isle of Man,2020,High income
Israel,2020,High income
Italy,2020,High income
Jamaica,2020,Upper middle income
Japan,2020,High income
Jordan,2020,Upper middle income
Kazakhstan,2020,Upper middle income
Kenya,2020,Lower middle income
Kiribati,2020,Lower middle income
North Korea,2020,Low income
South Korea,2020,High income
Kosovo,2020,Upper middle income
Kuwait,2020,High income
Kyrgyzstan,2020,Lower middle income
Laos,2020,Lower middle income
Latvia,2020,High income
Lebanon,2020,Upper middle income
Lesotho,2020,Lower middle income
Liberia,2020,Low income
Libya,2020,Upper middle income
Liechtenstein,2020,High income
Lithuania,2020,High income
Luxembourg,2020,High income
Macao,2020,High income
Madagascar,2020,Low income
Malawi,2020,Low income
Malaysia,2020,Upper middle income
Maldives,2020,Upper middle income
Mali,2020,Low income
Malta,2020,High income
Marshall Islands,2020,Upper middle income
Mauritania,2020,Lower middle income
Mauritius,2020,Upper middle income
Mexico,2020,Upper middle income
Micronesia (country),2020,Lower middle income
Moldova,2020,Lower middle income
Monaco,2020,High income
Mongolia,2020,Lower middle income
Montenegro,2020,Upper middle income
Morocco,2020,Lower middle income
Mozambique,2020,Low income
Myanmar,2020,Lower middle income
Namibia,2020,Upper middle income
Nauru,2020,Upper middle income
Nepal,2020,Low income
Netherlands,2020,High income
New Caledonia,2020,High income
New Zealand,2020,High income
Nicaragua,2020,Lower middle income
Niger,2020,Low income
Nigeria,2020,Lower middle income
North Macedonia,2020,Upper middle income
Northern Mariana Islands,2020,High income
Norway,2020,High income
Oman,2020,High income
Pakistan,2020,Lower middle income
Palau,2020,High income
Panama,2020,High income
Papua New Guinea,2020,Lower middle income
Paraguay,2020,Upper middle income
Peru,2020,Upper middle income
Philippines,2020,Lower middle income
Poland,2020,High income
Portugal,2020,High income
Puerto Rico,2020,High income
Qatar,2020,High income
Romania,2020,Upper middle income
Russia,2020,Upper middle income
Rwanda,2020,Low income
Samoa,2020,Upper middle income
San Marino,2020,High income
Sao Tome and Principe,2020,Lower middle income
Saudi Arabia,2020,High income
Senegal,2020,Lower middle income
Serbia,2020,Upper middle income
Seychelles,2020,High income
Sierra Leone,2020,Low income
Singapore,2020,High income
Sint Maarten (Dutch part),2020,High income
Slovakia,2020,High income
Slovenia,2020,High income
Solomon Islands,2020,Lower middle income
Somalia,2020,Low income
South Africa,2020,Upper middle income
South Sudan,2020,Low income
Spain,2020,High income
Sri Lanka,2020,Upper middle income
Saint Kitts and Nevis,2020,High income
Saint Lucia,2020,Upper middle income
Saint Martin (French part),2020,High income
Saint Vincent and the Grenadines,2020,Upper middle income
Sudan,2020,Lower middle income
Suriname,2020,Upper middle income
Sweden,2020,High income
Switzerland,2020,High income
Syria,2020,Low income
Taiwan,2020,High income
Tajikistan,2020,Low income
Tanzania,2020,Low income
Thailand,2020,Upper middle income
Timor,2020,Lower middle income
Togo,2020,Low income
Tonga,2020,Upper middle income
Trinidad and Tobago,2020,High income
Tunisia,2020,Lower middle income
Turkey,2020,Upper middle income
Turkmenistan,2020,Upper middle income
Turks and Caicos Islands,2020,High income
Tuvalu,2020,Upper middle income
Uganda,2020,Low income
Ukraine,2020,Lower middle income
United Arab Emirates,2020,High income
United Kingdom,2020,High income
United States,2020,High income
Uruguay,2020,High income
Uzbekistan,2020,Lower middle income
Vanuatu,2020,Lower middle income
Venezuela,2020,Upper middle income
Vietnam,2020,Lower middle income
United States Virgin Islands,2020,High income
Palestine,2020,Lower middle income
Yemen,2020,Low income
Zambia,2020,Lower middle income
Zimbabwe,2020,Lower middle income
