location,iso_code,year,female_smokers
Hungary,HUN,2016,26.8
IBRD only,"",2016,4.503
IDA & IBRD total,"",2016,4.123
IDA blend,"",2016,2.125
IDA only,"",2016,2.767
IDA total,"",2016,2.513
Iceland,ISL,2016,14.3
India,IND,2016,1.9
Indonesia,IDN,2016,2.8
Iran,IRN,2016,0.8
Ireland,IRL,2016,23
Israel,ISR,2016,15.4
Italy,ITA,2016,19.8
Jamaica,JAM,2016,5.3
Japan,JPN,2016,11.2
Kazakhstan,KAZ,2016,7
Kenya,KEN,2016,1.2
Kiribati,KIR,2016,35.9
Kuwait,KWT,2016,2.7
Kyrgyzstan,KGZ,2016,3.6
Laos,LAO,2016,7.3
Late-demographic dividend,"",2016,5.282
Latin America & Caribbean,"",2016,9.243
Latin America & Caribbean (IDA & IBRD),"",2016,9.087
Latin America & Caribbean (excluding high income),"",2016,7.792
Latvia,LVA,2016,25.6
Least developed countries: UN classification,"",2016,2.871
Lebanon,LBN,2016,26.9
Lesotho,LSO,2016,0.4
Liberia,LBR,2016,1.5
Lithuania,LTU,2016,21.3
Low & middle income,"",2016,3.797
Lower middle income,"",2016,2.385
Luxembourg,LUX,2016,20.9
Malawi,MWI,2016,4.4
Malaysia,MYS,2016,1
Maldives,MDV,2016,2.1
Mali,MLI,2016,1.6
Malta,MLT,2016,20.9
Mauritius,MUS,2016,3.2
Mexico,MEX,2016,6.9
Middle East & North Africa,"",2016,2.064
Middle East & North Africa (IDA & IBRD),"",2016,1.718
Middle East & North Africa (excluding high income),"",2016,1.718
Middle income,"",2016,3.849
Moldova,MDA,2016,5.9
Mongolia,MNG,2016,5.5
Montenegro,MNE,2016,44
Morocco,MAR,2016,0.8
Mozambique,MOZ,2016,5.1
Myanmar,MMR,2016,6.3
Namibia,NAM,2016,9.7
Nauru,NRU,2016,43
Nepal,NPL,2016,9.5
Netherlands,NLD,2016,24.4
New Zealand,NZL,2016,14.8
Niger,NER,2016,0.1
Nigeria,NGA,2016,0.6
North America,"",2016,18.369
Norway,NOR,2016,19.6
OECD members,"",2016,18.295
Oman,OMN,2016,0.5
Other small states,"",2016,7.646
Pakistan,PAK,2016,2.8
Palau,PLW,2016,7.7
Panama,PAN,2016,2.4
Papua New Guinea,PNG,2016,23.5
Paraguay,PRY,2016,5
Peru,PER,2016,4.8
Philippines,PHL,2016,7.8
Poland,POL,2016,23.3
Portugal,PRT,2016,16.3
Post-demographic dividend,"",2016,19.267
Qatar,QAT,2016,0.8
Romania,ROU,2016,22.9
Russia,RUS,2016,23.4
Rwanda,RWA,2016,4.7
Samoa,WSM,2016,16.7
Saudi Arabia,SAU,2016,1.8
Senegal,SEN,2016,0.4
Serbia,SRB,2016,37.7
Seychelles,SYC,2016,7.1
Sierra Leone,SLE,2016,8.8
Singapore,SGP,2016,5.2
Slovakia,SVK,2016,23.1
Slovenia,SVN,2016,20.1
Small states,"",2016,7.471
South Africa,ZAF,2016,8.1
South Asia,"",2016,2.017
South Asia (IDA & IBRD),"",2016,2.017
South Korea,KOR,2016,6.2
Spain,ESP,2016,27.4
Sri Lanka,LKA,2016,0.3
Sub-Saharan Africa,"",2016,2.236
Sub-Saharan Africa (IDA & IBRD),"",2016,2.236
Sub-Saharan Africa (excluding high income),"",2016,2.235
Suriname,SUR,2016,7.4
Eswatini,SWZ,2016,1.7
Sweden,SWE,2016,18.8
Switzerland,CHE,2016,22.6
Tanzania,TZA,2016,3.3
Thailand,THA,2016,1.9
Timor,TLS,2016,6.3
Togo,TGO,2016,0.9
Tonga,TON,2016,11.8
Tunisia,TUN,2016,1.1
Turkey,TUR,2016,14.1
Uganda,UGA,2016,3.4
Ukraine,UKR,2016,13.5
United Arab Emirates,ARE,2016,1.2
United Kingdom,GBR,2016,20
United States,USA,2016,19.1
Upper middle income,"",2016,5.365
Uruguay,URY,2016,14
Uzbekistan,UZB,2016,1.3
Vanuatu,VUT,2016,2.8
Vietnam,VNM,2016,1
World,OWID_WRL,2016,6.434
Yemen,YEM,2016,7.6
Zambia,ZMB,2016,3.1
Zimbabwe,ZWE,2016,1.6
Pacific island small states,"",2014,12.355
