date,location,total_cases,total_deaths,new_cases,new_deaths
2020-02-18,China,72528,1870,1893,98
2020-02-19,China,74280,2006,1752,136
2020-02-20,China,74675,2121,395,115
2020-02-21,China,75569,2239,894,118
2020-02-22,China,76392,2348,823,109
2020-02-23,China,77042,2445,650,97
2020-02-24,China,77262,2595,220,150
2020-02-25,China,77780,2666,518,71
2020-02-26,China,78191,2718,411,52
2020-02-27,China,78630,2747,439,29
2020-02-28,China,78961,2791,331,44
2020-02-29,China,79394,2838,433,47
2020-03-01,China,79968,2873,574,35
2020-03-02,China,80174,2915,206,42
2020-03-03,China,80304,2946,130,31
2020-03-04,China,80422,2984,118,38
2020-03-05,China,80565,3015,143,31
2020-03-06,China,80711,3045,146,30
2020-03-07,China,80813,3073,102,28
2020-03-08,China,80859,3100,46,27
2020-03-09,China,80904,3123,45,23
2020-03-07,Colombia,1,,,
2020-03-08,Colombia,1,,0,
2020-03-09,Colombia,1,,0,
2020-03-08,Costa Rica,5,,,
2020-03-09,Costa Rica,9,,4,
2020-02-26,Croatia,2,,,
2020-02-27,Croatia,3,,1,
2020-02-28,Croatia,3,,0,
2020-02-29,Croatia,5,,2,
2020-03-01,Croatia,7,,2,
2020-03-02,Croatia,7,,0,
2020-03-03,Croatia,8,,1,
2020-03-04,Croatia,9,,1,
2020-03-05,Croatia,9,,0,
2020-03-06,Croatia,10,,1,
2020-03-07,Croatia,11,,1,
2020-03-08,Croatia,11,,0,
2020-03-09,Croatia,11,,0,
2020-03-02,Czechia,3,,,
2020-03-03,Czechia,3,,0,
2020-03-04,Czechia,5,,2,
2020-03-05,Czechia,5,,0,
2020-03-06,Czechia,12,,7,
2020-03-07,Czechia,12,,0,
2020-03-08,Czechia,26,,14,
2020-03-09,Czechia,32,,6,
2020-02-27,Denmark,1,,,
2020-02-28,Denmark,1,,0,
2020-02-29,Denmark,2,,1,
2020-03-01,Denmark,3,,1,
2020-03-02,Denmark,4,,1,
2020-03-03,Denmark,5,,1,
2020-03-04,Denmark,8,,3,
2020-03-05,Denmark,10,,2,
2020-03-06,Denmark,18,,8,
2020-03-07,Denmark,23,,5,
2020-03-08,Denmark,31,,8,
2020-03-09,Denmark,36,,5,
2020-03-02,Dominican Republic,1,,,
2020-03-03,Dominican Republic,1,,0,
2020-03-04,Dominican Republic,1,,0,
2020-03-05,Dominican Republic,1,,0,
2020-03-06,Dominican Republic,1,,0,
2020-03-07,Dominican Republic,1,,0,
2020-03-08,Dominican Republic,1,,0,
2020-03-09,Dominican Republic,1,,0,
2020-03-01,Ecuador,1,,,
2020-03-02,Ecuador,1,,0,
2020-03-03,Ecuador,6,,5,
2020-03-04,Ecuador,7,,1,
2020-03-05,Ecuador,7,,0,
2020-03-06,Ecuador,13,,6,
2020-03-07,Ecuador,14,,1,
2020-03-08,Ecuador,14,,0,
2020-03-09,Ecuador,15,,1,
2020-02-15,Egypt,1,,,
2020-02-16,Egypt,1,,0,
2020-02-17,Egypt,1,,0,
2020-02-18,Egypt,1,,0,
2020-02-19,Egypt,1,,0,
2020-02-20,Egypt,1,,0,
2020-02-21,Egypt,1,,0,
2020-02-22,Egypt,1,,0,
2020-02-23,Egypt,1,,0,
2020-02-24,Egypt,1,,0,
2020-02-25,Egypt,1,,0,
2020-02-26,Egypt,1,,0,
2020-02-27,Egypt,1,,0,
2020-02-28,Egypt,1,,0,
2020-02-29,Egypt,1,,0,
2020-03-01,Egypt,1,,0,
2020-03-02,Egypt,2,,1,
2020-03-03,Egypt,2,,0,
2020-03-04,Egypt,2,,0,
2020-03-05,Egypt,2,,0,
2020-03-06,Egypt,3,,1,
2020-03-07,Egypt,3,,0,
2020-03-08,Egypt,48,,45,
2020-03-09,Egypt,55,,7,
2020-02-27,Estonia,1,,,
2020-02-28,Estonia,1,,0,
2020-02-29,Estonia,1,,0,
2020-03-01,Estonia,1,,0,
2020-03-02,Estonia,1,,0,
2020-03-03,Estonia,1,,0,
2020-03-04,Estonia,2,,1,
2020-03-05,Estonia,2,,0,
2020-03-06,Estonia,3,,1,
2020-03-07,Estonia,10,,7,
2020-03-08,Estonia,10,,0,
2020-03-09,Estonia,10,,0,
2020-03-08,Faroe Islands,1,,,
2020-03-09,Faroe Islands,2,,1,
2020-01-30,Finland,1,,,
2020-01-31,Finland,1,,0,
2020-02-01,Finland,1,,0,
2020-02-02,Finland,1,,0,
2020-02-03,Finland,1,,0,
2020-02-04,Finland,1,,0,
2020-02-05,Finland,1,,0,
2020-02-06,Finland,1,,0,
2020-02-07,Finland,1,,0,
2020-02-08,Finland,1,,0,
2020-02-09,Finland,1,,0,
2020-02-10,Finland,1,,0,
2020-02-11,Finland,1,,0,
2020-02-12,Finland,1,,0,
2020-02-13,Finland,1,,0,
2020-02-14,Finland,1,,0,
2020-02-15,Finland,1,,0,
2020-02-16,Finland,1,,0,
2020-02-17,Finland,1,,0,
2020-02-18,Finland,1,,0,
2020-02-19,Finland,1,,0,
2020-02-20,Finland,1,,0,
2020-02-21,Finland,1,,0,
2020-02-22,Finland,1,,0,
2020-02-23,Finland,1,,0,
2020-02-24,Finland,1,,0,
2020-02-25,Finland,1,,0,
2020-02-26,Finland,1,,0,
2020-02-27,Finland,2,,1,
2020-02-28,Finland,2,,0,
2020-02-29,Finland,2,,0,
2020-03-01,Finland,2,,0,
2020-03-02,Finland,6,,4,
2020-03-03,Finland,7,,1,
2020-03-04,Finland,7,,0,
2020-03-05,Finland,7,,0,
2020-03-06,Finland,12,,5,
2020-03-07,Finland,19,,7,
2020-03-08,Finland,19,,0,
2020-03-09,Finland,30,,11,
2020-01-25,France,3,,,
2020-01-26,France,3,,0,
2020-01-27,France,3,,0,
2020-01-28,France,3,,0,
2020-01-29,France,4,,1,
2020-01-30,France,5,,1,
2020-01-31,France,6,,1,
2020-02-01,France,6,,0,
2020-02-02,France,6,,0,
2020-02-03,France,6,,0,
2020-02-04,France,6,,0,
2020-02-05,France,6,,0,
2020-02-06,France,6,,0,
2020-02-07,France,6,,0,
2020-02-08,France,6,,0,
2020-02-09,France,11,,5,
2020-02-10,France,11,,0,
2020-02-11,France,11,,0,
2020-02-12,France,11,,0,
2020-02-13,France,11,,0,
2020-02-14,France,11,,0,
2020-02-15,France,11,,0,
2020-02-16,France,12,1,1,
2020-02-17,France,12,1,0,0
2020-02-18,France,12,1,0,0
2020-02-19,France,12,1,0,0
2020-02-20,France,12,1,0,0
2020-02-21,France,12,1,0,0
2020-02-22,France,12,1,0,0
2020-02-23,France,12,1,0,0
2020-02-24,France,12,1,0,0
2020-02-25,France,12,1,0,0
2020-02-26,France,12,1,0,0
2020-02-27,France,18,2,6,1
2020-02-28,France,38,2,20,0
2020-02-29,France,57,2,19,0
2020-03-01,France,100,2,43,0
2020-03-02,France,100,2,0,0
2020-03-03,France,191,3,91,1
2020-03-04,France,212,4,21,1
2020-03-05,France,282,4,70,0
2020-03-06,France,420,6,138,2
2020-03-07,France,613,9,193,3
2020-03-08,France,706,10,93,1
2020-03-09,France,1116,19,410,9
2020-03-08,French Guiana,5,,,
2020-03-09,French Guiana,5,,0,
2020-02-27,Georgia,1,,,
2020-02-28,Georgia,1,,0,
2020-02-29,Georgia,2,,1,
2020-03-01,Georgia,3,,1,
2020-03-02,Georgia,3,,0,
2020-03-03,Georgia,3,,0,
2020-03-04,Georgia,3,,0,
2020-03-05,Georgia,3,,0,
2020-03-06,Georgia,9,,6,
2020-03-07,Georgia,9,,0,
2020-03-08,Georgia,12,,3,
2020-03-09,Georgia,13,,1,
2020-01-28,Germany,1,,,
2020-01-29,Germany,4,,3,
2020-01-30,Germany,4,,0,
2020-01-31,Germany,5,,1,
2020-02-01,Germany,7,,2,
2020-02-02,Germany,8,,1,
2020-02-03,Germany,10,,2,
2020-02-04,Germany,12,,2,
2020-02-05,Germany,12,,0,
2020-02-06,Germany,12,,0,
2020-02-07,Germany,13,,1,
2020-02-08,Germany,14,,1,
2020-02-09,Germany,14,,0,
2020-02-10,Germany,14,,0,
2020-02-11,Germany,14,,0,
2020-02-12,Germany,16,,2,
2020-02-13,Germany,16,,0,
2020-02-14,Germany,16,,0,
2020-02-15,Germany,16,,0,
2020-02-16,Germany,16,,0,
2020-02-17,Germany,16,,0,
2020-02-18,Germany,16,,0,
2020-02-19,Germany,16,,0,
2020-02-20,Germany,16,,0,
2020-02-21,Germany,16,,0,
2020-02-22,Germany,16,,0,
2020-02-23,Germany,16,,0,
2020-02-24,Germany,16,,0,
2020-02-25,Germany,16,,0,
2020-02-26,Germany,18,,2,
2020-02-27,Germany,21,,3,
2020-02-28,Germany,26,,5,
2020-02-29,Germany,57,,31,
2020-03-01,Germany,57,,0,
2020-03-02,Germany,129,,72,
2020-03-03,Germany,157,,28,
2020-03-04,Germany,196,,39,
2020-03-05,Germany,262,,66,
2020-03-06,Germany,534,,272,
2020-03-07,Germany,639,,105,
2020-03-08,Germany,795,,156,
2020-03-09,Germany,1112,,317,
2020-03-05,Gibraltar,1,,,
2020-03-06,Gibraltar,1,,0,
2020-03-07,Gibraltar,1,,0,
2020-03-08,Gibraltar,1,,0,
2020-03-09,Gibraltar,1,,0,
2020-02-27,Greece,1,,,
2020-02-28,Greece,3,,2,
2020-02-29,Greece,3,,0,
2020-03-01,Greece,3,,0,
2020-03-02,Greece,7,,4,
2020-03-03,Greece,7,,0,
2020-03-04,Greece,7,,0,
2020-03-05,Greece,9,,2,
2020-03-06,Greece,32,,23,
2020-03-07,Greece,32,,0,
2020-03-08,Greece,66,,34,
2020-03-07,Holy See,1,,,
2020-03-08,Holy See,1,,0,
2020-03-09,Holy See,1,,0,
2020-03-05,Hungary,2,,,
2020-03-06,Hungary,2,,0,
2020-03-07,Hungary,5,,3,
2020-03-08,Hungary,7,,2,
2020-03-09,Hungary,9,,2,
2020-03-02,Iceland,2,,,
2020-03-03,Iceland,9,,7,
2020-03-04,Iceland,16,,7,
2020-03-05,Iceland,26,,10,
2020-03-06,Iceland,26,,0,
2020-03-07,Iceland,45,,19,
2020-03-08,Iceland,45,,0,
2020-03-09,Iceland,55,,10,
2020-01-30,India,1,,,
2020-01-31,India,1,,0,
2020-02-01,India,1,,0,
2020-02-02,India,2,,1,
2020-02-03,India,3,,1,
2020-02-04,India,3,,0,
2020-02-05,India,3,,0,
2020-02-06,India,3,,0,
2020-02-07,India,3,,0,
2020-02-08,India,3,,0,
2020-02-09,India,3,,0,
2020-02-10,India,3,,0,
2020-02-11,India,3,,0,
2020-02-12,India,3,,0,
2020-02-13,India,3,,0,
2020-02-14,India,3,,0,
2020-02-15,India,3,,0,
2020-02-16,India,3,,0,
2020-02-17,India,3,,0,
2020-02-18,India,3,,0,
2020-02-19,India,3,,0,
2020-02-20,India,3,,0,
2020-02-21,India,3,,0,
2020-02-22,India,3,,0,
2020-02-23,India,3,,0,
2020-02-24,India,3,,0,
2020-02-25,India,3,,0,
2020-02-26,India,3,,0,
2020-02-27,India,3,,0,
2020-02-28,India,3,,0,
2020-02-29,India,3,,0,
2020-03-01,India,3,,0,
2020-03-02,India,3,,0,
2020-03-03,India,5,,2,
2020-03-04,India,6,,1,
2020-03-05,India,29,,23,
2020-03-06,India,30,,1,
2020-03-07,India,31,,1,
2020-03-08,India,34,,3,
2020-03-09,India,43,,9,
2020-03-02,Indonesia,2,,,
2020-03-03,Indonesia,2,,0,
2020-03-04,Indonesia,2,,0,
2020-03-05,Indonesia,2,,0,
2020-03-06,Indonesia,2,,0,
2020-03-07,Indonesia,2,,0,
2020-03-08,Indonesia,6,,4,
2020-03-09,Indonesia,6,,0,
2020-02-06,International conveyance (Diamond Princess),20,,,
2020-02-07,International conveyance (Diamond Princess),61,,41,
2020-02-08,International conveyance (Diamond Princess),64,,3,
2020-02-09,International conveyance (Diamond Princess),64,,0,
2020-02-10,International conveyance (Diamond Princess),70,,6,
2020-02-11,International conveyance (Diamond Princess),135,,65,
2020-02-12,International conveyance (Diamond Princess),175,,40,
2020-02-13,International conveyance (Diamond Princess),174,,-1,
2020-02-14,International conveyance (Diamond Princess),218,,44,
2020-02-15,International conveyance (Diamond Princess),218,,0,
2020-02-16,International conveyance (Diamond Princess),355,,137,
2020-02-17,International conveyance (Diamond Princess),454,,99,
2020-02-18,International conveyance (Diamond Princess),454,,0,
2020-02-19,International conveyance (Diamond Princess),542,,88,
2020-02-20,International conveyance (Diamond Princess),621,2,79,
2020-02-21,International conveyance (Diamond Princess),634,2,13,0
2020-02-22,International conveyance (Diamond Princess),634,2,0,0
2020-02-23,International conveyance (Diamond Princess),634,5,0,3
2020-02-24,International conveyance (Diamond Princess),695,3,61,-2
2020-02-25,International conveyance (Diamond Princess),691,3,-4,0
2020-02-26,International conveyance (Diamond Princess),691,3,0,0
2020-02-27,International conveyance (Diamond Princess),705,4,14,1
2020-02-28,International conveyance (Diamond Princess),705,4,0,0
2020-02-29,International conveyance (Diamond Princess),705,6,0,2
2020-03-01,International conveyance (Diamond Princess),705,6,0,0
2020-03-02,International conveyance (Diamond Princess),706,6,1,0
2020-03-03,International conveyance (Diamond Princess),706,6,0,0
2020-03-04,International conveyance (Diamond Princess),706,6,0,0
2020-03-05,International conveyance (Diamond Princess),706,6,0,0
2020-03-06,International conveyance (Diamond Princess),696,6,-10,0
2020-03-07,International conveyance (Diamond Princess),696,6,0,0
2020-03-08,International conveyance (Diamond Princess),696,7,0,1
2020-03-09,International conveyance (Diamond Princess),696,7,0,0
2020-02-20,Iran,2,2,,
2020-02-21,Iran,5,2,3,0
2020-02-22,Iran,18,4,13,2
2020-02-23,Iran,28,2,10,-2
2020-02-24,Iran,43,8,15,6
2020-02-25,Iran,61,12,18,4
2020-02-26,Iran,95,15,34,3
2020-02-27,Iran,141,22,46,7
2020-02-28,Iran,245,26,104,4
2020-02-29,Iran,388,34,143,8
2020-03-01,Iran,593,43,205,9
2020-03-02,Iran,978,54,385,11
2020-03-03,Iran,1501,66,523,12
2020-03-04,Iran,2336,77,835,11
2020-03-05,Iran,2922,92,586,15
2020-03-06,Iran,3513,107,591,15
2020-03-07,Iran,4747,124,1234,17
2020-03-08,Iran,5823,145,1076,21
2020-03-09,Iran,6566,194,743,49
2020-02-25,Iraq,1,,,
2020-02-26,Iraq,5,,4,
2020-02-27,Iraq,6,,1,
2020-02-28,Iraq,7,,1,
2020-02-29,Iraq,8,,1,
2020-03-01,Iraq,13,,5,
2020-03-02,Iraq,19,,6,
2020-03-03,Iraq,26,,7,
2020-03-04,Iraq,31,,5,
2020-03-05,Iraq,36,2,5,
2020-03-06,Iraq,36,2,0,0
2020-03-07,Iraq,44,4,8,2
2020-03-08,Iraq,54,4,10,0
2020-03-09,Iraq,60,,6,
2020-03-01,Ireland,1,,,
2020-03-02,Ireland,1,,0,
2020-03-03,Ireland,1,,0,
2020-03-04,Ireland,2,,1,
2020-03-05,Ireland,2,,0,
2020-03-06,Ireland,14,,12,
2020-03-07,Ireland,18,,4,
2020-03-08,Ireland,19,,1,
2020-03-09,Ireland,21,,2,
2020-02-22,Israel,1,,,
2020-02-23,Israel,1,,0,
2020-02-24,Israel,1,,0,
2020-02-25,Israel,2,,1,
2020-02-26,Israel,2,,0,
2020-02-27,Israel,2,,0,
2020-02-28,Israel,3,,1,
2020-02-29,Israel,5,,2,
2020-03-01,Israel,7,,2,
2020-03-02,Israel,7,,0,
2020-03-03,Israel,10,,3,
2020-03-04,Israel,12,,2,
2020-03-05,Israel,15,,3,
2020-03-06,Israel,15,,0,
2020-03-07,Israel,19,,4,
2020-03-08,Israel,25,,6,
2020-03-09,Israel,39,,14,
2020-01-31,Italy,2,,,
2020-02-01,Italy,2,,0,
2020-02-02,Italy,2,,0,
2020-02-03,Italy,2,,0,
2020-02-04,Italy,2,,0,
2020-02-05,Italy,2,,0,
2020-02-06,Italy,2,,0,
2020-02-07,Italy,3,,1,
2020-02-08,Italy,3,,0,
2020-02-09,Italy,3,,0,
2020-02-10,Italy,3,,0,
2020-02-11,Italy,3,,0,
2020-02-12,Italy,3,,0,
2020-02-13,Italy,3,,0,
2020-02-14,Italy,3,,0,
2020-02-15,Italy,3,,0,
2020-02-16,Italy,3,,0,
2020-02-17,Italy,3,,0,
