entity,year,population
Gibraltar,2020,33691
Greece,2020,10423056
Greenland,2020,56772
Grenada,2020,112519
Guadeloupe,2020,400127
Guam,2020,168783
Guatemala,2020,17915567
Guinea,2020,13132792
Guinea-Bissau,2020,1967998
Guyana,2020,786559
Haiti,2020,11402533
High-income countries,2020,1263092934
Honduras,2020,9904608
Hong Kong,2020,7496988
Hungary,2020,9660350
Iceland,2020,341250
India,2020,1380004385
Indonesia,2020,273523621
Iran,2020,83992953
Iraq,2020,40222503
Ireland,2020,4937796
Isle of Man,2020,85032
Israel,2020,8655541
Italy,2020,60461828
Jamaica,2020,2961161
Japan,2020,126476458
Jordan,2020,10203140
Kazakhstan,2020,18776707
Kenya,2020,53771300
Kiribati,2020,119446
Kosovo,2020,1932774
Kuwait,2020,4270563
Kyrgyzstan,2020,6524191
Land-locked Developing Countries (LLDC),2020,533143398
Laos,2020,7275556
Latin America and the Caribbean,2020,653962332
Latvia,2020,1886202
Least developed countries,2020,1057438163
Lebanon,2020,6825442
Lesotho,2020,2142252
Less developed regions,2020,6521494468
Liberia,2020,5057677
Libya,2020,6871287
Liechtenstein,2020,38137
Lithuania,2020,2722291
Low-income countries,2020,775710612
Lower-middle-income countries,2020,3098235284
Luxembourg,2020,625976
Macao,2020,649342
Macedonia,2020,2083380
Madagascar,2020,27691019
Malawi,2020,19129955
Malaysia,2020,32365998
Maldives,2020,540542
Mali,2020,20250834
Malta,2020,441539
Marshall Islands,2020,59194
Martinique,2020,375265
Mauritania,2020,4649660
Mauritius,2020,1271767
Mayotte,2020,272813
Melanesia,2020,11122990
Mexico,2020,128932753
Micronesia,2020,548927
Micronesia (country),2020,115021
Middle Africa,2020,179595125
Middle-income countries,2020,5753051615
Moldova,2020,4033963
Monaco,2020,39244
Mongolia,2020,3278292
Montenegro,2020,628062
Montserrat,2020,4999
More developed regions,2020,1273304261
Morocco,2020,36910558
Mozambique,2020,31255435
Myanmar,2020,54409794
Namibia,2020,2540916
Nauru,2020,10834
Nepal,2020,29136808
Netherlands,2020,17134873
New Caledonia,2020,285491
New Zealand,2020,4822233
Nicaragua,2020,6624554
Niger,2020,24206636
Nigeria,2020,206139587
Niue,2020,1618
North America,2020,368869644
North Korea,2020,25778815
Northern Africa,2020,246232508
Northern Africa and Western Asia,2020,525869282
Northern America,2020,368869644
Northern Europe,2020,106261271
Northern Mariana Islands,2020,57557
Norway,2020,5421242
Oceania,2020,42677809
Oman,2020,5106622
Pakistan,2020,220892331
Palau,2020,18092
Palestine,2020,5101416
Panama,2020,4314768
Papua New Guinea,2020,8947027
Paraguay,2020,7132530
Peru,2020,32971846
Philippines,2020,109581085
Poland,2020,37846605
Polynesia,2020,683778
Portugal,2020,10196707
Puerto Rico,2020,2860840
Qatar,2020,2881060
Reunion,2020,895308
Romania,2020,19237682
Russia,2020,145934460
Rwanda,2020,12952209
Saint Barthlemy,2020,9885
Saint Helena,2020,6071
Saint Kitts and Nevis,2020,53192
Saint Lucia,2020,183629
Saint Martin (French part),2020,38659
Saint Pierre and Miquelon,2020,5795
Saint Vincent and the Grenadines,2020,110947
Samoa,2020,198410
San Marino,2020,33938
Sao Tome and Principe,2020,219161
Saudi Arabia,2020,34813867
Senegal,2020,16743930
Serbia,2020,6804596
Serbia (including Kosovo),2020,8737370
Seychelles,2020,98340
Sierra Leone,2020,7976985
Singapore,2020,5850343
Sint Maarten (Dutch part),2020,42882
Slovakia,2020,5459643
Slovenia,2020,2078932
Small Island Developing States (SIDS),2020,72076098
Solomon Islands,2020,686878
Somalia,2020,15893219
South Africa,2020,59308690
South America,2020,430759772
South Korea,2020,51269183
South Sudan,2020,11193729
South-Eastern Asia,2020,668619854
Southern Africa,2020,67503647
Southern Asia,2020,1940369605
Southern Europe,2020,152215243
Spain,2020,46754783
Sri Lanka,2020,21413250
Sub-Saharan Africa,2020,1094365605
Sudan,2020,43849269
Suriname,2020,586634
Swaziland,2020,1160164
Sweden,2020,10099270
Switzerland,2020,8654618
Syria,2020,17500657
Taiwan,2020,23816775
Tajikistan,2020,9537642
Tanzania,2020,59734213
Thailand,2020,69799978
Timor,2020,1318442
Togo,2020,8278737
Tokelau,2020,1350
Tonga,2020,105697
Trinidad and Tobago,2020,1399491
Tunisia,2020,11818618
Turkey,2020,84339067
Turkmenistan,2020,6031187
Turks and Caicos Islands,2020,38718
Tuvalu,2020,11792
Uganda,2020,45741000
Ukraine,2020,43733759
United Arab Emirates,2020,9890400
United Kingdom,2020,67886004
United States,2020,331002647
United States Virgin Islands,2020,104423
Upper-middle-income countries,2020,2654816331
Uruguay,2020,3473727
Uzbekistan,2020,33469199
Vanuatu,2020,307150
Vatican,2020,809
Venezuela,2020,28435943
Vietnam,2020,97338583
Wallis and Futuna,2020,11246
Western Africa,2020,401861255
Western Asia,2020,279636774
Western Europe,2020,196146321
Western Sahara,2020,597330
World,2020,7794798729
Yemen,2020,29825968
Zambia,2020,18383956
Zimbabwe,2020,14862927
