date,location,new_cases,new_deaths,total_cases,total_deaths
2020-03-08,Belgium,60,,169,
2020-03-09,Belgium,31,,200,
2020-03-10,Belgium,39,,239,
2020-03-11,Belgium,28,,267,
2020-03-12,Belgium,47,,314,
2020-03-13,Belgium,0,,314,
2020-03-14,Belgium,285,,599,
2020-03-15,Belgium,90,,689,
2020-03-16,Belgium,396,,1085,5
2020-03-17,Belgium,0,0,1085,5
2020-03-17,Benin,,,1,
2020-03-06,Bhutan,,,1,
2020-03-07,Bhutan,0,,1,
2020-03-08,Bhutan,0,,1,
2020-03-09,Bhutan,0,,1,
2020-03-10,Bhutan,0,,1,
2020-03-11,Bhutan,0,,1,
2020-03-12,Bhutan,0,,1,
2020-03-13,Bhutan,0,,1,
2020-03-14,Bhutan,0,,1,
2020-03-15,Bhutan,0,,1,
2020-03-16,Bhutan,0,,1,
2020-03-17,Bhutan,0,,1,
2020-03-11,Bolivia,,,2,
2020-03-12,Bolivia,0,,2,
2020-03-13,Bolivia,1,,3,
2020-03-14,Bolivia,0,,3,
2020-03-15,Bolivia,0,,3,
2020-03-16,Bolivia,8,,11,
2020-03-17,Bolivia,0,,11,
2020-03-05,Bosnia and Herzegovina,,,2,
2020-03-06,Bosnia and Herzegovina,0,,2,
2020-03-07,Bosnia and Herzegovina,0,,2,
2020-03-08,Bosnia and Herzegovina,0,,2,
2020-03-09,Bosnia and Herzegovina,0,,2,
2020-03-10,Bosnia and Herzegovina,0,,2,
2020-03-11,Bosnia and Herzegovina,2,,4,
2020-03-12,Bosnia and Herzegovina,0,,4,
2020-03-13,Bosnia and Herzegovina,0,,4,
2020-03-14,Bosnia and Herzegovina,7,,11,
2020-03-15,Bosnia and Herzegovina,7,,18,
2020-03-16,Bosnia and Herzegovina,0,,18,
2020-03-17,Bosnia and Herzegovina,1,,19,
2020-02-27,Brazil,,,1,
2020-02-28,Brazil,0,,1,
2020-02-29,Brazil,0,,1,
2020-03-01,Brazil,1,,2,
2020-03-02,Brazil,0,,2,
2020-03-03,Brazil,0,,2,
2020-03-04,Brazil,0,,2,
2020-03-05,Brazil,1,,3,
2020-03-06,Brazil,4,,7,
2020-03-07,Brazil,6,,13,
2020-03-08,Brazil,6,,19,
2020-03-09,Brazil,6,,25,
2020-03-10,Brazil,0,,25,
2020-03-11,Brazil,9,,34,
2020-03-12,Brazil,18,,52,
2020-03-13,Brazil,25,,77,
2020-03-14,Brazil,21,,98,
2020-03-15,Brazil,23,,121,
2020-03-16,Brazil,79,,200,
2020-03-17,Brazil,34,,234,
2020-03-10,Brunei,,,1,
2020-03-11,Brunei,0,,1,
2020-03-12,Brunei,11,,12,
2020-03-13,Brunei,0,,12,
2020-03-14,Brunei,13,,25,
2020-03-15,Brunei,15,,40,
2020-03-16,Brunei,10,,50,
2020-03-17,Brunei,0,,50,
2020-03-08,Bulgaria,,,2,
2020-03-09,Bulgaria,2,,4,
2020-03-10,Bulgaria,0,,4,
2020-03-11,Bulgaria,2,,6,
2020-03-12,Bulgaria,1,,7,1
2020-03-13,Bulgaria,0,0,7,1
2020-03-14,Bulgaria,0,0,7,1
2020-03-15,Bulgaria,36,1,43,2
2020-03-16,Bulgaria,8,0,51,2
2020-03-17,Bulgaria,16,0,67,2
2020-03-11,Burkina Faso,,,2,
2020-03-12,Burkina Faso,0,,2,
2020-03-13,Burkina Faso,0,,2,
2020-03-14,Burkina Faso,0,,2,
2020-03-15,Burkina Faso,1,,3,
2020-03-16,Burkina Faso,0,,3,
2020-03-17,Burkina Faso,12,,15,
2020-01-28,Cambodia,,,1,
2020-01-29,Cambodia,0,,1,
2020-01-30,Cambodia,0,,1,
2020-01-31,Cambodia,0,,1,
2020-02-01,Cambodia,0,,1,
2020-02-02,Cambodia,0,,1,
2020-02-03,Cambodia,0,,1,
2020-02-04,Cambodia,0,,1,
2020-02-05,Cambodia,0,,1,
2020-02-06,Cambodia,0,,1,
2020-02-07,Cambodia,0,,1,
2020-02-08,Cambodia,0,,1,
2020-02-09,Cambodia,0,,1,
2020-02-10,Cambodia,0,,1,
2020-02-11,Cambodia,0,,1,
2020-02-12,Cambodia,0,,1,
2020-02-13,Cambodia,0,,1,
2020-02-14,Cambodia,0,,1,
2020-02-15,Cambodia,0,,1,
2020-02-16,Cambodia,0,,1,
2020-02-17,Cambodia,0,,1,
2020-02-18,Cambodia,0,,1,
2020-02-19,Cambodia,0,,1,
2020-02-20,Cambodia,0,,1,
2020-02-21,Cambodia,0,,1,
2020-02-22,Cambodia,0,,1,
2020-02-23,Cambodia,0,,1,
2020-02-24,Cambodia,0,,1,
2020-02-25,Cambodia,0,,1,
2020-02-26,Cambodia,0,,1,
2020-02-27,Cambodia,0,,1,
2020-02-28,Cambodia,0,,1,
2020-02-29,Cambodia,0,,1,
2020-03-01,Cambodia,0,,1,
2020-03-02,Cambodia,0,,1,
2020-03-03,Cambodia,0,,1,
2020-03-04,Cambodia,0,,1,
2020-03-05,Cambodia,0,,1,
2020-03-06,Cambodia,0,,1,
2020-03-07,Cambodia,0,,1,
2020-03-08,Cambodia,1,,2,
2020-03-09,Cambodia,0,,2,
2020-03-10,Cambodia,0,,2,
2020-03-11,Cambodia,1,,3,
2020-03-12,Cambodia,0,,3,
2020-03-13,Cambodia,2,,5,
2020-03-14,Cambodia,2,,7,
2020-03-15,Cambodia,0,,7,
2020-03-16,Cambodia,5,,12,
2020-03-17,Cambodia,12,,24,
2020-03-06,Cameroon,,,1,
2020-03-07,Cameroon,1,,2,
2020-03-08,Cameroon,0,,2,
2020-03-09,Cameroon,0,,2,
2020-03-10,Cameroon,0,,2,
2020-03-11,Cameroon,0,,2,
2020-03-12,Cameroon,0,,2,
2020-03-13,Cameroon,0,,2,
2020-03-14,Cameroon,0,,2,
2020-03-15,Cameroon,1,,3,
2020-03-16,Cameroon,0,,3,
2020-03-17,Cameroon,2,,5,
2020-01-27,Canada,,,1,
2020-01-28,Canada,1,,2,
2020-01-29,Canada,1,,3,
2020-01-30,Canada,0,,3,
2020-01-31,Canada,0,,3,
2020-02-01,Canada,1,,4,
2020-02-02,Canada,0,,4,
2020-02-03,Canada,0,,4,
2020-02-04,Canada,0,,4,
2020-02-05,Canada,1,,5,
2020-02-06,Canada,0,,5,
2020-02-07,Canada,2,,7,
2020-02-08,Canada,0,,7,
2020-02-09,Canada,0,,7,
2020-02-10,Canada,0,,7,
2020-02-11,Canada,0,,7,
2020-02-12,Canada,0,,7,
2020-02-13,Canada,0,,7,
2020-02-14,Canada,0,,7,
2020-02-15,Canada,0,,7,
2020-02-16,Canada,0,,7,
2020-02-17,Canada,0,,7,
2020-02-18,Canada,1,,8,
2020-02-19,Canada,0,,8,
2020-02-20,Canada,0,,8,
2020-02-21,Canada,0,,8,
2020-02-22,Canada,0,,8,
2020-02-23,Canada,1,,9,
2020-02-24,Canada,0,,9,
2020-02-25,Canada,1,,10,
2020-02-26,Canada,0,,10,
2020-02-27,Canada,1,,11,
2020-02-28,Canada,0,,11,
2020-02-29,Canada,3,,14,
2020-03-01,Canada,5,,19,
2020-03-02,Canada,0,,19,
2020-03-03,Canada,8,,27,
2020-03-04,Canada,3,,30,
2020-03-05,Canada,0,,30,
2020-03-06,Canada,15,,45,
2020-03-07,Canada,6,,51,
2020-03-08,Canada,6,,57,
2020-03-09,Canada,5,,62,
2020-03-10,Canada,15,,77,
2020-03-11,Canada,16,,93,1
2020-03-12,Canada,0,0,93,1
2020-03-13,Canada,45,0,138,1
2020-03-14,Canada,38,0,176,1
2020-03-15,Canada,68,0,244,1
2020-03-16,Canada,60,0,304,1
2020-03-17,Canada,120,0,424,1
2020-03-14,Cayman Islands,,,1,
2020-03-15,Cayman Islands,0,,1,
2020-03-16,Cayman Islands,0,,1,1
2020-03-17,Cayman Islands,0,0,1,1
2020-03-15,Central African Republic,,,1,
2020-03-16,Central African Republic,0,,1,
2020-03-17,Central African Republic,0,,1,
2020-03-04,Chile,,,1,
2020-03-05,Chile,0,,1,
2020-03-06,Chile,0,,1,
2020-03-07,Chile,4,,5,
2020-03-08,Chile,0,,5,
2020-03-09,Chile,5,,10,
2020-03-10,Chile,3,,13,
2020-03-11,Chile,4,,17,
2020-03-12,Chile,6,,23,
2020-03-13,Chile,10,,33,
2020-03-14,Chile,10,,43,
2020-03-15,Chile,18,,61,
2020-03-16,Chile,14,,75,
2020-03-17,Chile,81,,156,
2020-01-21,China,,,278,6
2020-01-22,China,32,0,310,6
2020-01-23,China,264,11,574,17
2020-01-24,China,261,8,835,25
2020-01-25,China,462,16,1297,41
2020-01-26,China,688,15,1985,56
2020-01-27,China,776,24,2761,80
2020-01-28,China,1776,26,4537,106
2020-01-29,China,1460,26,5997,132
2020-01-30,China,1739,38,7736,170
2020-01-31,China,1984,43,9720,213
2020-02-01,China,2101,46,11821,259
2020-02-02,China,2590,45,14411,304
2020-02-03,China,2827,57,17238,361
2020-02-04,China,3233,64,20471,425
2020-02-05,China,3892,66,24363,491
2020-02-06,China,3697,73,28060,564
2020-02-07,China,3151,73,31211,637
2020-02-08,China,3387,86,34598,723
2020-02-09,China,2653,89,37251,812
2020-02-10,China,2984,97,40235,909
2020-02-11,China,2473,108,42708,1017
2020-02-12,China,2022,97,44730,1114
2020-02-13,China,1820,254,46550,1368
2020-02-14,China,1998,13,48548,1381
2020-02-15,China,1506,143,50054,1524
2020-02-16,China,1120,142,51174,1666
2020-02-17,China,19461,106,70635,1772
2020-02-18,China,1893,98,72528,1870
2020-02-19,China,1752,136,74280,2006
2020-02-20,China,395,115,74675,2121
2020-02-21,China,894,118,75569,2239
2020-02-22,China,823,109,76392,2348
2020-02-23,China,650,97,77042,2445
2020-02-24,China,220,150,77262,2595
2020-02-25,China,518,71,77780,2666
2020-02-26,China,411,52,78191,2718
2020-02-27,China,439,29,78630,2747
2020-02-28,China,331,44,78961,2791
2020-02-29,China,433,47,79394,2838
2020-03-01,China,574,35,79968,2873
2020-03-02,China,206,42,80174,2915
2020-03-03,China,130,31,80304,2946
2020-03-04,China,118,38,80422,2984
2020-03-05,China,143,31,80565,3015
2020-03-06,China,146,30,80711,3045
2020-03-07,China,102,28,80813,3073
2020-03-08,China,46,27,80859,3100
2020-03-09,China,45,23,80904,3123
2020-03-10,China,20,17,80924,3140
2020-03-11,China,31,22,80955,3162
2020-03-12,China,26,11,80981,3173
2020-03-13,China,10,7,80991,3180
2020-03-14,China,30,14,81021,3194
2020-03-15,China,27,10,81048,3204
2020-03-16,China,29,14,81077,3218
2020-03-17,China,39,13,81116,3231
2020-03-07,Colombia,,,1,
2020-03-08,Colombia,0,,1,
2020-03-09,Colombia,0,,1,
2020-03-10,Colombia,2,,3,
2020-03-11,Colombia,0,,3,
2020-03-12,Colombia,6,,9,
2020-03-13,Colombia,0,,9,
2020-03-14,Colombia,7,,16,
2020-03-15,Colombia,8,,24,
2020-03-16,Colombia,0,,24,
2020-03-17,Colombia,21,,45,
2020-03-15,Congo,,,1,
2020-03-16,Congo,0,,1,
2020-03-17,Congo,0,,1,
2020-03-08,Costa Rica,,,5,
2020-03-09,Costa Rica,4,,9,
2020-03-10,Costa Rica,0,,9,
2020-03-11,Costa Rica,4,,13,
2020-03-12,Costa Rica,0,,13,
2020-03-13,Costa Rica,9,,22,
2020-03-14,Costa Rica,1,,23,
2020-03-15,Costa Rica,0,,23,
2020-03-16,Costa Rica,0,,23,
2020-03-17,Costa Rica,18,,41,
2020-02-26,Croatia,,,2,
2020-02-27,Croatia,1,,3,
2020-02-28,Croatia,0,,3,
2020-02-29,Croatia,2,,5,
2020-03-01,Croatia,2,,7,
2020-03-02,Croatia,0,,7,
2020-03-03,Croatia,1,,8,
2020-03-04,Croatia,1,,9,
2020-03-05,Croatia,0,,9,
2020-03-06,Croatia,1,,10,
2020-03-07,Croatia,1,,11,
2020-03-08,Croatia,0,,11,
2020-03-09,Croatia,0,,11,
2020-03-10,Croatia,1,,12,
2020-03-11,Croatia,4,,16,
2020-03-12,Croatia,0,,16,
2020-03-13,Croatia,0,,16,
2020-03-14,Croatia,11,,27,
2020-03-15,Croatia,10,,37,
2020-03-16,Croatia,12,,49,
2020-03-17,Croatia,7,,56,
2020-03-13,Cuba,,,3,
2020-03-14,Cuba,1,,4,
2020-03-15,Cuba,0,,4,
2020-03-16,Cuba,0,,4,
2020-03-17,Cuba,1,,5,
2020-03-15,Curacao,,,2,
2020-03-16,Curacao,0,,2,
2020-03-17,Curacao,1,,3,
2020-03-10,Cyprus,,,2,
2020-03-11,Cyprus,0,,2,
2020-03-12,Cyprus,4,,6,
2020-03-13,Cyprus,0,,6,
2020-03-14,Cyprus,8,,14,
2020-03-15,Cyprus,7,,21,
2020-03-16,Cyprus,12,,33,
2020-03-17,Cyprus,0,,33,
2020-03-02,Czech Republic,,,3,
2020-03-03,Czech Republic,0,,3,
2020-03-04,Czech Republic,2,,5,
2020-03-05,Czech Republic,0,,5,
2020-03-06,Czech Republic,7,,12,
2020-03-07,Czech Republic,0,,12,
2020-03-08,Czech Republic,14,,26,
2020-03-09,Czech Republic,6,,32,
2020-03-10,Czech Republic,6,,38,
2020-03-11,Czech Republic,23,,61,
2020-03-12,Czech Republic,33,,94,
2020-03-13,Czech Republic,22,,116,
2020-03-14,Czech Republic,34,,150,
2020-03-15,Czech Republic,64,,214,
2020-03-16,Czech Republic,84,,298,
2020-03-17,Czech Republic,85,,383,
2020-03-12,Cote d'Ivoire,,,1,
2020-03-13,Cote d'Ivoire,0,,1,
2020-03-14,Cote d'Ivoire,0,,1,
2020-03-15,Cote d'Ivoire,2,,3,
2020-03-16,Cote d'Ivoire,0,,3,
2020-03-17,Cote d'Ivoire,3,,6,
2020-03-11,Democratic Republic of Congo,,,1,
2020-03-12,Democratic Republic of Congo,0,,1,
2020-03-13,Democratic Republic of Congo,0,,1,
2020-03-14,Democratic Republic of Congo,1,,2,
2020-03-15,Democratic Republic of Congo,0,,2,
2020-03-16,Democratic Republic of Congo,0,,2,
2020-03-17,Democratic Republic of Congo,1,,3,
2020-02-27,Denmark,,,1,
2020-02-28,Denmark,0,,1,
2020-02-29,Denmark,1,,2,
2020-03-01,Denmark,1,,3,
2020-03-02,Denmark,1,,4,
2020-03-03,Denmark,1,,5,
2020-03-04,Denmark,3,,8,
2020-03-05,Denmark,2,,10,
2020-03-06,Denmark,8,,18,
2020-03-07,Denmark,5,,23,
2020-03-08,Denmark,8,,31,
2020-03-09,Denmark,5,,36,
2020-03-10,Denmark,54,,90,
2020-03-11,Denmark,172,,262,
2020-03-12,Denmark,353,,615,
2020-03-13,Denmark,59,,674,
2020-03-14,Denmark,127,,801,
2020-03-15,Denmark,26,,827,
2020-03-16,Denmark,71,,898,1
2020-03-17,Denmark,62,3,960,4
2020-03-02,Dominican Republic,,,1,
2020-03-03,Dominican Republic,0,,1,
2020-03-04,Dominican Republic,0,,1,
2020-03-05,Dominican Republic,0,,1,
2020-03-06,Dominican Republic,0,,1,
2020-03-07,Dominican Republic,0,,1,
2020-03-08,Dominican Republic,0,,1,
2020-03-09,Dominican Republic,0,,1,
2020-03-10,Dominican Republic,4,,5,
2020-03-11,Dominican Republic,0,,5,
2020-03-12,Dominican Republic,0,,5,
2020-03-13,Dominican Republic,0,,5,
2020-03-14,Dominican Republic,0,,5,
2020-03-15,Dominican Republic,0,,5,
2020-03-16,Dominican Republic,0,,5,
2020-03-17,Dominican Republic,16,,21,1
2020-03-01,Ecuador,,,1,
2020-03-02,Ecuador,0,,1,
2020-03-03,Ecuador,5,,6,
2020-03-04,Ecuador,1,,7,
2020-03-05,Ecuador,0,,7,
2020-03-06,Ecuador,6,,13,
2020-03-07,Ecuador,1,,14,
2020-03-08,Ecuador,0,,14,
2020-03-09,Ecuador,1,,15,
2020-03-10,Ecuador,0,,15,
2020-03-11,Ecuador,0,,15,
2020-03-12,Ecuador,2,,17,
2020-03-13,Ecuador,0,,17,
2020-03-14,Ecuador,6,,23,
2020-03-15,Ecuador,0,,23,
2020-03-16,Ecuador,14,,37,2
2020-03-17,Ecuador,21,0,58,2
2020-02-15,Egypt,,,1,
2020-02-16,Egypt,0,,1,
2020-02-17,Egypt,0,,1,
2020-02-18,Egypt,0,,1,
2020-02-19,Egypt,0,,1,
2020-02-20,Egypt,0,,1,
2020-02-21,Egypt,0,,1,
2020-02-22,Egypt,0,,1,
2020-02-23,Egypt,0,,1,
2020-02-24,Egypt,0,,1,
2020-02-25,Egypt,0,,1,
2020-02-26,Egypt,0,,1,
2020-02-27,Egypt,0,,1,
2020-02-28,Egypt,0,,1,
2020-02-29,Egypt,0,,1,
2020-03-01,Egypt,0,,1,
2020-03-02,Egypt,1,,2,
2020-03-03,Egypt,0,,2,
2020-03-04,Egypt,0,,2,
2020-03-05,Egypt,0,,2,
2020-03-06,Egypt,1,,3,
2020-03-07,Egypt,0,,3,
2020-03-08,Egypt,45,,48,
2020-03-09,Egypt,7,,55,1
2020-03-10,Egypt,4,0,59,1
2020-03-11,Egypt,0,0,59,1
2020-03-12,Egypt,8,0,67,1
2020-03-13,Egypt,0,0,67,1
2020-03-14,Egypt,26,1,93,2
2020-03-15,Egypt,0,0,93,2
2020-03-16,Egypt,33,0,126,2
2020-03-17,Egypt,40,2,166,4
2020-03-15,Equatorial Guinea,,,1,
2020-03-16,Equatorial Guinea,0,,1,
2020-03-17,Equatorial Guinea,0,,1,
2020-02-27,Estonia,,,1,
2020-02-28,Estonia,0,,1,
2020-02-29,Estonia,0,,1,
2020-03-01,Estonia,0,,1,
2020-03-02,Estonia,0,,1,
2020-03-03,Estonia,0,,1,
2020-03-04,Estonia,1,,2,
