location,date,total_vaccinations,people_vaccinated,vaccine,source_url,people_fully_vaccinated
Brazil,2021-02-20,6813168,5756361,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1056807.0
Brazil,2021-02-21,6950802,5817908,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1132894.0
Brazil,2021-02-22,7028356,5857080,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1171276.0
Brazil,2021-02-23,7297061,6002873,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1294188.0
Brazil,2021-02-24,7551676,6116082,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1435594.0
Brazil,2021-02-25,7799000,6202055,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1596945.0
Brazil,2021-02-26,8101787,6346769,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1755018.0
Brazil,2021-02-27,8322042,6437836,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1884206.0
Brazil,2021-02-28,8433568,6518628,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1914940.0
Brazil,2021-03-01,8465403,6542206,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,1923197.0
Brazil,2021-03-02,8841027,6806293,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,2034734.0
Brazil,2021-03-03,9277322,7114219,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,2163103.0
Brazil,2021-03-04,9739676,7417852,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,2321824.0
Brazil,2021-03-05,10169160,7701146,"Oxford/AstraZeneca, Sinovac",https://coronavirusbra1.github.io/,2468014.0
Brazil,2021-03-10,10362487,7851531,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,2510956.0
Brazil,2021-03-11,10740859,8092244,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,2648615.0
Brazil,2021-03-12,11149530,8360366,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,2789164.0
Brazil,2021-03-13,11362190,8512960,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,2849230.0
Brazil,2021-03-14,11422666,8561847,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,2860819.0
Brazil,2021-03-15,11895560,8919356,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,2976204.0
Brazil,2021-03-17,12682290,9451188,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3231102.0
Brazil,2021-03-18,13013331,9709526,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3303805.0
Brazil,2021-03-19,13335728,9970231,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3365497.0
Brazil,2021-03-20,13479165,10099070,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3380095.0
Brazil,2021-03-21,13562176,10168973,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3393203.0
Brazil,2021-03-22,14116560,10609471,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3507089.0
Brazil,2021-03-23,15209201,11559487,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3649714.0
Brazil,2021-03-24,15943964,12148769,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3795195.0
Brazil,2021-03-25,16557071,12639545,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3917526.0
Brazil,2021-03-26,17032868,13053114,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,3979754.0
Brazil,2021-03-27,17519083,13487207,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4031876.0
Brazil,2021-03-28,17706983,13659406,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4047577.0
Brazil,2021-03-29,18082153,13988029,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4094124.0
Brazil,2021-03-30,18222559,14112509,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4110050.0
Brazil,2021-03-31,19155981,14921376,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4234605.0
Brazil,2021-04-02,20632877,16099532,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4533345.0
Brazil,2021-04-03,20956770,16377083,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4579687.0
Brazil,2021-04-04,21070128,16472281,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4597847.0
Brazil,2021-04-05,21960953,17128933,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,4832020.0
Brazil,2021-04-06,22850791,17791338,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,5059453.0
Brazil,2021-04-07,24197996,18859274,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,5338722.0
Brazil,2021-04-08,24981199,19386057,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,5595142.0
Brazil,2021-04-09,25735314,19886870,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,5848444.0
Brazil,2021-04-10,26548845,20513828,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,6035017.0
Brazil,2021-04-11,26741261,20654434,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,6086827.0
Brazil,2021-04-12,27432994,21080623,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,6352371.0
Brazil,2021-04-13,30801723,23602070,"Oxford/AstraZeneca, Sinovac",https://viz.saude.gov.br/extensions/DEMAS_C19Vacina/DEMAS_C19Vacina.html,7199653.0
