location,date,total_vaccinations,vaccine,source_url,people_vaccinated,people_fully_vaccinated
Guatemala,2021-03-22,72405,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,72405,0
Guatemala,2021-03-23,78350,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,78350,0
Guatemala,2021-03-24,83076,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,83076,0
Guatemala,2021-03-25,88694,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,88694,0
Guatemala,2021-03-26,91918,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,91918,0
Guatemala,2021-03-27,93601,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,93231,370
Guatemala,2021-03-28,94272,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,93902,370
Guatemala,2021-03-29,98920,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,98402,518
Guatemala,2021-03-30,104919,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,103959,960
Guatemala,2021-03-31,108165,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,106973,1192
Guatemala,2021-04-01,110438,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,109246,1192
Guatemala,2021-04-02,112751,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,111559,1192
Guatemala,2021-04-03,114511,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,113319,1192
Guatemala,2021-04-04,116221,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,115029,1192
Guatemala,2021-04-05,119558,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,118325,1233
Guatemala,2021-04-06,123473,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,121848,1625
Guatemala,2021-04-07,127945,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,126320,1625
Guatemala,2021-04-08,132611,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,130985,1626
Guatemala,2021-04-09,137716,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,136077,1639
Guatemala,2021-04-10,139010,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,137371,1639
Guatemala,2021-04-11,139490,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,137851,1639
Guatemala,2021-04-12,143488,"Moderna, Oxford/AstraZeneca",https://gtmvigilanciacovid.shinyapps.io/3869aac0fb95d6baf2c80f19f2da5f98,141766,1722
