vaccine,date,total_vaccinations,location
Sinovac,2021-02-28,3123121.0,Chile
Sinovac,2021-03-01,3245756.0,Chile
Sinovac,2021-03-02,3386188.0,Chile
Sinovac,2021-03-03,3679430.0,Chile
Sinovac,2021-03-04,3980740.0,Chile
Sinovac,2021-03-05,4272683.0,Chile
Sinovac,2021-03-06,4306104.0,Chile
Sinovac,2021-03-07,4313954.0,Chile
Sinovac,2021-03-08,4651835.0,Chile
Sinovac,2021-03-09,4990565.0,Chile
Sinovac,2021-03-10,5350101.0,Chile
Sinovac,2021-03-11,5721162.0,Chile
Sinovac,2021-03-12,6077927.0,Chile
Sinovac,2021-03-13,6127784.0,Chile
Sinovac,2021-03-14,6134363.0,Chile
Sinovac,2021-03-15,6540530.0,Chile
Sinovac,2021-03-16,6896929.0,Chile
Sinovac,2021-03-17,7208539.0,Chile
Sinovac,2021-03-18,7493763.0,Chile
Sinovac,2021-03-19,7765156.0,Chile
Sinovac,2021-03-20,7797433.0,Chile
Sinovac,2021-03-21,7801453.0,Chile
Sinovac,2021-03-22,8033948.0,Chile
Sinovac,2021-03-23,8214697.0,Chile
Sinovac,2021-03-24,8380758.0,Chile
Sinovac,2021-03-25,8538594.0,Chile
Sinovac,2021-03-26,8717333.0,Chile
Sinovac,2021-03-27,8730939.0,Chile
Sinovac,2021-03-28,8732327.0,Chile
Sinovac,2021-03-29,8976760.0,Chile
Sinovac,2021-03-30,9197667.0,Chile
Sinovac,2021-03-31,9431210.0,Chile
Sinovac,2021-04-01,9710218.0,Chile
Sinovac,2021-04-02,9717007.0,Chile
Sinovac,2021-04-03,9720024.0,Chile
Sinovac,2021-04-04,9721135.0,Chile
Sinovac,2021-04-05,9974315.0,Chile
Sinovac,2021-04-06,10130986.0,Chile
Sinovac,2021-04-07,10274632.0,Chile
Sinovac,2021-04-08,10435389.0,Chile
Sinovac,2021-04-09,10604586.0,Chile
Sinovac,2021-04-10,10622748.0,Chile
Sinovac,2021-04-11,10624693.0,Chile
Sinovac,2021-04-12,10796431.0,Chile
Sinovac,2021-04-13,10942819.0,Chile
Sinovac,2021-04-14,11082185.0,Chile
Sinovac,2021-04-15,11220731.0,Chile
Sinovac,2021-04-16,11363594.0,Chile
Sinovac,2021-04-17,11379927.0,Chile
Sinovac,2021-04-18,11381888.0,Chile
Sinovac,2021-04-19,11552068.0,Chile
Sinovac,2021-04-20,11695541.0,Chile
Sinovac,2021-04-21,11820191.0,Chile
