date,total_vaccinations,vaccine,location
2021-02-11,2744072,Pfizer/BioNTech,France
2021-02-12,2874030,Pfizer/BioNTech,France
2021-02-13,2907564,Pfizer/BioNTech,France
2021-02-14,2917713,Pfizer/BioNTech,France
2021-02-15,3013020,Pfizer/BioNTech,France
2021-02-16,3137150,Pfizer/BioNTech,France
2021-02-17,3274578,Pfizer/BioNTech,France
2021-02-18,3442483,Pfizer/BioNTech,France
2021-02-19,3573046,Pfizer/BioNTech,France
2021-02-20,3612180,Pfizer/BioNTech,France
2021-02-21,3619582,Pfizer/BioNTech,France
2021-02-22,3710441,Pfizer/BioNTech,France
2021-02-23,3826698,Pfizer/BioNTech,France
2021-02-24,3944843,Pfizer/BioNTech,France
2021-02-25,4078541,Pfizer/BioNTech,France
2021-02-26,4190267,Pfizer/BioNTech,France
2021-02-27,4226410,Pfizer/BioNTech,France
2021-02-28,4233205,Pfizer/BioNTech,France
2021-03-01,4320430,Pfizer/BioNTech,France
2021-03-02,4436476,Pfizer/BioNTech,France
2021-03-03,4554972,Pfizer/BioNTech,France
2021-03-04,4694410,Pfizer/BioNTech,France
2021-03-05,4824304,Pfizer/BioNTech,France
2021-03-06,4920512,Pfizer/BioNTech,France
2021-03-07,4985760,Pfizer/BioNTech,France
2021-03-08,5082701,Pfizer/BioNTech,France
2021-03-09,5212073,Pfizer/BioNTech,France
2021-03-10,5347033,Pfizer/BioNTech,France
2021-03-11,5503198,Pfizer/BioNTech,France
2021-03-12,5648443,Pfizer/BioNTech,France
2021-03-13,5747963,Pfizer/BioNTech,France
2021-03-14,5793657,Pfizer/BioNTech,France
2021-03-15,5913009,Pfizer/BioNTech,France
2021-03-16,6066813,Pfizer/BioNTech,France
2021-03-17,6225586,Pfizer/BioNTech,France
2021-03-18,6403423,Pfizer/BioNTech,France
2021-03-19,6567407,Pfizer/BioNTech,France
2021-03-20,6651415,Pfizer/BioNTech,France
2021-03-21,6678494,Pfizer/BioNTech,France
2021-03-22,6819582,Pfizer/BioNTech,France
2021-03-23,6996292,Pfizer/BioNTech,France
2021-03-24,7172646,Pfizer/BioNTech,France
2021-03-25,7373487,Pfizer/BioNTech,France
2021-03-26,7572876,Pfizer/BioNTech,France
2021-03-27,7697533,Pfizer/BioNTech,France
2021-03-28,7743712,Pfizer/BioNTech,France
2021-03-29,7917432,Pfizer/BioNTech,France
2021-03-30,8142752,Pfizer/BioNTech,France
2021-03-31,8376159,Pfizer/BioNTech,France
2021-04-01,8646993,Pfizer/BioNTech,France
2021-04-02,8894325,Pfizer/BioNTech,France
2021-04-03,9038446,Pfizer/BioNTech,France
2021-04-04,9088002,Pfizer/BioNTech,France
2021-04-05,9139104,Pfizer/BioNTech,France
2021-04-06,9396189,Pfizer/BioNTech,France
2021-04-07,9692875,Pfizer/BioNTech,France
2021-04-08,10019362,Pfizer/BioNTech,France
2021-04-09,10332852,Pfizer/BioNTech,France
2021-04-10,10520065,Pfizer/BioNTech,France
2021-04-11,10589133,Pfizer/BioNTech,France
2021-04-12,10855360,Pfizer/BioNTech,France
2021-04-13,11176838,Pfizer/BioNTech,France
2021-04-14,11498867,Pfizer/BioNTech,France
2021-04-15,11837506,Pfizer/BioNTech,France
2021-04-16,12159187,Pfizer/BioNTech,France
2021-04-17,12344707,Pfizer/BioNTech,France
2021-04-18,12400198,Pfizer/BioNTech,France
2021-04-19,12677339,Pfizer/BioNTech,France
2021-04-20,13005238,Pfizer/BioNTech,France
2021-04-21,13336062,Pfizer/BioNTech,France
2021-04-22,13693447,Pfizer/BioNTech,France
2021-04-23,14033054,Pfizer/BioNTech,France
2021-04-24,14249276,Pfizer/BioNTech,France
2021-04-25,14329792,Pfizer/BioNTech,France
2021-01-14,140,Moderna,France
2021-01-15,358,Moderna,France
2021-01-16,543,Moderna,France
2021-01-17,546,Moderna,France
2021-01-18,3446,Moderna,France
2021-01-19,7926,Moderna,France
2021-01-20,12829,Moderna,France
2021-01-21,17889,Moderna,France
2021-01-22,22741,Moderna,France
2021-01-23,24467,Moderna,France
2021-01-24,24548,Moderna,France
2021-01-25,28176,Moderna,France
2021-01-26,31863,Moderna,France
2021-01-27,35264,Moderna,France
2021-01-28,38743,Moderna,France
2021-01-29,41814,Moderna,France
2021-01-30,42868,Moderna,France
2021-01-31,42868,Moderna,France
2021-02-01,46113,Moderna,France
2021-02-02,50413,Moderna,France
2021-02-03,55442,Moderna,France
2021-02-04,60138,Moderna,France
2021-02-05,64693,Moderna,France
2021-02-06,66624,Moderna,France
2021-02-07,66664,Moderna,France
2021-02-08,74087,Moderna,France
2021-02-09,82351,Moderna,France
2021-02-10,91532,Moderna,France
2021-02-11,101696,Moderna,France
2021-02-12,111707,Moderna,France
2021-02-13,114919,Moderna,France
2021-02-14,115216,Moderna,France
2021-02-15,121687,Moderna,France
2021-02-16,130798,Moderna,France
2021-02-17,139464,Moderna,France
2021-02-18,149821,Moderna,France
2021-02-19,159397,Moderna,France
2021-02-20,162658,Moderna,France
2021-02-21,162941,Moderna,France
2021-02-22,170221,Moderna,France
2021-02-23,178701,Moderna,France
2021-02-24,186954,Moderna,France
2021-02-25,195615,Moderna,France
2021-02-26,202899,Moderna,France
2021-02-27,205458,Moderna,France
2021-02-28,205560,Moderna,France
2021-03-01,214225,Moderna,France
2021-03-02,225153,Moderna,France
2021-03-03,236306,Moderna,France
2021-03-04,248496,Moderna,France
2021-03-05,260161,Moderna,France
2021-03-06,266439,Moderna,France
2021-03-07,268741,Moderna,France
2021-03-08,281042,Moderna,France
2021-03-09,296836,Moderna,France
2021-03-10,312830,Moderna,France
2021-03-11,331169,Moderna,France
2021-03-12,347111,Moderna,France
2021-03-13,359520,Moderna,France
2021-03-14,364614,Moderna,France
2021-03-15,378638,Moderna,France
2021-03-16,399744,Moderna,France
2021-03-17,423457,Moderna,France
2021-03-18,451400,Moderna,France
2021-03-19,478766,Moderna,France
2021-03-20,505483,Moderna,France
2021-03-21,523086,Moderna,France
2021-03-22,543711,Moderna,France
2021-03-23,570262,Moderna,France
2021-03-24,598788,Moderna,France
2021-03-25,630195,Moderna,France
2021-03-26,660866,Moderna,France
2021-03-27,677880,Moderna,France
2021-03-28,688399,Moderna,France
2021-03-29,711145,Moderna,France
2021-03-30,741152,Moderna,France
2021-03-31,774671,Moderna,France
2021-04-01,816389,Moderna,France
2021-04-02,853063,Moderna,France
2021-04-03,873900,Moderna,France
2021-04-04,884368,Moderna,France
2021-04-05,897130,Moderna,France
2021-04-06,930729,Moderna,France
2021-04-07,967832,Moderna,France
2021-04-08,1012204,Moderna,France
2021-04-09,1053422,Moderna,France
2021-04-10,1082084,Moderna,France
2021-04-11,1094083,Moderna,France
2021-04-12,1121494,Moderna,France
2021-04-13,1156053,Moderna,France
2021-04-14,1189872,Moderna,France
2021-04-15,1231775,Moderna,France
2021-04-16,1271543,Moderna,France
2021-04-17,1306829,Moderna,France
2021-04-18,1326925,Moderna,France
2021-04-19,1359402,Moderna,France
2021-04-20,1399857,Moderna,France
2021-04-21,1438893,Moderna,France
2021-04-22,1486228,Moderna,France
2021-04-23,1535030,Moderna,France
2021-04-24,1574466,Moderna,France
2021-04-25,1592342,Moderna,France
2021-02-06,256,Oxford/AstraZeneca,France
2021-02-07,1600,Oxford/AstraZeneca,France
2021-02-08,4192,Oxford/AstraZeneca,France
2021-02-09,10740,Oxford/AstraZeneca,France
2021-02-10,19732,Oxford/AstraZeneca,France
2021-02-11,32819,Oxford/AstraZeneca,France
2021-02-12,45581,Oxford/AstraZeneca,France
2021-02-13,49022,Oxford/AstraZeneca,France
2021-02-14,49862,Oxford/AstraZeneca,France
2021-02-15,59772,Oxford/AstraZeneca,France
2021-02-16,71737,Oxford/AstraZeneca,France
2021-02-17,82395,Oxford/AstraZeneca,France
2021-02-18,96542,Oxford/AstraZeneca,France
2021-02-19,110414,Oxford/AstraZeneca,France
2021-02-20,113505,Oxford/AstraZeneca,France
2021-02-21,114036,Oxford/AstraZeneca,France
2021-02-22,122725,Oxford/AstraZeneca,France
2021-02-23,133582,Oxford/AstraZeneca,France
2021-02-24,147163,Oxford/AstraZeneca,France
2021-02-25,190801,Oxford/AstraZeneca,France
2021-02-26,251343,Oxford/AstraZeneca,France
2021-02-27,285396,Oxford/AstraZeneca,France
2021-02-28,287695,Oxford/AstraZeneca,France
2021-03-01,307056,Oxford/AstraZeneca,France
2021-03-02,344737,Oxford/AstraZeneca,France
2021-03-03,391567,Oxford/AstraZeneca,France
2021-03-04,470721,Oxford/AstraZeneca,France
2021-03-05,585675,Oxford/AstraZeneca,France
2021-03-06,701861,Oxford/AstraZeneca,France
2021-03-07,755515,Oxford/AstraZeneca,France
2021-03-08,796795,Oxford/AstraZeneca,France
2021-03-09,873529,Oxford/AstraZeneca,France
2021-03-10,952042,Oxford/AstraZeneca,France
2021-03-11,1077370,Oxford/AstraZeneca,France
2021-03-12,1256249,Oxford/AstraZeneca,France
2021-03-13,1385265,Oxford/AstraZeneca,France
2021-03-14,1398834,Oxford/AstraZeneca,France
2021-03-15,1449413,Oxford/AstraZeneca,France
2021-03-16,1450249,Oxford/AstraZeneca,France
2021-03-17,1450803,Oxford/AstraZeneca,France
2021-03-18,1451881,Oxford/AstraZeneca,France
2021-03-19,1520624,Oxford/AstraZeneca,France
2021-03-20,1584567,Oxford/AstraZeneca,France
2021-03-21,1590006,Oxford/AstraZeneca,France
2021-03-22,1626362,Oxford/AstraZeneca,France
2021-03-23,1709354,Oxford/AstraZeneca,France
2021-03-24,1798591,Oxford/AstraZeneca,France
2021-03-25,1946045,Oxford/AstraZeneca,France
2021-03-26,2109007,Oxford/AstraZeneca,France
2021-03-27,2176001,Oxford/AstraZeneca,France
2021-03-28,2182112,Oxford/AstraZeneca,France
2021-03-29,2235289,Oxford/AstraZeneca,France
2021-03-30,2327032,Oxford/AstraZeneca,France
2021-03-31,2389225,Oxford/AstraZeneca,France
2021-04-01,2473542,Oxford/AstraZeneca,France
2021-04-02,2559099,Oxford/AstraZeneca,France
2021-04-03,2594282,Oxford/AstraZeneca,France
2021-04-04,2597627,Oxford/AstraZeneca,France
2021-04-05,2601832,Oxford/AstraZeneca,France
2021-04-06,2630627,Oxford/AstraZeneca,France
2021-04-07,2662090,Oxford/AstraZeneca,France
2021-04-08,2739535,Oxford/AstraZeneca,France
2021-04-09,2899090,Oxford/AstraZeneca,France
2021-04-10,2973561,Oxford/AstraZeneca,France
2021-04-11,2980591,Oxford/AstraZeneca,France
2021-04-12,3031065,Oxford/AstraZeneca,France
2021-04-13,3116042,Oxford/AstraZeneca,France
2021-04-14,3182580,Oxford/AstraZeneca,France
2021-04-15,3274103,Oxford/AstraZeneca,France
2021-04-16,3384923,Oxford/AstraZeneca,France
2021-04-17,3437118,Oxford/AstraZeneca,France
2021-04-18,3446535,Oxford/AstraZeneca,France
2021-04-19,3471011,Oxford/AstraZeneca,France
2021-04-20,3515924,Oxford/AstraZeneca,France
2021-04-21,3554083,Oxford/AstraZeneca,France
2021-04-22,3607828,Oxford/AstraZeneca,France
2021-04-23,3677010,Oxford/AstraZeneca,France
2021-04-24,3713801,Oxford/AstraZeneca,France
2021-04-25,3719767,Oxford/AstraZeneca,France
2021-04-23,397,Johnson&Johnson,France
2021-04-24,1897,Johnson&Johnson,France
2021-04-25,2004,Johnson&Johnson,France
