date,total_vaccinations,people_fully_vaccinated,location,people_vaccinated,source_url,vaccine
2021-03-05,239851,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-06,270411,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-07,299400,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-08,316079,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-09,403095,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-10,480250,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-11,589208,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-12,693490,,Colombia,,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-13,782301,33242.0,Colombia,749059.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-14,843204,39548.0,Colombia,803656.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-15,913961,44967.0,Colombia,868994.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-16,976137,47210.0,Colombia,928927.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-17,1024358,53118.0,Colombia,971240.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-18,1076496,53892.0,Colombia,1022604.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-19,1131999,54162.0,Colombia,1077837.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-20,1182098,54528.0,Colombia,1127570.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-21,1215008,57849.0,Colombia,1157159.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-22,1238259,60324.0,Colombia,1177935.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-23,1299809,62829.0,Colombia,1236980.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-24,1385503,74274.0,Colombia,1311229.0,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
2021-03-25,1476364,117.117,Colombia,1476246.883,https://www.minsalud.gov.co/salud/publica/Vacunacion/Paginas/Vacunacion-covid-19.aspx,"Pfizer/BioNTech, Sinovac"
