entity,iso_code,year,population
Zambia,ZMB,2020,18383956
Zimbabwe,ZWE,2020,14862927
Guernsey,GGY,2020,67052
Jersey,JEY,2020,101073
North America,OWID_NAM,2020,592072204
Asia,OWID_ASI,2020,4639847425
Africa,OWID_AFR,2020,1340598113
Europe,OWID_EUR,2020,748680069
South America,OWID_SAM,2020,430759772
Oceania,OWID_OCE,2020,42677809
European Union,OWID_EUN,2020,444919060
