Entity,Code,Year,
Serbia,SRB,2015,Europe
Serbia and Montenegro,OWID_SRM,2015,Europe
Serbia excluding Kosovo,OWID_SEK,2015,Europe
Seychelles,SYC,2015,Africa
Sierra Leone,SLE,2015,Africa
Singapore,SGP,2015,Asia
Sint Maarten (Dutch part),SXM,2015,North America
Slovakia,SVK,2015,Europe
Slovenia,SVN,2015,Europe
Solomon Islands,SLB,2015,Oceania
Somalia,SOM,2015,Africa
Somaliland,OWID_SML,2015,Africa
South Africa,ZAF,2015,Africa
South Georgia and the South Sandwich Islands,SGS,2015,South America
South Korea,KOR,2015,Asia
South Ossetia,OWID_SOS,2015,Asia
South Sudan,SSD,2015,Africa
Spain,ESP,2015,Europe
Sri Lanka,LKA,2015,Asia
Sudan,SDN,2015,Africa
Suriname,SUR,2015,South America
Svalbard and Jan Mayen,SJM,2015,Europe
Eswatini,SWZ,2015,Africa
Sweden,SWE,2015,Europe
Switzerland,CHE,2015,Europe
Syria,SYR,2015,Asia
Taiwan,TWN,2015,Asia
Tajikistan,TJK,2015,Asia
Tanzania,TZA,2015,Africa
Thailand,THA,2015,Asia
Timor,TLS,2015,Asia
Togo,TGO,2015,Africa
Tokelau,TKL,2015,Oceania
Tonga,TON,2015,Oceania
Transnistria,OWID_TRS,2015,Europe
Trinidad and Tobago,TTO,2015,North America
Tunisia,TUN,2015,Africa
Turkey,TUR,2015,Asia
Turkmenistan,TKM,2015,Asia
Turks and Caicos Islands,TCA,2015,North America
Tuscany,OWID_TUS,2015,Europe
Tuvalu,TUV,2015,Oceania
Two Sicilies,OWID_SIC,2015,Europe
USSR,OWID_USS,2015,Europe
Uganda,UGA,2015,Africa
Ukraine,UKR,2015,Europe
United Arab Emirates,ARE,2015,Asia
United Kingdom,GBR,2015,Europe
United Korea,OWID_KRU,2015,Asia
United States,USA,2015,North America
United States Minor Outlying Islands,UMI,2015,Oceania
United States Virgin Islands,VIR,2015,North America
Uruguay,URY,2015,South America
Uzbekistan,UZB,2015,Asia
Vanuatu,VUT,2015,Oceania
Vatican,VAT,2015,Europe
Venezuela,VEN,2015,South America
Vietnam,VNM,2015,Asia
Wallis and Futuna,WLF,2015,Oceania
West Germany,OWID_GFR,2015,Europe
Western Sahara,ESH,2015,Africa
Wuerttemburg,OWID_WRT,2015,Europe
Yemen,YEM,2015,Asia
Yemen Arab Republic,OWID_YAR,2015,Asia
Yemen People's Republic,OWID_YPR,2015,Asia
Yugoslavia,OWID_YGS,2015,Europe
Zambia,ZMB,2015,Africa
Zanzibar,OWID_ZAN,2015,Africa
Zimbabwe,ZWE,2015,Africa
Åland Islands,ALA,2015,Europe
