Date,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Dose_Other_Per_100K
2021-01-13,NE,NEA,Nebraska,199800,79699,10329,4120,1934408,31932,47730,37,69113,10529,57,3573,544,3
2021-01-13,NH,NHA,New Hampshire,124300,55218,9142,4061,1359711,29635,25556,27,12722,9,42487,936,1,3125
2021-01-13,NJ,NJA,New Jersey,654900,262982,7373,2961,8882190,138274,124233,475,236053,26926,3,2658,303,0
2021-01-13,NM,NMA,New Mexico,199525,81855,9516,3904,2096829,22731,59098,26,45873,12426,23556,2188,593,1123
2021-01-13,NV,NVA,Nevada,207150,61653,6725,2002,3080156,27528,34125,0,31320,8761,21572,1017,284,700
2021-01-13,NY,NYA,New York State,1796850,632473,9237,3251,19453561,287485,344886,102,587865,44512,96,3022,229,0
2021-01-13,OH,OHA,Ohio,957700,329318,8193,2817,11689100,226900,102373,45,329295,0,23,2817,0,0
2021-01-13,OK,OKA,Oklahoma,396975,172403,10032,4357,3956971,85834,86568,1,118786,22278,31339,3002,563,792
2021-01-13,OR,ORA,Oregon,325325,115075,7713,2728,4217737,53208,61793,74,107843,7014,218,2557,166,5
2021-01-13,PA,PAA,Pennsylvania,1017475,379944,7948,2968,12801989,120834,259108,2,285938,18051,75955,2234,141,593
2021-01-13,PR,PRA,Puerto Rico,305475,84432,9565,2644,3193694,26428,57793,211,67475,11550,5407,2113,362,169
2021-01-13,RI,RIA,Rhode Island,82175,42028,7757,3967,1059361,18482,23546,0,36489,5490,49,3444,518,5
2021-01-13,RP,RPA,Republic of Palau,6000,725,33506,4049,17907,725,0,0,725,0,0,4049,0,0
2021-01-13,SC,SCA,South Carolina,317450,99887,6166,1940,5148714,15055,84780,52,87584,12213,90,1701,237,2
2021-01-13,SD,SDA,South Dakota,88375,50712,9990,5732,884659,22660,28039,13,42789,7921,2,4837,895,0
2021-01-13,TN,TNA,Tennessee,598000,264713,8757,3876,6829174,104742,159863,108,150893,24026,89794,2210,352,1315
2021-01-13,TX,TXA,Texas,1984225,978042,6843,3373,28995881,493547,484495,0,861072,115965,1005,2970,400,3
2021-01-13,US,USA,United States,29380125,10278462,8850,3096,331996199,4249795,6025872,2795,8015434,1020260,1206163,2414,307,363
2021-01-13,UT,UTA,Utah,266025,104036,8298,3245,3205958,49391,54645,0,98010,6021,5,3057,188,0
2021-01-13,VA,VAA,Virginia,845900,217836,9910,2552,8535519,77540,140291,5,0,0,217836,0,0,2552
2021-01-13,VA2,VA2,Veterans Health,941525,254377,0,0,0,120248,134129,0,227886,26487,4,0,0,0
2021-01-13,VI,VIA,Virgin Islands,9575,1195,9147,1142,104680,514,681,0,0,0,1195,0,0,1142
2021-01-13,VT,VTA,Vermont,69800,29571,11186,4739,623989,12877,16691,3,0,0,29571,0,0,4739
2021-01-13,WA,WAA,Washington,572600,208238,7519,2735,7614893,85802,122379,57,169650,22625,15963,2228,297,210
2021-01-13,WI,WIA,Wisconsin,435900,137253,7487,2357,5822434,51326,85926,1,125895,11343,15,2162,195,0
2021-01-13,WV,WVA,West Virginia,160975,110709,8982,6177,1792147,39424,71285,0,0,0,110709,0,0,6177
2021-01-13,WY,WYA,Wyoming,57800,17794,9987,3075,578759,7522,10264,8,14406,2559,829,2489,442,143
