Date,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf,Administered_Dose1,Administered_Dose2,Administered_Dose_Other,Administered_Dose1_Per_100K,Administered_Dose2_Per_100K,Administered_Dose_Other_Per_100K
2021-01-12,NE,NEA,Nebraska,177375,74439,9169,3848,1934408,29807,44596,36,65924,8459,56,3408,437,3
2021-01-12,NH,NHA,New Hampshire,122350,50613,8998,3722,1359711,26877,23709,27,11615,5,38993,854,0,2868
2021-01-12,NJ,NJA,New Jersey,654900,221045,7373,2489,8882190,116686,103884,475,206737,14306,2,2328,161,0
2021-01-12,NM,NMA,New Mexico,177075,78235,8445,3731,2096829,21279,56936,20,43344,11335,23556,2067,541,1123
2021-01-12,NV,NVA,Nevada,207150,61653,6725,2002,3080156,27528,34125,0,31320,8761,21572,1017,284,700
2021-01-12,NY,NYA,New York State,1622100,579532,8338,2979,19453561,253439,325997,96,543014,36422,96,2791,187,0
2021-01-12,OH,OHA,Ohio,866050,311890,7409,2668,11689100,216050,95802,38,311867,0,23,2668,0,0
2021-01-12,OK,OKA,Oklahoma,381375,157843,9638,3989,3956971,78898,78944,1,109045,17463,31335,2756,441,792
2021-01-12,OR,ORA,Oregon,321425,104610,7621,2480,4217737,49061,55513,36,99594,4813,203,2361,114,5
2021-01-12,PA,PAA,Pennsylvania,974725,341948,7614,2671,12801989,107673,234273,2,266288,10591,65069,2080,83,508
2021-01-12,PR,PRA,Puerto Rico,277200,74559,8680,2335,3193694,22233,52115,211,61486,7666,5407,1925,240,169
2021-01-12,RI,RIA,Rhode Island,80225,39568,7573,3735,1059361,17544,22024,0,35385,4141,42,3340,391,4
2021-01-12,RP,RPA,Republic of Palau,6000,416,33506,2323,17907,416,0,0,416,0,0,2323,0,0
2021-01-12,SC,SCA,South Carolina,315950,81075,6136,1575,5148714,14548,66487,40,77042,3954,79,1496,77,2
2021-01-12,SD,SDA,South Dakota,83500,48698,9439,5505,884659,21594,27091,13,41322,7374,2,4671,834,0
2021-01-12,TN,TNA,Tennessee,485800,251257,7114,3679,6829174,102279,148888,90,143735,17914,89608,2105,262,1312
2021-01-12,TX,TXA,Texas,1949125,911461,6722,3143,28995881,451717,459744,0,809148,101317,996,2791,349,3
2021-01-12,US,USA,United States,27696150,9327138,8342,2809,331996199,3835859,5488697,2582,7398897,782228,1112530,2229,236,335
2021-01-12,UT,UTA,Utah,256275,95225,7994,2970,3205958,45019,50206,0,90613,4608,4,2826,144,0
2021-01-12,VA,VAA,Virginia,797150,190607,9339,2233,8535519,67593,123010,4,0,0,190607,0,0,2233
2021-01-12,VA2,VA2,Veterans Health,885950,226754,0,0,0,106382,120372,0,207449,19301,4,0,0,0
2021-01-12,VI,VIA,Virgin Islands,9175,880,8765,841,104680,409,471,0,0,0,880,0,0,841
2021-01-12,VT,VTA,Vermont,64925,25757,10405,4128,623989,10959,14796,2,0,0,25757,0,0,4128
2021-01-12,WA,WAA,Washington,567725,195567,7455,2568,7614893,80765,114758,44,162105,17689,15773,2129,232,207
2021-01-12,WI,WIA,Wisconsin,429500,137253,7377,2357,5822434,51326,85926,1,125895,11343,15,2162,195,0
2021-01-12,WV,WVA,West Virginia,160975,103330,8982,5766,1792147,36139,67191,0,0,0,103330,0,0,5766
2021-01-12,WY,WYA,Wyoming,47800,16467,8259,2845,578759,7021,9438,8,13577,2116,774,2346,366,134
